"","date","daily_vaccines"
"1","2024-07-31","[[0.057797],[0.042162],[0.013337],[0.006735],[0.033037]]"
"2","2024-08-01","[[0.001473],[0.001189],[0.00047],[0.000335],[0.000898]]"
"3","2024-08-02","[[0.001507],[0.001219],[0.000485],[0.000351],[0.000921]]"
"4","2024-08-03","[[0.001541],[0.00125],[0.000501],[0.000368],[0.000944]]"
"5","2024-08-04","[[0.001576],[0.001282],[0.000518],[0.000386],[0.000968]]"
"6","2024-08-05","[[0.001612],[0.001314],[0.000535],[0.000404],[0.000992]]"
"7","2024-08-06","[[0.001648],[0.001347],[0.000552],[0.000424],[0.001017]]"
"8","2024-08-07","[[0.001684],[0.00138],[0.00057],[0.000444],[0.001043]]"
"9","2024-08-08","[[0.001722],[0.001414],[0.000589],[0.000466],[0.001068]]"
"10","2024-08-09","[[0.00176],[0.001449],[0.000608],[0.000488],[0.001095]]"
"11","2024-08-10","[[0.001798],[0.001484],[0.000627],[0.000511],[0.001122]]"
"12","2024-08-11","[[0.001837],[0.00152],[0.000647],[0.000535],[0.001149]]"
"13","2024-08-12","[[0.001876],[0.001556],[0.000667],[0.000561],[0.001177]]"
"14","2024-08-13","[[0.001916],[0.001593],[0.000688],[0.000587],[0.001206]]"
"15","2024-08-14","[[0.001957],[0.00163],[0.00071],[0.000615],[0.001235]]"
"16","2024-08-15","[[0.001998],[0.001668],[0.000732],[0.000643],[0.001264]]"
"17","2024-08-16","[[0.00204],[0.001707],[0.000754],[0.000673],[0.001294]]"
"18","2024-08-17","[[0.002082],[0.001746],[0.000777],[0.000705],[0.001325]]"
"19","2024-08-18","[[0.002125],[0.001785],[0.000801],[0.000737],[0.001356]]"
"20","2024-08-19","[[0.002168],[0.001825],[0.000825],[0.000771],[0.001388]]"
"21","2024-08-20","[[0.002212],[0.001866],[0.00085],[0.000806],[0.00142]]"
"22","2024-08-21","[[0.002256],[0.001907],[0.000875],[0.000843],[0.001453]]"
"23","2024-08-22","[[0.0023],[0.001949],[0.0009],[0.000881],[0.001486]]"
"24","2024-08-23","[[0.002345],[0.001991],[0.000927],[0.000921],[0.00152]]"
"25","2024-08-24","[[0.002391],[0.002033],[0.000953],[0.000962],[0.001555]]"
"26","2024-08-25","[[0.002436],[0.002076],[0.000981],[0.001005],[0.00159]]"
"27","2024-08-26","[[0.002483],[0.002119],[0.001008],[0.001049],[0.001625]]"
"28","2024-08-27","[[0.002529],[0.002163],[0.001037],[0.001095],[0.001661]]"
"29","2024-08-28","[[0.002576],[0.002207],[0.001065],[0.001143],[0.001698]]"
"30","2024-08-29","[[0.002623],[0.002251],[0.001095],[0.001192],[0.001735]]"
"31","2024-08-30","[[0.002671],[0.002295],[0.001124],[0.001243],[0.001772]]"
"32","2024-08-31","[[0.002718],[0.00234],[0.001154],[0.001296],[0.001811]]"
"33","2024-09-01","[[0.002766],[0.002385],[0.001185],[0.00135],[0.001849]]"
"34","2024-09-02","[[0.002814],[0.00243],[0.001216],[0.001406],[0.001888]]"
"35","2024-09-03","[[0.002863],[0.002475],[0.001247],[0.001464],[0.001927]]"
"36","2024-09-04","[[0.002911],[0.002521],[0.001279],[0.001524],[0.001967]]"
"37","2024-09-05","[[0.00296],[0.002566],[0.001311],[0.001585],[0.002008]]"
"38","2024-09-06","[[0.003008],[0.002612],[0.001343],[0.001648],[0.002048]]"
"39","2024-09-07","[[0.003057],[0.002657],[0.001376],[0.001713],[0.002089]]"
"40","2024-09-08","[[0.003106],[0.002702],[0.001409],[0.00178],[0.002131]]"
"41","2024-09-09","[[0.003154],[0.002748],[0.001442],[0.001848],[0.002173]]"
"42","2024-09-10","[[0.003203],[0.002793],[0.001475],[0.001918],[0.002215]]"
"43","2024-09-11","[[0.003251],[0.002838],[0.001508],[0.001989],[0.002257]]"
"44","2024-09-12","[[0.003299],[0.002882],[0.001542],[0.002062],[0.0023]]"
"45","2024-09-13","[[0.003347],[0.002927],[0.001576],[0.002136],[0.002343]]"
"46","2024-09-14","[[0.003395],[0.002971],[0.001609],[0.002212],[0.002386]]"
"47","2024-09-15","[[0.003443],[0.003014],[0.001643],[0.002289],[0.00243]]"
"48","2024-09-16","[[0.00349],[0.003058],[0.001676],[0.002367],[0.002474]]"
"49","2024-09-17","[[0.003536],[0.0031],[0.00171],[0.002446],[0.002517]]"
"50","2024-09-18","[[0.003583],[0.003143],[0.001743],[0.002526],[0.002561]]"
"51","2024-09-19","[[0.003629],[0.003184],[0.001776],[0.002606],[0.002605]]"
"52","2024-09-20","[[0.003674],[0.003225],[0.001809],[0.002687],[0.002649]]"
"53","2024-09-21","[[0.003719],[0.003265],[0.001841],[0.002769],[0.002694]]"
"54","2024-09-22","[[0.003763],[0.003304],[0.001874],[0.002851],[0.002738]]"
"55","2024-09-23","[[0.003806],[0.003343],[0.001905],[0.002932],[0.002782]]"
"56","2024-09-24","[[0.003849],[0.003381],[0.001936],[0.003014],[0.002826]]"
"57","2024-09-25","[[0.003891],[0.003417],[0.001967],[0.003095],[0.00287]]"
"58","2024-09-26","[[0.003932],[0.003453],[0.001997],[0.003176],[0.002913]]"
"59","2024-09-27","[[0.003973],[0.003488],[0.002026],[0.003255],[0.002957]]"
"60","2024-09-28","[[0.004012],[0.003521],[0.002055],[0.003334],[0.003]]"
"61","2024-09-29","[[0.004051],[0.003554],[0.002083],[0.003411],[0.003043]]"
"62","2024-09-30","[[0.004088],[0.003585],[0.00211],[0.003487],[0.003086]]"
"63","2024-10-01","[[0.004124],[0.003615],[0.002136],[0.003561],[0.003128]]"
"64","2024-10-02","[[0.00416],[0.003643],[0.002161],[0.003633],[0.00317]]"
"65","2024-10-03","[[0.004194],[0.003671],[0.002185],[0.003702],[0.003211]]"
"66","2024-10-04","[[0.004227],[0.003697],[0.002208],[0.003769],[0.003252]]"
"67","2024-10-05","[[0.004258],[0.003721],[0.00223],[0.003833],[0.003292]]"
"68","2024-10-06","[[0.004289],[0.003744],[0.002251],[0.003893],[0.003332]]"
"69","2024-10-07","[[0.004318],[0.003765],[0.00227],[0.00395],[0.003371]]"
"70","2024-10-08","[[0.004346],[0.003785],[0.002288],[0.004004],[0.003409]]"
"71","2024-10-09","[[0.004372],[0.003804],[0.002305],[0.004053],[0.003446]]"
"72","2024-10-10","[[0.004397],[0.00382],[0.002321],[0.004099],[0.003483]]"
"73","2024-10-11","[[0.00442],[0.003835],[0.002335],[0.00414],[0.003519]]"
"74","2024-10-12","[[0.004442],[0.003848],[0.002348],[0.004177],[0.003554]]"
"75","2024-10-13","[[0.004463],[0.00386],[0.002359],[0.004208],[0.003588]]"
"76","2024-10-14","[[0.004481],[0.00387],[0.002369],[0.004236],[0.003621]]"
"77","2024-10-15","[[0.004498],[0.003878],[0.002377],[0.004258],[0.003653]]"
"78","2024-10-16","[[0.004514],[0.003884],[0.002383],[0.004275],[0.003684]]"
"79","2024-10-17","[[0.004528],[0.003889],[0.002388],[0.004287],[0.003714]]"
"80","2024-10-18","[[0.00454],[0.003892],[0.002392],[0.004293],[0.003742]]"
"81","2024-10-19","[[0.004551],[0.003893],[0.002394],[0.004295],[0.00377]]"
"82","2024-10-20","[[0.00456],[0.003892],[0.002394],[0.004291],[0.003796]]"
"83","2024-10-21","[[0.004567],[0.003889],[0.002393],[0.004282],[0.003821]]"
"84","2024-10-22","[[0.004572],[0.003885],[0.00239],[0.004267],[0.003844]]"
"85","2024-10-23","[[0.004576],[0.003879],[0.002385],[0.004248],[0.003867]]"
"86","2024-10-24","[[0.004578],[0.003871],[0.002379],[0.004224],[0.003887]]"
"87","2024-10-25","[[0.004578],[0.003861],[0.002372],[0.004194],[0.003907]]"
"88","2024-10-26","[[0.004576],[0.00385],[0.002363],[0.00416],[0.003925]]"
"89","2024-10-27","[[0.004573],[0.003836],[0.002352],[0.004121],[0.003941]]"
"90","2024-10-28","[[0.004568],[0.003822],[0.00234],[0.004078],[0.003956]]"
"91","2024-10-29","[[0.004561],[0.003805],[0.002326],[0.004031],[0.00397]]"
"92","2024-10-30","[[0.004553],[0.003787],[0.002311],[0.00398],[0.003981]]"
"93","2024-10-31","[[0.004543],[0.003767],[0.002295],[0.003924],[0.003992]]"
"94","2024-11-01","[[0.004531],[0.003746],[0.002277],[0.003866],[0.004]]"
"95","2024-11-02","[[0.004517],[0.003723],[0.002258],[0.003803],[0.004007]]"
"96","2024-11-03","[[0.004502],[0.003699],[0.002238],[0.003738],[0.004013]]"
"97","2024-11-04","[[0.004485],[0.003673],[0.002217],[0.00367],[0.004017]]"
