"","date","daily_vaccines"
"1","2024-07-31","[[0.070653],[0.051541],[0.016304],[0.008234],[0.040386]]"
"2","2024-08-01","[[0.001801],[0.001454],[0.000574],[0.000409],[0.001098]]"
"3","2024-08-02","[[0.001842],[0.001491],[0.000593],[0.000429],[0.001126]]"
"4","2024-08-03","[[0.001884],[0.001529],[0.000613],[0.00045],[0.001154]]"
"5","2024-08-04","[[0.001927],[0.001567],[0.000633],[0.000472],[0.001183]]"
"6","2024-08-05","[[0.00197],[0.001606],[0.000654],[0.000494],[0.001213]]"
"7","2024-08-06","[[0.002014],[0.001646],[0.000675],[0.000518],[0.001244]]"
"8","2024-08-07","[[0.002059],[0.001687],[0.000697],[0.000543],[0.001274]]"
"9","2024-08-08","[[0.002105],[0.001729],[0.00072],[0.000569],[0.001306]]"
"10","2024-08-09","[[0.002151],[0.001771],[0.000743],[0.000596],[0.001338]]"
"11","2024-08-10","[[0.002198],[0.001814],[0.000766],[0.000625],[0.001371]]"
"12","2024-08-11","[[0.002245],[0.001858],[0.000791],[0.000654],[0.001405]]"
"13","2024-08-12","[[0.002294],[0.001902],[0.000816],[0.000685],[0.001439]]"
"14","2024-08-13","[[0.002343],[0.001947],[0.000841],[0.000718],[0.001474]]"
"15","2024-08-14","[[0.002392],[0.001993],[0.000868],[0.000751],[0.001509]]"
"16","2024-08-15","[[0.002443],[0.002039],[0.000894],[0.000787],[0.001545]]"
"17","2024-08-16","[[0.002494],[0.002086],[0.000922],[0.000823],[0.001582]]"
"18","2024-08-17","[[0.002545],[0.002134],[0.00095],[0.000861],[0.00162]]"
"19","2024-08-18","[[0.002597],[0.002182],[0.000979],[0.000901],[0.001658]]"
"20","2024-08-19","[[0.00265],[0.002231],[0.001008],[0.000943],[0.001697]]"
"21","2024-08-20","[[0.002704],[0.002281],[0.001039],[0.000986],[0.001736]]"
"22","2024-08-21","[[0.002757],[0.002331],[0.001069],[0.001031],[0.001776]]"
"23","2024-08-22","[[0.002812],[0.002382],[0.001101],[0.001077],[0.001817]]"
"24","2024-08-23","[[0.002867],[0.002433],[0.001133],[0.001126],[0.001859]]"
"25","2024-08-24","[[0.002922],[0.002485],[0.001165],[0.001176],[0.001901]]"
"26","2024-08-25","[[0.002978],[0.002538],[0.001199],[0.001228],[0.001943]]"
"27","2024-08-26","[[0.003035],[0.00259],[0.001233],[0.001282],[0.001987]]"
