age_group,simulated_median,simulated_ci_lower,simulated_ci_upper,observed,difference,pct_difference
0,24.922434124926156,9.66782284032493,49.29477769680168,41.10000000000008,-16.177565875073924,-39.361474148598276
1-4,115.40958935469878,71.5754811012905,171.31514325346305,164.57142856500045,-49.161839210301665,-29.872645354648736
5-12,127.53305904408153,71.71875284715432,215.09683047427484,160.54857140399994,-33.01551235991842,-20.564189435755925
13-17,92.0592491398032,45.04346977070741,154.66726458622563,90.30857140400009,1.7506777358031087,1.9385510241008694
18-49,742.3895037679289,586.6943376909998,918.8717468473948,726.0000000060003,16.38950376192861,2.2575074052056685
50-64,766.9109853559544,608.3257095639865,955.1595874727652,749.571428543999,17.33955681195539,2.3132627727869135
65+,4102.619306764833,3775.505798545428,4421.922083910583,4222.285714526997,-119.66640776216445,-2.834161775231028
Total,5981.145534277992,5527.121546347605,6409.486636690384,6131.2257144909945,-150.08018021300268,-2.4478006063011515
