param,mean,q05,q95
beta_baseline,0.022270886389910656,0.02045664485053965,0.024626305029812657
humidity_impact,0.20155237774911136,0.01662262617775079,0.4161785429788391
log10_E0_scale,0.4731339034685415,0.15319924660587222,0.6794572485131637
ihr_scale_0,0.8913480994546527,0.5312047280773077,1.2717475342454045
ihr_scale_1-4,1.1032766612548275,0.672849795641199,1.526985257830973
ihr_scale_5-12,0.6488092331353839,0.4177727706767307,0.870187107896385
ihr_scale_13-17,0.49157525371097416,0.29466869260036926,0.6953311879490603
ihr_scale_18-49,0.34132067394502746,0.2105747483555137,0.46772566309186947
ihr_scale_50-64,0.5008214386581872,0.30996660163368905,0.6920747811708197
ihr_scale_65+,0.6938269554857867,0.42226883558304373,0.9502827559985542
dlogm1,0.45124170951829456,0.16625137587901498,0.7604726996476752
dlogm2,-0.19289694557282358,-0.6870838931856809,0.23049096730309349
dlogm3,0.7550289846561274,0.5238536053878778,1.0113896231751676
dlogm4,-0.6460159270359349,-0.7243778836785341,-0.5608317997889267
dlogm5,-0.3231253428694289,-0.41797642246361405,-0.2352503887480072
dlogm6,0.2616706073763542,0.12875018552028625,0.476367913689831
dlogm7,0.28698098018581364,0.06698851417441153,0.4613082942326383
dlogm8,-0.11588450028509054,-0.5953607533424389,0.3518911830103037
phi,33.94196523794916,26.087807710443148,43.45492881971285
