age_group,low_ve,baseline_ve,high_ve
0,16.3% [14.8% - 17.4%],34.0% [32.3% - 35.3%],48.4% [46.9% - 49.6%]
1-4,9.7% [8.2% - 10.8%],25.1% [23.3% - 26.4%],33.4% [31.7% - 34.9%]
5-12,9.3% [7.7% - 10.5%],23.9% [21.9% - 25.4%],31.8% [30.0% - 33.5%]
13-17,14.5% [12.7% - 15.9%],30.9% [28.8% - 32.4%],42.7% [40.9% - 44.3%]
18-49,11.7% [10.0% - 12.9%],30.6% [28.6% - 32.0%],42.8% [41.3% - 44.1%]
50-64,10.5% [8.9% - 11.6%],27.6% [25.6% - 28.9%],38.6% [37.1% - 40.0%]
65+,9.9% [8.4% - 10.9%],25.6% [23.9% - 26.9%],35.9% [34.4% - 37.1%]
All,10.3% [8.7% - 11.3%],26.6% [24.7% - 27.9%],37.1% [35.6% - 38.4%]
