age_group,low_ve,baseline_ve,high_ve
0,14.2 [9.2 - 18.7],17.5 [11.4 - 24.1],14.0 [9.1 - 19.9]
1-4,9.7 [7.2 - 11.8],13.7 [9.8 - 17.6],8.3 [5.7 - 10.9]
5-12,4.3 [2.9 - 5.8],6.4 [4.6 - 8.3],4.4 [3.2 - 5.8]
13-17,5.4 [3.7 - 7.5],6.8 [4.7 - 9.2],5.1 [3.6 - 7.0]
18-49,4.8 [3.6 - 6.2],7.6 [6.1 - 9.3],6.5 [5.2 - 7.9]
50-64,9.4 [6.8 - 12.4],14.6 [11.3 - 18.0],12.0 [9.6 - 14.6]
65+,56.7 [45.5 - 66.6],86.7 [78.0 - 96.0],72.4 [65.4 - 79.3]
All,15.2 [12.2 - 17.5],23.1 [21.1 - 25.1],19.0 [17.6 - 20.6]
