age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,63.0 [40.9 - 82.6],4.0 [2.4 - 5.2],6.7 [4.1 - 8.7],7.3 [4.4 - 9.6],1.8 [1.1 - 2.3],1.2 [0.7 - 1.6],0.0 [-0.0 - 0.0],259.9 [167.7 - 339.5]
1-4,9.7 [6.9 - 11.5],96.6 [71.9 - 116.7],37.9 [27.0 - 44.9],37.4 [26.4 - 44.3],8.8 [6.3 - 10.5],6.1 [4.3 - 7.3],0.0 [-0.0 - 0.0],188.8 [140.6 - 228.1]
5-12,6.7 [4.2 - 9.5],16.4 [10.2 - 23.0],63.7 [42.4 - 85.9],33.8 [20.7 - 47.9],7.0 [4.3 - 10.0],5.0 [3.0 - 7.1],0.0 [-0.0 - 0.0],99.8 [67.4 - 134.1]
13-17,3.0 [1.9 - 4.9],6.7 [4.1 - 10.7],14.6 [8.9 - 22.9],45.8 [30.5 - 67.4],3.5 [2.1 - 5.6],2.6 [1.6 - 4.2],0.0 [-0.0 - 0.0],91.3 [61.3 - 134.0]
18-49,27.6 [18.3 - 38.3],57.2 [38.0 - 79.9],106.7 [70.4 - 148.7],124.4 [81.9 - 174.3],40.8 [28.4 - 55.4],22.0 [14.4 - 30.8],0.0 [-0.0 - 0.0],111.7 [80.0 - 147.7]
50-64,27.0 [17.7 - 37.5],58.2 [38.2 - 80.4],113.1 [74.4 - 155.8],136.6 [89.7 - 188.1],31.6 [20.9 - 43.7],55.5 [39.4 - 73.4],0.0 [-0.0 - 0.0],173.5 [123.6 - 229.7]
65+,182.7 [134.5 - 231.7],388.9 [285.2 - 493.4],737.3 [537.5 - 936.2],874.6 [634.8 - 1116.1],197.3 [144.4 - 252.0],164.3 [121.7 - 208.1],278.0 [233.6 - 321.1],1060.4 [848.8 - 1266.8]
All,320.1 [241.0 - 387.8],631.9 [478.7 - 769.3],1086.6 [793.3 - 1356.9],1266.2 [915.8 - 1614.5],293.2 [212.8 - 370.3],258.3 [191.3 - 322.8],278.0 [233.6 - 321.1],347.6 [276.8 - 409.4]
