age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,28.6 [18.5 - 37.4],14.5 [8.9 - 18.9],41.4 [25.4 - 53.9],23.9 [14.4 - 31.2],30.7 [18.8 - 40.1],14.9 [9.1 - 19.6],0.0 [-0.0 - 0.0],117.9 [76.0 - 154.0]
1-4,1.1 [0.8 - 1.3],87.6 [65.2 - 105.9],58.6 [41.7 - 69.4],30.4 [21.5 - 36.0],38.0 [27.0 - 45.1],18.8 [13.1 - 22.3],0.0 [-0.0 - 0.0],171.2 [127.5 - 206.9]
5-12,0.4 [0.2 - 0.5],6.9 [4.3 - 9.6],45.5 [30.3 - 61.4],12.7 [7.8 - 18.0],14.0 [8.5 - 19.9],7.1 [4.3 - 10.1],0.0 [-0.0 - 0.0],71.3 [48.1 - 95.8]
13-17,0.2 [0.1 - 0.4],4.1 [2.5 - 6.6],15.3 [9.4 - 24.1],25.3 [16.9 - 37.3],10.3 [6.3 - 16.5],5.5 [3.4 - 8.9],0.0 [-0.0 - 0.0],50.5 [33.9 - 74.1]
18-49,0.3 [0.2 - 0.4],4.9 [3.2 - 6.8],15.5 [10.2 - 21.6],9.5 [6.3 - 13.3],16.5 [11.5 - 22.5],6.3 [4.2 - 8.9],0.0 [-0.0 - 0.0],45.3 [32.4 - 59.9]
50-64,0.6 [0.4 - 0.8],10.4 [6.8 - 14.3],34.4 [22.6 - 47.4],21.8 [14.4 - 30.1],26.8 [17.7 - 37.0],33.5 [23.8 - 44.3],0.0 [-0.0 - 0.0],104.7 [74.6 - 138.6]
65+,4.8 [3.5 - 6.0],80.9 [59.4 - 102.7],261.5 [190.6 - 332.0],163.1 [118.4 - 208.2],195.0 [142.7 - 249.0],115.7 [85.7 - 146.5],203.5 [171.0 - 235.0],776.3 [621.4 - 927.4]
All,1.5 [1.1 - 1.8],23.0 [17.4 - 28.0],67.3 [49.1 - 84.1],41.3 [29.8 - 52.6],50.6 [36.7 - 63.9],31.8 [23.5 - 39.7],35.5 [29.9 - 41.1],194.3 [154.7 - 228.8]
