age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,11.2% [11.0% - 11.4%],0.0% [0.0% - 0.0%],0.0% [0.0% - 0.0%],5.7% [5.2% - 6.1%],19.3% [17.8% - 20.3%],2.3% [2.1% - 2.4%],0.0% [0.0% - 0.0%],34.0% [32.3% - 35.3%]
1-4,0.4% [0.4% - 0.4%],0.0% [0.0% - 0.0%],0.0% [0.0% - 0.0%],5.6% [5.1% - 6.1%],18.3% [16.9% - 19.4%],2.2% [2.0% - 2.4%],0.0% [0.0% - 0.0%],25.1% [23.3% - 26.4%]
5-12,0.3% [0.3% - 0.4%],0.0% [0.0% - 0.0%],0.0% [0.0% - 0.0%],5.9% [5.2% - 6.3%],17.0% [15.4% - 18.2%],2.1% [1.9% - 2.3%],0.0% [0.0% - 0.0%],23.9% [21.9% - 25.4%]
13-17,0.3% [0.3% - 0.3%],0.0% [0.0% - 0.0%],0.0% [0.0% - 0.0%],14.2% [13.4% - 14.8%],17.2% [15.5% - 18.4%],2.2% [1.9% - 2.4%],0.0% [0.0% - 0.0%],30.9% [28.8% - 32.4%]
18-49,0.4% [0.3% - 0.4%],0.0% [0.0% - 0.0%],0.0% [0.0% - 0.0%],5.8% [5.1% - 6.2%],24.1% [22.5% - 25.2%],2.4% [2.2% - 2.6%],0.0% [0.0% - 0.0%],30.6% [28.6% - 32.0%]
50-64,0.3% [0.3% - 0.3%],0.0% [0.0% - 0.0%],0.0% [0.0% - 0.0%],5.8% [5.2% - 6.2%],18.7% [17.2% - 19.8%],4.8% [4.6% - 5.0%],0.0% [0.0% - 0.0%],27.6% [25.6% - 28.9%]
65+,0.3% [0.3% - 0.4%],0.0% [0.0% - 0.0%],0.0% [0.0% - 0.0%],5.8% [5.3% - 6.2%],18.5% [17.1% - 19.5%],2.6% [2.3% - 2.7%],0.0% [0.0% - 0.0%],25.6% [23.9% - 26.9%]
All,0.4% [0.4% - 0.4%],0.0% [0.0% - 0.0%],0.0% [0.0% - 0.0%],5.9% [5.3% - 6.4%],19.2% [17.6% - 20.2%],2.8% [2.6% - 3.0%],0.0% [0.0% - 0.0%],26.6% [24.7% - 27.9%]
