age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,16.9% [16.3% - 17.3%],8.5% [7.4% - 9.5%],24.4% [20.7% - 27.3%],14.1% [11.8% - 16.0%],18.1% [15.3% - 20.3%],8.8% [7.4% - 10.0%],0.0% [-0.0% - 0.0%],69.6% [64.6% - 73.0%]
1-4,0.5% [0.4% - 0.5%],38.8% [37.0% - 40.2%],25.8% [21.8% - 29.0%],13.4% [11.1% - 15.4%],16.8% [14.0% - 19.1%],8.3% [6.8% - 9.5%],0.0% [-0.0% - 0.0%],75.8% [71.5% - 78.8%]
5-12,0.4% [0.3% - 0.4%],7.1% [5.8% - 8.1%],46.6% [42.5% - 49.7%],13.1% [10.5% - 15.2%],14.3% [11.4% - 16.8%],7.3% [5.8% - 8.6%],0.0% [-0.0% - 0.0%],72.8% [67.4% - 76.5%]
13-17,0.3% [0.3% - 0.4%],5.8% [4.6% - 6.8%],21.5% [17.3% - 24.9%],35.1% [32.0% - 37.5%],14.4% [11.4% - 16.9%],7.7% [6.1% - 9.0%],0.0% [-0.0% - 0.0%],70.0% [64.1% - 74.0%]
18-49,0.4% [0.4% - 0.5%],7.0% [5.8% - 8.0%],22.2% [18.4% - 25.4%],13.6% [11.2% - 15.7%],23.7% [20.7% - 26.0%],9.1% [7.5% - 10.4%],0.0% [-0.0% - 0.0%],64.8% [58.6% - 69.0%]
50-64,0.4% [0.3% - 0.4%],6.6% [5.5% - 7.6%],22.0% [18.3% - 25.0%],14.0% [11.6% - 16.0%],17.1% [14.3% - 19.4%],21.3% [19.5% - 22.7%],0.0% [-0.0% - 0.0%],66.6% [60.9% - 70.5%]
65+,0.4% [0.4% - 0.5%],7.3% [6.2% - 8.1%],23.5% [20.0% - 26.3%],14.6% [12.4% - 16.5%],17.6% [14.9% - 19.7%],10.4% [8.9% - 11.6%],18.3% [18.1% - 18.5%],69.7% [64.8% - 72.9%]
All,0.5% [0.5% - 0.6%],8.2% [7.2% - 8.9%],23.9% [20.2% - 26.8%],14.7% [12.3% - 16.6%],18.0% [15.2% - 20.2%],11.3% [9.6% - 12.6%],12.7% [12.1% - 13.3%],69.1% [64.1% - 72.5%]
