,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,91.1% [91.0% - 91.2%],—,—,—,—,—,—,91.0% [90.8% - 91.1%]
1-4,—,91.0% [90.5% - 91.1%],—,—,—,—,—,90.8% [90.3% - 91.0%]
5-12,—,—,91.0% [90.5% - 91.1%],—,—,—,—,91.0% [90.6% - 91.1%]
13-17,—,—,—,91.1% [90.8% - 91.2%],—,—,—,91.0% [90.8% - 91.1%]
18-49,—,—,—,—,91.0% [90.8% - 91.1%],—,—,90.9% [90.7% - 91.0%]
50-64,—,—,—,—,—,91.0% [90.8% - 91.1%],—,90.9% [90.6% - 91.0%]
65+,—,—,—,—,—,—,68.9% [68.7% - 69.0%],68.8% [68.5% - 68.9%]
