,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,59.0% [58.5% - 59.7%],—,—,—,—,—,—,57.6% [57.4% - 58.0%]
1-4,—,59.1% [58.6% - 59.9%],—,—,—,—,—,57.7% [57.4% - 58.1%]
5-12,—,—,59.3% [58.7% - 60.3%],—,—,—,—,58.0% [57.7% - 58.7%]
13-17,—,—,—,59.8% [59.2% - 61.0%],—,—,—,58.1% [57.8% - 58.8%]
18-49,—,—,—,—,80.6% [80.2% - 81.3%],—,—,79.6% [79.4% - 80.0%]
50-64,—,—,—,—,—,80.5% [80.1% - 81.1%],—,79.5% [79.3% - 79.9%]
65+,—,—,—,—,—,—,99.9% [99.9% - 99.9%],99.9% [99.8% - 99.9%]
