,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,41.9% [41.4% - 42.5%],—,—,—,—,—,—,38.6% [37.9% - 39.5%]
1-4,—,20.0% [19.3% - 21.3%],—,—,—,—,—,15.7% [14.9% - 16.9%]
5-12,—,—,34.3% [33.4% - 35.5%],—,—,—,—,29.8% [28.7% - 31.4%]
13-17,—,—,—,43.8% [43.0% - 44.9%],—,—,—,39.1% [38.0% - 40.6%]
18-49,—,—,—,—,57.0% [56.2% - 58.2%],—,—,52.7% [51.6% - 54.2%]
50-64,—,—,—,—,—,51.9% [51.1% - 53.1%],—,47.1% [46.0% - 48.7%]
65+,—,—,—,—,—,—,61.5% [60.7% - 62.4%],56.4% [55.1% - 58.0%]
