age_group,pct_averted_reduced_infection,per100k_averted_reduced_infection,per100k_doses_averted_reduced_infection,pct_averted_reduced_severity,per100k_averted_reduced_severity,per100k_doses_averted_reduced_severity,pct_averted_total,per100k_averted_total,per100k_doses_averted_total
0,69.0% [63.8% - 72.5%],116.8 [75.1 - 152.6],257.6 [165.6 - 336.5],0.6% [0.6% - 0.8%],1.1 [0.7 - 1.6],2.4 [1.6 - 3.4],69.6% [64.6% - 73.0%],117.9 [76.0 - 154.0],259.9 [167.7 - 339.5]
1-4,74.5% [70.0% - 77.6%],168.4 [125.3 - 203.0],185.7 [138.1 - 223.7],1.3% [1.1% - 1.5%],2.9 [2.0 - 3.9],3.2 [2.2 - 4.3],75.8% [71.5% - 78.8%],171.2 [127.5 - 206.9],188.8 [140.6 - 228.1]
5-12,71.8% [66.2% - 75.6%],70.3 [47.2 - 94.5],98.4 [66.1 - 132.2],1.0% [0.9% - 1.2%],1.0 [0.7 - 1.3],1.4 [1.0 - 1.8],72.8% [67.4% - 76.5%],71.3 [48.1 - 95.8],99.8 [67.4 - 134.1]
13-17,69.1% [63.0% - 73.2%],49.9 [33.4 - 73.3],90.2 [60.4 - 132.5],0.9% [0.7% - 1.0%],0.6 [0.4 - 0.9],1.1 [0.8 - 1.6],70.0% [64.1% - 74.0%],50.5 [33.9 - 74.1],91.3 [61.3 - 134.0]
18-49,64.0% [57.6% - 68.3%],44.7 [31.9 - 59.3],110.4 [78.7 - 146.2],0.8% [0.7% - 0.9%],0.6 [0.5 - 0.7],1.4 [1.1 - 1.7],64.8% [58.6% - 69.0%],45.3 [32.4 - 59.9],111.7 [80.0 - 147.7]
50-64,65.4% [59.5% - 69.4%],102.8 [72.9 - 136.3],170.3 [120.7 - 225.9],1.2% [1.1% - 1.4%],1.9 [1.5 - 2.3],3.2 [2.5 - 3.9],66.6% [60.9% - 70.5%],104.7 [74.6 - 138.6],173.5 [123.6 - 229.7]
65+,63.0% [57.1% - 67.0%],701.6 [542.4 - 852.1],958.4 [740.9 - 1163.9],6.7% [6.0% - 7.7%],74.4 [67.5 - 81.1],101.6 [92.2 - 110.8],69.7% [64.8% - 72.9%],776.3 [621.4 - 927.4],1060.4 [848.8 - 1266.8]
All,64.1% [58.4% - 68.1%],180.3 [141.2 - 214.5],322.7 [252.6 - 383.8],4.9% [4.4% - 5.8%],13.9 [12.7 - 15.0],24.9 [22.7 - 26.9],69.1% [64.1% - 72.5%],194.3 [154.7 - 228.8],347.6 [276.8 - 409.4]
