0,day_of_week,mobility_modifier
1,Monday,"[[0.94],[0.94],[1.05],[1.07],[0.93]]"
2,Tuesday,"[[0.94],[0.94],[1.05],[1.07],[0.93]]"
3,Wednesday,"[[0.94],[0.94],[1.05],[1.07],[0.93]]"
4,Thursday,"[[0.94],[0.94],[1.05],[1.07],[0.93]]"
5,Friday,"[[0.94],[0.94],[1.05],[1.07],[0.93]]"
6,Saturday,"[[0.78],[0.78],[1.16],[1.16],[0.79]]"
7,Sunday,"[[0.61],[0.61],[0.83],[0.89],[0.68]]"
