,date,is_school_day,is_work_day
0,2023-08-01,0,0.87
1,2023-08-02,0,0.87
2,2023-08-03,0,0.87
3,2023-08-04,0,0.87
4,2023-08-05,0,0.29
5,2023-08-06,0,0.29
6,2023-08-07,0,0.87
7,2023-08-08,0,0.87
8,2023-08-09,0.22,0.87
9,2023-08-10,0.22,0.87
10,2023-08-11,0.22,0.87
11,2023-08-12,0,0.29
12,2023-08-13,0,0.29
13,2023-08-14,0.9,0.87
14,2023-08-15,1,0.87
15,2023-08-16,1,0.87
16,2023-08-17,1,0.87
17,2023-08-18,1,0.87
18,2023-08-19,0,0.29
19,2023-08-20,0,0.29
20,2023-08-21,1,0.87
21,2023-08-22,1,0.87
22,2023-08-23,1,0.87
23,2023-08-24,1,0.87
24,2023-08-25,1,0.87
25,2023-08-26,0,0.29
26,2023-08-27,0,0.29
27,2023-08-28,1,0.87
28,2023-08-29,1,0.87
29,2023-08-30,1,0.87
30,2023-08-31,1,0.87
31,2023-09-01,1,0.87
32,2023-09-02,0,0.29
33,2023-09-03,0,0.29
34,2023-09-04,0,0.26
35,2023-09-05,0.9,0.87
36,2023-09-06,1,0.87
37,2023-09-07,1,0.87
38,2023-09-08,1,0.87
39,2023-09-09,0,0.29
40,2023-09-10,0,0.29
41,2023-09-11,1,0.87
42,2023-09-12,1,0.87
43,2023-09-13,1,0.87
44,2023-09-14,1,0.87
45,2023-09-15,1,0.87
46,2023-09-16,0,0.29
47,2023-09-17,0,0.29
48,2023-09-18,1,0.87
49,2023-09-19,1,0.87
50,2023-09-20,1,0.87
51,2023-09-21,1,0.87
52,2023-09-22,1,0.87
53,2023-09-23,0,0.29
54,2023-09-24,0,0.29
55,2023-09-25,0.46,0.87
56,2023-09-26,1,0.87
57,2023-09-27,1,0.87
58,2023-09-28,1,0.87
59,2023-09-29,1,0.87
60,2023-09-30,0,0.29
61,2023-10-01,0,0.29
62,2023-10-02,1,0.87
63,2023-10-03,1,0.87
64,2023-10-04,1,0.87
65,2023-10-05,0.9,0.87
66,2023-10-06,0.9,0.87
67,2023-10-07,0,0.29
68,2023-10-08,0,0.29
69,2023-10-09,0.36,0.74
70,2023-10-10,1,0.87
71,2023-10-11,1,0.87
72,2023-10-12,1,0.87
73,2023-10-13,1,0.87
74,2023-10-14,0,0.29
75,2023-10-15,0,0.29
76,2023-10-16,0.78,0.87
77,2023-10-17,0.78,0.87
78,2023-10-18,0.78,0.87
79,2023-10-19,0.78,0.87
80,2023-10-20,0.64,0.87
81,2023-10-21,0,0.29
82,2023-10-22,0,0.29
83,2023-10-23,0.86,0.87
84,2023-10-24,1,0.87
85,2023-10-25,1,0.87
86,2023-10-26,1,0.87
87,2023-10-27,1,0.87
88,2023-10-28,0,0.29
89,2023-10-29,0,0.29
90,2023-10-30,1,0.87
91,2023-10-31,1,0.87
92,2023-11-01,1,0.87
93,2023-11-02,1,0.87
94,2023-11-03,0.9,0.87
95,2023-11-04,0,0.29
96,2023-11-05,0,0.29
97,2023-11-06,1,0.87
98,2023-11-07,0.86,0.87
99,2023-11-08,1,0.87
100,2023-11-09,1,0.87
101,2023-11-10,1,0.74
102,2023-11-11,0,0.29
103,2023-11-12,0,0.29
104,2023-11-13,0.46,0.87
105,2023-11-14,1,0.87
106,2023-11-15,1,0.87
107,2023-11-16,1,0.87
108,2023-11-17,1,0.87
109,2023-11-18,0,0.29
110,2023-11-19,0,0.29
111,2023-11-20,0,0.87
112,2023-11-21,0,0.87
113,2023-11-22,0,0.87
114,2023-11-23,0,0.22
115,2023-11-24,0,0.58
116,2023-11-25,0,0.29
117,2023-11-26,0,0.29
118,2023-11-27,1,0.87
119,2023-11-28,1,0.87
120,2023-11-29,1,0.87
121,2023-11-30,1,0.87
122,2023-12-01,1,0.87
123,2023-12-02,0,0.29
124,2023-12-03,0,0.29
125,2023-12-04,1,0.87
126,2023-12-05,1,0.87
127,2023-12-06,1,0.87
128,2023-12-07,1,0.87
129,2023-12-08,1,0.87
130,2023-12-09,0,0.29
131,2023-12-10,1,0.29
132,2023-12-11,1,0.87
133,2023-12-12,1,0.87
134,2023-12-13,1,0.87
135,2023-12-14,1,0.87
136,2023-12-15,1,0.87
137,2023-12-16,0,0.29
138,2023-12-17,0,0.29
139,2023-12-18,1,0.87
140,2023-12-19,1,0.87
141,2023-12-20,1,0.87
142,2023-12-21,0.46,0.87
143,2023-12-22,0.36,0.87
144,2023-12-23,0,0.29
145,2023-12-24,0,0.23
146,2023-12-25,0,0.22
147,2023-12-26,0,0.87
148,2023-12-27,0,0.87
149,2023-12-28,0,0.87
150,2023-12-29,0,0.87
151,2023-12-30,0,0.29
152,2023-12-31,0,0.26
153,2024-01-01,0,0.27
154,2024-01-02,0,0.87
155,2024-01-03,0,0.87
156,2024-01-04,0,0.87
157,2024-01-05,0,0.87
158,2024-01-06,0,0.29
159,2024-01-07,0,0.29
160,2024-01-08,0,0.87
161,2024-01-09,1,0.87
162,2024-01-10,1,0.87
163,2024-01-11,1,0.87
164,2024-01-12,1,0.87
165,2024-01-13,0,0.29
166,2024-01-14,0,0.29
167,2024-01-15,0,0.06
168,2024-01-16,1,0.87
169,2024-01-17,1,0.87
170,2024-01-18,1,0.87
171,2024-01-19,1,0.87
172,2024-01-20,0,0.29
173,2024-01-21,0,0.29
174,2024-01-22,1,0.87
175,2024-01-23,1,0.87
176,2024-01-24,1,0.87
177,2024-01-25,1,0.87
178,2024-01-26,1,0.87
179,2024-01-27,0,0.29
180,2024-01-28,0,0.29
181,2024-01-29,1,0.87
182,2024-01-30,1,0.87
183,2024-01-31,1,0.87
184,2024-02-01,1,0.87
185,2024-02-02,1,0.87
186,2024-02-03,0,0.29
187,2024-02-04,0,0.29
188,2024-02-05,1,0.87
189,2024-02-06,1,0.87
190,2024-02-07,1,0.87
191,2024-02-08,1,0.87
192,2024-02-09,0.46,0.87
193,2024-02-10,0,0.29
194,2024-02-11,0,0.29
195,2024-02-12,1,0.87
196,2024-02-13,1,0.87
197,2024-02-14,1,0.87
198,2024-02-15,1,0.87
199,2024-02-16,0.68,0.87
200,2024-02-17,0,0.29
201,2024-02-18,0,0.29
202,2024-02-19,0,0.71
203,2024-02-20,1,0.87
204,2024-02-21,1,0.87
205,2024-02-22,1,0.87
206,2024-02-23,1,0.87
207,2024-02-24,0,0.29
208,2024-02-25,0,0.29
209,2024-02-26,1,0.87
210,2024-02-27,1,0.87
211,2024-02-28,1,0.87
212,2024-02-29,1,0.87
213,2024-03-01,1,0.87
214,2024-03-02,0,0.29
215,2024-03-03,0,0.29
216,2024-03-04,1,0.87
217,2024-03-05,1,0.87
218,2024-03-06,1,0.87
219,2024-03-07,1,0.87
220,2024-03-08,1,0.87
221,2024-03-09,0,0.29
222,2024-03-10,0,0.29
223,2024-03-11,0,0.87
224,2024-03-12,0,0.87
225,2024-03-13,0,0.87
226,2024-03-14,0,0.87
227,2024-03-15,0,0.87
228,2024-03-16,0,0.29
229,2024-03-17,0,0.29
230,2024-03-18,1,0.87
231,2024-03-19,1,0.87
232,2024-03-20,1,0.87
233,2024-03-21,1,0.87
234,2024-03-22,1,0.87
235,2024-03-23,0,0.29
236,2024-03-24,0,0.29
237,2024-03-25,1,0.87
238,2024-03-26,1,0.87
239,2024-03-27,1,0.87
240,2024-03-28,1,0.87
241,2024-03-29,0.14,0.87
242,2024-03-30,0,0.29
243,2024-03-31,0,0.29
244,2024-04-01,0.68,0.87
245,2024-04-02,1,0.87
246,2024-04-03,1,0.87
247,2024-04-04,1,0.87
248,2024-04-05,1,0.87
249,2024-04-06,0,0.29
250,2024-04-07,0,0.29
251,2024-04-08,1,0.87
252,2024-04-09,1,0.87
253,2024-04-10,0.46,0.87
254,2024-04-11,1,0.87
255,2024-04-12,1,0.87
256,2024-04-13,0,0.29
257,2024-04-14,0,0.29
258,2024-04-15,1,0.87
259,2024-04-16,1,0.87
260,2024-04-17,1,0.87
261,2024-04-18,1,0.87
262,2024-04-19,0.86,0.87
263,2024-04-20,0,0.29
264,2024-04-21,0,0.29
265,2024-04-22,1,0.87
266,2024-04-23,1,0.87
267,2024-04-24,1,0.87
268,2024-04-25,1,0.87
269,2024-04-26,1,0.87
270,2024-04-27,0,0.29
271,2024-04-28,0,0.29
272,2024-04-29,1,0.87
273,2024-04-30,1,0.87
274,2024-05-01,1,0.87
275,2024-05-02,1,0.87
276,2024-05-03,1,0.87
277,2024-05-04,0,0.29
278,2024-05-05,0,0.29
279,2024-05-06,1,0.87
280,2024-05-07,1,0.87
281,2024-05-08,1,0.87
282,2024-05-09,1,0.87
283,2024-05-10,1,0.87
284,2024-05-11,0,0.29
285,2024-05-12,0,0.29
286,2024-05-13,1,0.87
287,2024-05-14,1,0.87
288,2024-05-15,1,0.87
289,2024-05-16,1,0.87
290,2024-05-17,1,0.87
291,2024-05-18,0,0.29
292,2024-05-19,0,0.29
293,2024-05-20,1,0.87
294,2024-05-21,1,0.87
295,2024-05-22,1,0.87
296,2024-05-23,1,0.87
297,2024-05-24,0.1,0.87
298,2024-05-25,0,0.29
299,2024-05-26,0,0.29
300,2024-05-27,0,0.27
301,2024-05-28,0.24,0.87
302,2024-05-29,0.24,0.87
303,2024-05-30,0.14,0.87
304,2024-05-31,0.14,0.87
