param,mean,q05,q95
beta_baseline,0.03431375666107866,0.034450349076409356,0.034493669286381784
humidity_impact,0.1989530173846124,0.18842557771281454,0.19263801116873708
log10_E0_scale,-0.02691732285975716,-0.03275487868749793,-0.03017425457909774
ihr_scale,0.6751983201249476,0.6576546410166324,0.6609650467871867
dlogm1,0.02583865764328454,0.020812351924641252,0.024994420587705832
dlogm2,0.1214242884528586,0.1230587704427032,0.12951978793277638
dlogm3,0.15717442876795668,0.15377343910136376,0.15669222267878036
dlogm4,-0.17822506566067087,-0.1776972465196238,-0.17603816676180828
dlogm5,-0.23584047154717014,-0.23468293425342596,-0.23306524254484542
dlogm6,0.027186231390695804,0.03430949395084663,0.034726916726904596
dlogm7,0.254033075893585,0.25886907395695885,0.26809123836610116
dlogm8,-0.14115174343882547,-0.1495291442797724,-0.13944864063890874
