param,mean,q05,q95
beta_baseline,0.03232868249696934,0.026193806109187888,0.043804382388691374
humidity_impact,0.511251436671792,0.2467461983338496,0.7707397191981614
log10_E0_scale,0.41321043561567256,0.07594348316686336,0.6540158414475891
ihr_scale,0.9167496865957012,0.10104598370811266,1.678824930551764
dlogm1,-0.14429101555643636,-0.40526969081488834,0.10497161808615509
dlogm2,0.06234558297333818,-0.20496234484436412,0.2467694432440177
dlogm3,0.5754067368229114,0.3564581045095653,0.7723746451462002
dlogm4,-0.40539293942445376,-0.5964134121552996,-0.010031501538942809
dlogm5,-0.4408158113451207,-0.6052642532729925,-0.1320227345675025
dlogm6,0.7102736184577256,0.6021058769580517,0.8223666561242184
dlogm7,-0.16047284535577094,-0.34755316847041795,-0.007749747954634444
dlogm8,0.08354138522325105,-0.21439412909485497,0.385382142879361
phi,25.104658338812705,16.19698220760323,33.69251045889245
