"","date","daily_vaccines"
"1","2024-07-31","[[0.058527, 0.058527],[0.047239, 0.047239],[0.01672, 0.01672],[0.007636, 0.007636],[0.044686, 0.044686]]"
"2","2024-08-01","[[0.001492, 0.001492],[0.001327, 0.001327],[0.000592, 0.000592],[0.00038, 0.00038],[0.001216, 0.001216]]"
"3","2024-08-02","[[0.001526, 0.001526],[0.001361, 0.001361],[0.000611, 0.000611],[0.000398, 0.000398],[0.001247, 0.001247]]"
"4","2024-08-03","[[0.001561, 0.001561],[0.001395, 0.001395],[0.000632, 0.000632],[0.000418, 0.000418],[0.001279, 0.001279]]"
"5","2024-08-04","[[0.001596, 0.001596],[0.00143, 0.00143],[0.000653, 0.000653],[0.000438, 0.000438],[0.001311, 0.001311]]"
"6","2024-08-05","[[0.001632, 0.001632],[0.001466, 0.001466],[0.000674, 0.000674],[0.000459, 0.000459],[0.001344, 0.001344]]"
"7","2024-08-06","[[0.001669, 0.001669],[0.001502, 0.001502],[0.000696, 0.000696],[0.000481, 0.000481],[0.001378, 0.001378]]"
"8","2024-08-07","[[0.001706, 0.001706],[0.00154, 0.00154],[0.000719, 0.000719],[0.000504, 0.000504],[0.001412, 0.001412]]"
"9","2024-08-08","[[0.001743, 0.001743],[0.001577, 0.001577],[0.000742, 0.000742],[0.000528, 0.000528],[0.001447, 0.001447]]"
"10","2024-08-09","[[0.001782, 0.001782],[0.001616, 0.001616],[0.000766, 0.000766],[0.000554, 0.000554],[0.001483, 0.001483]]"
"11","2024-08-10","[[0.001821, 0.001821],[0.001655, 0.001655],[0.000791, 0.000791],[0.00058, 0.00058],[0.001519, 0.001519]]"
"12","2024-08-11","[[0.00186, 0.00186],[0.001694, 0.001694],[0.000816, 0.000816],[0.000608, 0.000608],[0.001557, 0.001557]]"
"13","2024-08-12","[[0.0019, 0.0019],[0.001734, 0.001734],[0.000842, 0.000842],[0.000636, 0.000636],[0.001594, 0.001594]]"
"14","2024-08-13","[[0.001941, 0.001941],[0.001775, 0.001775],[0.000869, 0.000869],[0.000666, 0.000666],[0.001633, 0.001633]]"
"15","2024-08-14","[[0.001982, 0.001982],[0.001817, 0.001817],[0.000896, 0.000896],[0.000698, 0.000698],[0.001672, 0.001672]]"
"16","2024-08-15","[[0.002023, 0.002023],[0.001859, 0.001859],[0.000924, 0.000924],[0.00073, 0.00073],[0.001713, 0.001713]]"
"17","2024-08-16","[[0.002066, 0.002066],[0.001902, 0.001902],[0.000953, 0.000953],[0.000764, 0.000764],[0.001753, 0.001753]]"
"18","2024-08-17","[[0.002108, 0.002108],[0.001945, 0.001945],[0.000982, 0.000982],[0.0008, 0.0008],[0.001795, 0.001795]]"
"19","2024-08-18","[[0.002151, 0.002151],[0.001989, 0.001989],[0.001012, 0.001012],[0.000837, 0.000837],[0.001837, 0.001837]]"
"20","2024-08-19","[[0.002195, 0.002195],[0.002033, 0.002033],[0.001042, 0.001042],[0.000875, 0.000875],[0.00188, 0.00188]]"
"21","2024-08-20","[[0.002239, 0.002239],[0.002078, 0.002078],[0.001074, 0.001074],[0.000915, 0.000915],[0.001924, 0.001924]]"
"22","2024-08-21","[[0.002284, 0.002284],[0.002124, 0.002124],[0.001106, 0.001106],[0.000957, 0.000957],[0.001969, 0.001969]]"
"23","2024-08-22","[[0.002329, 0.002329],[0.00217, 0.00217],[0.001138, 0.001138],[0.001, 0.001],[0.002014, 0.002014]]"
"24","2024-08-23","[[0.002375, 0.002375],[0.002216, 0.002216],[0.001172, 0.001172],[0.001045, 0.001045],[0.00206, 0.00206]]"
"25","2024-08-24","[[0.002421, 0.002421],[0.002263, 0.002263],[0.001206, 0.001206],[0.001092, 0.001092],[0.002107, 0.002107]]"
"26","2024-08-25","[[0.002467, 0.002467],[0.002311, 0.002311],[0.00124, 0.00124],[0.001141, 0.001141],[0.002154, 0.002154]]"
"27","2024-08-26","[[0.002514, 0.002514],[0.002359, 0.002359],[0.001276, 0.001276],[0.001191, 0.001191],[0.002202, 0.002202]]"
"28","2024-08-27","[[0.002561, 0.002561],[0.002407, 0.002407],[0.001312, 0.001312],[0.001243, 0.001243],[0.002251, 0.002251]]"
"29","2024-08-28","[[0.002608, 0.002608],[0.002456, 0.002456],[0.001348, 0.001348],[0.001297, 0.001297],[0.002301, 0.002301]]"
"30","2024-08-29","[[0.002656, 0.002656],[0.002505, 0.002505],[0.001385, 0.001385],[0.001353, 0.001353],[0.002351, 0.002351]]"
"31","2024-08-30","[[0.002704, 0.002704],[0.002554, 0.002554],[0.001423, 0.001423],[0.001411, 0.001411],[0.002402, 0.002402]]"
"32","2024-08-31","[[0.002753, 0.002753],[0.002603, 0.002603],[0.001461, 0.001461],[0.001471, 0.001471],[0.002454, 0.002454]]"
"33","2024-09-01","[[0.002801, 0.002801],[0.002653, 0.002653],[0.0015, 0.0015],[0.001533, 0.001533],[0.002506, 0.002506]]"
"34","2024-09-02","[[0.00285, 0.00285],[0.002703, 0.002703],[0.00154, 0.00154],[0.001597, 0.001597],[0.002559, 0.002559]]"
"35","2024-09-03","[[0.002899, 0.002899],[0.002753, 0.002753],[0.00158, 0.00158],[0.001662, 0.001662],[0.002612, 0.002612]]"
"36","2024-09-04","[[0.002948, 0.002948],[0.002803, 0.002803],[0.00162, 0.00162],[0.00173, 0.00173],[0.002666, 0.002666]]"
"37","2024-09-05","[[0.002997, 0.002997],[0.002854, 0.002854],[0.001661, 0.001661],[0.0018, 0.0018],[0.002721, 0.002721]]"
"38","2024-09-06","[[0.003046, 0.003046],[0.002904, 0.002904],[0.001702, 0.001702],[0.001872, 0.001872],[0.002776, 0.002776]]"
"39","2024-09-07","[[0.003095, 0.003095],[0.002954, 0.002954],[0.001743, 0.001743],[0.001945, 0.001945],[0.002832, 0.002832]]"
