0,date,absolute_humidity
1,2022-09-01,0.0172326460685299
2,2022-09-02,0.017520688397744
3,2022-09-03,0.017238477301417
4,2022-09-04,0.0170047655337104
5,2022-09-05,0.0160198919463319
6,2022-09-06,0.0159102888998924
7,2022-09-07,0.0158773349795603
8,2022-09-08,0.0151646348396128
9,2022-09-09,0.0157562092115933
10,2022-09-10,0.0156909852192239
11,2022-09-11,0.0139204690437482
12,2022-09-12,0.0123657159003984
13,2022-09-13,0.0126737526363947
14,2022-09-14,0.0148067022662027
15,2022-09-15,0.0142583263958005
16,2022-09-16,0.0152804945640247
17,2022-09-17,0.0161128967548862
18,2022-09-18,0.0157967142506757
19,2022-09-19,0.0166618310966331
20,2022-09-20,0.0161484394438866
21,2022-09-21,0.0134301234878637
22,2022-09-22,0.0106043992252465
23,2022-09-23,0.0083640234843555
24,2022-09-24,0.013902428895094
25,2022-09-25,0.0138138138896061
26,2022-09-26,0.010851161631478
27,2022-09-27,0.00569140731422889
28,2022-09-28,0.00512364394539459
29,2022-09-29,0.00668840530279064
30,2022-09-30,0.00723217260574621
31,2022-10-01,0.0070255133905448
32,2022-10-02,0.00553147753493653
33,2022-10-03,0.00494808017986479
34,2022-10-04,0.005956763006521
35,2022-10-05,0.00738961162337224
36,2022-10-06,0.00720588319154099
37,2022-10-07,0.00744180947441062
38,2022-10-08,0.00760467651928069
39,2022-10-09,0.00838328332691971
40,2022-10-10,0.00952298131964235
41,2022-10-11,0.0110116789195066
42,2022-10-12,0.0132431810688829
43,2022-10-13,0.0121635111146418
44,2022-10-14,0.00776515908967327
45,2022-10-15,0.0130499650211534
46,2022-10-16,0.0137705926776327
47,2022-10-17,0.0112489969628355
48,2022-10-18,0.00470770302527311
49,2022-10-19,0.00345982007318967
50,2022-10-20,0.00504415012446862
51,2022-10-21,0.00708674330727639
52,2022-10-22,0.0102935728724021
53,2022-10-23,0.0132261359854837
54,2022-10-24,0.014711272094935
55,2022-10-25,0.00666113978521099
56,2022-10-26,0.00434616716746758
57,2022-10-27,0.00655203877837689
58,2022-10-28,0.0115832148914724
59,2022-10-29,0.00868552109647561
60,2022-10-30,0.00896448697636111
61,2022-10-31,0.00856090571162187
62,2022-11-01,0.00955783598821121
63,2022-11-02,0.011226260845286
64,2022-11-03,0.0125049121096975
65,2022-11-04,0.0152785535102165
66,2022-11-05,0.00601366199635327
67,2022-11-06,0.0085473231138718
68,2022-11-07,0.015198373263984
69,2022-11-08,0.0146927092261989
70,2022-11-09,0.0138000344923425
71,2022-11-10,0.0134674074572765
72,2022-11-11,0.0128544214760151
73,2022-11-12,0.0044018616161963
74,2022-11-13,0.00318227966893417
75,2022-11-14,0.00556971755518456
76,2022-11-15,0.00486439671261575
77,2022-11-16,0.00415904355597579
78,2022-11-17,0.00361993534883221
79,2022-11-18,0.00359481161623732
80,2022-11-19,0.00488170063019627
81,2022-11-20,0.00439071730443634
82,2022-11-21,0.00480916754829443
83,2022-11-22,0.00606582639797713
84,2022-11-23,0.00791995416541179
85,2022-11-24,0.0105354031536145
86,2022-11-25,0.0102823832180502
87,2022-11-26,0.007696283458511
88,2022-11-27,0.00562742752766218
89,2022-11-28,0.0068066236186735
90,2022-11-29,0.0109375953295673
91,2022-11-30,0.00714344216211972
92,2022-12-01,0.00419826476982879
93,2022-12-02,0.00928045972779563
94,2022-12-03,0.0108611824477769
95,2022-12-04,0.00759026047072815
96,2022-12-05,0.0111783855839284
97,2022-12-06,0.0133369958293953
98,2022-12-07,0.0138511185339097
99,2022-12-08,0.0139822436854093
100,2022-12-09,0.0132259237356578
101,2022-12-10,0.0132284242626882
102,2022-12-11,0.0124592597448182
103,2022-12-12,0.0116692370067191
104,2022-12-13,0.0129314671738562
105,2022-12-14,0.00580990404470334
106,2022-12-15,0.0033729609823433
107,2022-12-16,0.00531540783251532
