param,mean,q05,q95
beta_baseline,0.036696515023427134,0.03529871972863055,0.03911914610633854
humidity_impact,0.39361220517229734,0.2758932486916424,0.4683416606272897
log10_E0_scale,-0.2515626515859291,-0.37577313702597487,0.05685518239451536
ihr_scale,0.5978129939788445,0.4286383739236536,1.1041442481142865
dlogm1,0.016524129830802373,-0.1647415857085777,0.1335323797933273
dlogm2,-0.02570886886767047,-0.16961970191126235,0.13110218643235944
dlogm3,0.16610657791287292,0.12268481302768915,0.2628605336004629
dlogm4,-0.1918241652050839,-0.25405296520066856,-0.07072002895211339
dlogm5,-0.18776275198883682,-0.32341912670447825,-0.09535723696826721
dlogm6,-0.04200523802024921,-0.09377128337897836,-0.006087090000445697
dlogm7,-0.12616998060200546,-0.30015127891479293,0.0454882835781355
dlogm8,-0.139927490476939,-0.2270886489626986,-0.037054813963547414
