param,mean,q05,q95
beta_baseline,0.029117005518325537,0.026517728155948366,0.03235391359405054
humidity_impact,0.7565240545210364,0.4368739852429148,0.9820259473187012
log10_E0_scale,0.1976788783925056,-0.14412367369667198,0.546720314437981
ihr_scale,1.3677192347233786,0.8730985289174709,1.8715235645930874
dlogm1,-0.06953712637637142,-0.2604869539694086,0.12124108119179913
dlogm2,-0.06172004149820384,-0.26940339156519666,0.13641321596231532
dlogm3,0.6282881031448632,0.509405320545699,0.7454223895180643
dlogm4,-0.5376199128940399,-0.6012415613343212,-0.46718022253305447
dlogm5,-0.5516640977387526,-0.628971993880681,-0.4802078571264663
dlogm6,0.7046944608763733,0.5787301564093887,0.8318152681956195
dlogm7,-0.12470004083639949,-0.29240026802175534,0.035419213987864115
dlogm8,0.08211989128194494,-0.17901034314998399,0.339193103229261
phi,25.67724104897567,19.486022593241753,32.355296398134115
