"","date","daily_vaccines"
"44","2023-09-12","[[0.004108, 0.004108],[0.003685, 0.003685],[0.001427, 0.001427],[0.002311, 0.002311],[0.004065, 0.004065]]"
"45","2023-09-13","[[0.004196, 0.004196],[0.003742, 0.003742],[0.001452, 0.001452],[0.002413, 0.002413],[0.004206, 0.004206]]"
"46","2023-09-14","[[0.004284, 0.004284],[0.003799, 0.003799],[0.001477, 0.001477],[0.002518, 0.002518],[0.00435, 0.00435]]"
"47","2023-09-15","[[0.004372, 0.004372],[0.003855, 0.003855],[0.001503, 0.001503],[0.002625, 0.002625],[0.004496, 0.004496]]"
"48","2023-09-16","[[0.004461, 0.004461],[0.00391, 0.00391],[0.001528, 0.001528],[0.002736, 0.002736],[0.004645, 0.004645]]"
"49","2023-09-17","[[0.004549, 0.004549],[0.003965, 0.003965],[0.001554, 0.001554],[0.00285, 0.00285],[0.004797, 0.004797]]"
"50","2023-09-18","[[0.004637, 0.004637],[0.004019, 0.004019],[0.00158, 0.00158],[0.002966, 0.002966],[0.004951, 0.004951]]"
"51","2023-09-19","[[0.004724, 0.004724],[0.004073, 0.004073],[0.001605, 0.001605],[0.003085, 0.003085],[0.005108, 0.005108]]"
"52","2023-09-20","[[0.004812, 0.004812],[0.004126, 0.004126],[0.001631, 0.001631],[0.003206, 0.003206],[0.005266, 0.005266]]"
"53","2023-09-21","[[0.004899, 0.004899],[0.004178, 0.004178],[0.001658, 0.001658],[0.00333, 0.00333],[0.005427, 0.005427]]"
"54","2023-09-22","[[0.004985, 0.004985],[0.004229, 0.004229],[0.001684, 0.001684],[0.003456, 0.003456],[0.005589, 0.005589]]"
"55","2023-09-23","[[0.00507, 0.00507],[0.00428, 0.00428],[0.00171, 0.00171],[0.003584, 0.003584],[0.005753, 0.005753]]"
"56","2023-09-24","[[0.005155, 0.005155],[0.004329, 0.004329],[0.001737, 0.001737],[0.003713, 0.003713],[0.005918, 0.005918]]"
"57","2023-09-25","[[0.005238, 0.005238],[0.004377, 0.004377],[0.001763, 0.001763],[0.003844, 0.003844],[0.006084, 0.006084]]"
"58","2023-09-26","[[0.005321, 0.005321],[0.004424, 0.004424],[0.001789, 0.001789],[0.003976, 0.003976],[0.00625, 0.00625]]"
"59","2023-09-27","[[0.005402, 0.005402],[0.00447, 0.00447],[0.001816, 0.001816],[0.004109, 0.004109],[0.006417, 0.006417]]"
"60","2023-09-28","[[0.005481, 0.005481],[0.004514, 0.004514],[0.001842, 0.001842],[0.004242, 0.004242],[0.006584, 0.006584]]"
"61","2023-09-29","[[0.005559, 0.005559],[0.004558, 0.004558],[0.001869, 0.001869],[0.004375, 0.004375],[0.006751, 0.006751]]"
"62","2023-09-30","[[0.005636, 0.005636],[0.004599, 0.004599],[0.001895, 0.001895],[0.004508, 0.004508],[0.006917, 0.006917]]"
"63","2023-10-01","[[0.00571, 0.00571],[0.00464, 0.00464],[0.001921, 0.001921],[0.004641, 0.004641],[0.007082, 0.007082]]"
"64","2023-10-02","[[0.005782, 0.005782],[0.004678, 0.004678],[0.001948, 0.001948],[0.004772, 0.004772],[0.007246, 0.007246]]"
"65","2023-10-03","[[0.005853, 0.005853],[0.004716, 0.004716],[0.001974, 0.001974],[0.004901, 0.004901],[0.007407, 0.007407]]"
"66","2023-10-04","[[0.005921, 0.005921],[0.004751, 0.004751],[0.002, 0.002],[0.005028, 0.005028],[0.007567, 0.007567]]"
"67","2023-10-05","[[0.005986, 0.005986],[0.004785, 0.004785],[0.002026, 0.002026],[0.005152, 0.005152],[0.007723, 0.007723]]"
"68","2023-10-06","[[0.006049, 0.006049],[0.004817, 0.004817],[0.002052, 0.002052],[0.005274, 0.005274],[0.007877, 0.007877]]"
