age_group,low_ve,baseline_ve,high_ve
0,48.4% [48.4% - 48.4%],69.3% [69.3% - 69.3%],82.6% [82.6% - 82.6%]
1-4,55.5% [55.5% - 55.5%],75.6% [75.6% - 75.6%],88.8% [88.8% - 88.8%]
5-12,52.6% [52.6% - 52.6%],72.5% [72.5% - 72.5%],85.6% [85.6% - 85.6%]
13-17,49.1% [49.1% - 49.1%],69.7% [69.7% - 69.7%],83.2% [83.2% - 83.2%]
18-49,41.2% [41.2% - 41.2%],64.5% [64.5% - 64.5%],78.1% [78.1% - 78.1%]
50-64,42.1% [42.1% - 42.1%],66.3% [66.3% - 66.3%],80.1% [80.1% - 80.1%]
65+,48.2% [48.2% - 48.2%],69.3% [69.3% - 69.3%],81.6% [81.6% - 81.6%]
All,47.3% [47.3% - 47.3%],68.9% [68.9% - 68.9%],81.5% [81.5% - 81.5%]
