age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,16.9% [16.9% - 16.9%],8.5% [8.5% - 8.5%],24.3% [24.3% - 24.3%],14.0% [14.0% - 14.0%],18.1% [18.1% - 18.1%],8.8% [8.8% - 8.8%],0.0% [0.0% - 0.0%],69.3% [69.3% - 69.3%]
1-4,0.5% [0.5% - 0.5%],38.7% [38.7% - 38.7%],25.8% [25.8% - 25.8%],13.4% [13.4% - 13.4%],16.8% [16.8% - 16.8%],8.3% [8.3% - 8.3%],0.0% [0.0% - 0.0%],75.6% [75.6% - 75.6%]
5-12,0.4% [0.4% - 0.4%],7.1% [7.1% - 7.1%],46.5% [46.5% - 46.5%],13.1% [13.1% - 13.1%],14.4% [14.4% - 14.4%],7.3% [7.3% - 7.3%],0.0% [0.0% - 0.0%],72.5% [72.5% - 72.5%]
13-17,0.3% [0.3% - 0.3%],5.8% [5.8% - 5.8%],21.5% [21.5% - 21.5%],35.1% [35.1% - 35.1%],14.5% [14.5% - 14.5%],7.8% [7.8% - 7.8%],0.0% [0.0% - 0.0%],69.7% [69.7% - 69.7%]
18-49,0.4% [0.4% - 0.4%],7.0% [7.0% - 7.0%],22.2% [22.2% - 22.2%],13.6% [13.6% - 13.6%],23.7% [23.7% - 23.7%],9.1% [9.1% - 9.1%],0.0% [0.0% - 0.0%],64.5% [64.5% - 64.5%]
50-64,0.4% [0.4% - 0.4%],6.6% [6.6% - 6.6%],21.9% [21.9% - 21.9%],13.9% [13.9% - 13.9%],17.2% [17.2% - 17.2%],21.3% [21.3% - 21.3%],0.0% [0.0% - 0.0%],66.3% [66.3% - 66.3%]
65+,0.4% [0.4% - 0.4%],7.3% [7.3% - 7.3%],23.4% [23.4% - 23.4%],14.6% [14.6% - 14.6%],17.6% [17.6% - 17.6%],10.4% [10.4% - 10.4%],18.3% [18.3% - 18.3%],69.3% [69.3% - 69.3%]
All,0.5% [0.5% - 0.5%],8.3% [8.3% - 8.3%],23.8% [23.8% - 23.8%],14.7% [14.7% - 14.7%],18.0% [18.0% - 18.0%],11.3% [11.3% - 11.3%],12.9% [12.9% - 12.9%],68.9% [68.9% - 68.9%]
