,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,58.9% [58.9% - 58.9%],—,—,—,—,—,—,57.6% [57.6% - 57.6%]
1-4,—,59.0% [59.0% - 59.0%],—,—,—,—,—,57.7% [57.7% - 57.7%]
5-12,—,—,59.3% [59.3% - 59.3%],—,—,—,—,58.0% [58.0% - 58.0%]
13-17,—,—,—,59.8% [59.8% - 59.8%],—,—,—,58.1% [58.1% - 58.1%]
18-49,—,—,—,—,80.5% [80.5% - 80.5%],—,—,79.6% [79.6% - 79.6%]
50-64,—,—,—,—,—,80.4% [80.4% - 80.4%],—,79.5% [79.5% - 79.5%]
65+,—,—,—,—,—,—,99.9% [99.9% - 99.9%],99.9% [99.9% - 99.9%]
