"","date","daily_vaccines"
"1","2024-07-31","[[0.067408, 0.067408],[0.049772, 0.049772],[0.013998, 0.013998],[0.006393, 0.006393],[0.037412, 0.037412]]"
"2","2024-08-01","[[0.001718, 0.001718],[0.001398, 0.001398],[0.000495, 0.000495],[0.000318, 0.000318],[0.001018, 0.001018]]"
"3","2024-08-02","[[0.001757, 0.001757],[0.001434, 0.001434],[0.000512, 0.000512],[0.000333, 0.000333],[0.001044, 0.001044]]"
"4","2024-08-03","[[0.001797, 0.001797],[0.00147, 0.00147],[0.000529, 0.000529],[0.00035, 0.00035],[0.001071, 0.001071]]"
"5","2024-08-04","[[0.001838, 0.001838],[0.001507, 0.001507],[0.000546, 0.000546],[0.000367, 0.000367],[0.001098, 0.001098]]"
"6","2024-08-05","[[0.001879, 0.001879],[0.001545, 0.001545],[0.000564, 0.000564],[0.000384, 0.000384],[0.001125, 0.001125]]"
"7","2024-08-06","[[0.001921, 0.001921],[0.001583, 0.001583],[0.000583, 0.000583],[0.000403, 0.000403],[0.001153, 0.001153]]"
"8","2024-08-07","[[0.001964, 0.001964],[0.001622, 0.001622],[0.000602, 0.000602],[0.000422, 0.000422],[0.001182, 0.001182]]"
"9","2024-08-08","[[0.002008, 0.002008],[0.001662, 0.001662],[0.000622, 0.000622],[0.000442, 0.000442],[0.001212, 0.001212]]"
"10","2024-08-09","[[0.002052, 0.002052],[0.001702, 0.001702],[0.000642, 0.000642],[0.000464, 0.000464],[0.001241, 0.001241]]"
"11","2024-08-10","[[0.002096, 0.002096],[0.001743, 0.001743],[0.000662, 0.000662],[0.000486, 0.000486],[0.001272, 0.001272]]"
"12","2024-08-11","[[0.002142, 0.002142],[0.001785, 0.001785],[0.000683, 0.000683],[0.000509, 0.000509],[0.001303, 0.001303]]"
"13","2024-08-12","[[0.002188, 0.002188],[0.001827, 0.001827],[0.000705, 0.000705],[0.000533, 0.000533],[0.001335, 0.001335]]"
"14","2024-08-13","[[0.002235, 0.002235],[0.001871, 0.001871],[0.000727, 0.000727],[0.000558, 0.000558],[0.001367, 0.001367]]"
"15","2024-08-14","[[0.002282, 0.002282],[0.001914, 0.001914],[0.00075, 0.00075],[0.000584, 0.000584],[0.0014, 0.0014]]"
"16","2024-08-15","[[0.00233, 0.00233],[0.001959, 0.001959],[0.000774, 0.000774],[0.000612, 0.000612],[0.001434, 0.001434]]"
"17","2024-08-16","[[0.002378, 0.002378],[0.002004, 0.002004],[0.000797, 0.000797],[0.00064, 0.00064],[0.001468, 0.001468]]"
"18","2024-08-17","[[0.002428, 0.002428],[0.002049, 0.002049],[0.000822, 0.000822],[0.00067, 0.00067],[0.001503, 0.001503]]"
"19","2024-08-18","[[0.002477, 0.002477],[0.002096, 0.002096],[0.000847, 0.000847],[0.000701, 0.000701],[0.001538, 0.001538]]"
"20","2024-08-19","[[0.002528, 0.002528],[0.002142, 0.002142],[0.000873, 0.000873],[0.000733, 0.000733],[0.001574, 0.001574]]"
"21","2024-08-20","[[0.002579, 0.002579],[0.00219, 0.00219],[0.000899, 0.000899],[0.000766, 0.000766],[0.001611, 0.001611]]"
"22","2024-08-21","[[0.00263, 0.00263],[0.002238, 0.002238],[0.000926, 0.000926],[0.000801, 0.000801],[0.001648, 0.001648]]"
"23","2024-08-22","[[0.002682, 0.002682],[0.002286, 0.002286],[0.000953, 0.000953],[0.000838, 0.000838],[0.001686, 0.001686]]"
"24","2024-08-23","[[0.002734, 0.002734],[0.002335, 0.002335],[0.000981, 0.000981],[0.000875, 0.000875],[0.001725, 0.001725]]"
"25","2024-08-24","[[0.002787, 0.002787],[0.002385, 0.002385],[0.001009, 0.001009],[0.000914, 0.000914],[0.001764, 0.001764]]"
"26","2024-08-25","[[0.002841, 0.002841],[0.002435, 0.002435],[0.001038, 0.001038],[0.000955, 0.000955],[0.001803, 0.001803]]"
"27","2024-08-26","[[0.002895, 0.002895],[0.002485, 0.002485],[0.001068, 0.001068],[0.000997, 0.000997],[0.001844, 0.001844]]"
"28","2024-08-27","[[0.002949, 0.002949],[0.002536, 0.002536],[0.001098, 0.001098],[0.001041, 0.001041],[0.001885, 0.001885]]"
"29","2024-08-28","[[0.003003, 0.003003],[0.002587, 0.002587],[0.001129, 0.001129],[0.001086, 0.001086],[0.001926, 0.001926]]"
"30","2024-08-29","[[0.003058, 0.003058],[0.002639, 0.002639],[0.00116, 0.00116],[0.001133, 0.001133],[0.001968, 0.001968]]"
