"","date","daily_vaccines"
"1","2024-07-31","[[0.07677, 0.07677],[0.056685, 0.056685],[0.015943, 0.015943],[0.007281, 0.007281],[0.042608, 0.042608]]"
"2","2024-08-01","[[0.001956, 0.001956],[0.001593, 0.001593],[0.000564, 0.000564],[0.000362, 0.000362],[0.00116, 0.00116]]"
"3","2024-08-02","[[0.002001, 0.002001],[0.001633, 0.001633],[0.000583, 0.000583],[0.00038, 0.00038],[0.001189, 0.001189]]"
"4","2024-08-03","[[0.002047, 0.002047],[0.001674, 0.001674],[0.000602, 0.000602],[0.000398, 0.000398],[0.001219, 0.001219]]"
"5","2024-08-04","[[0.002093, 0.002093],[0.001716, 0.001716],[0.000622, 0.000622],[0.000418, 0.000418],[0.00125, 0.00125]]"
"6","2024-08-05","[[0.00214, 0.00214],[0.001759, 0.001759],[0.000643, 0.000643],[0.000438, 0.000438],[0.001282, 0.001282]]"
"7","2024-08-06","[[0.002188, 0.002188],[0.001803, 0.001803],[0.000664, 0.000664],[0.000459, 0.000459],[0.001314, 0.001314]]"
"8","2024-08-07","[[0.002237, 0.002237],[0.001847, 0.001847],[0.000686, 0.000686],[0.000481, 0.000481],[0.001346, 0.001346]]"
"9","2024-08-08","[[0.002286, 0.002286],[0.001893, 0.001893],[0.000708, 0.000708],[0.000504, 0.000504],[0.00138, 0.00138]]"
"10","2024-08-09","[[0.002337, 0.002337],[0.001939, 0.001939],[0.000731, 0.000731],[0.000528, 0.000528],[0.001414, 0.001414]]"
"11","2024-08-10","[[0.002388, 0.002388],[0.001985, 0.001985],[0.000754, 0.000754],[0.000553, 0.000553],[0.001449, 0.001449]]"
"12","2024-08-11","[[0.002439, 0.002439],[0.002033, 0.002033],[0.000778, 0.000778],[0.000579, 0.000579],[0.001484, 0.001484]]"
"13","2024-08-12","[[0.002492, 0.002492],[0.002081, 0.002081],[0.000803, 0.000803],[0.000607, 0.000607],[0.00152, 0.00152]]"
"14","2024-08-13","[[0.002545, 0.002545],[0.00213, 0.00213],[0.000828, 0.000828],[0.000635, 0.000635],[0.001557, 0.001557]]"
"15","2024-08-14","[[0.002599, 0.002599],[0.00218, 0.00218],[0.000854, 0.000854],[0.000665, 0.000665],[0.001595, 0.001595]]"
"16","2024-08-15","[[0.002653, 0.002653],[0.002231, 0.002231],[0.000881, 0.000881],[0.000696, 0.000696],[0.001633, 0.001633]]"
"17","2024-08-16","[[0.002709, 0.002709],[0.002282, 0.002282],[0.000908, 0.000908],[0.000729, 0.000729],[0.001672, 0.001672]]"
"18","2024-08-17","[[0.002765, 0.002765],[0.002334, 0.002334],[0.000936, 0.000936],[0.000763, 0.000763],[0.001712, 0.001712]]"
"19","2024-08-18","[[0.002821, 0.002821],[0.002387, 0.002387],[0.000965, 0.000965],[0.000798, 0.000798],[0.001752, 0.001752]]"
"20","2024-08-19","[[0.002879, 0.002879],[0.00244, 0.00244],[0.000994, 0.000994],[0.000835, 0.000835],[0.001793, 0.001793]]"
"21","2024-08-20","[[0.002937, 0.002937],[0.002494, 0.002494],[0.001024, 0.001024],[0.000873, 0.000873],[0.001835, 0.001835]]"
"22","2024-08-21","[[0.002995, 0.002995],[0.002549, 0.002549],[0.001054, 0.001054],[0.000913, 0.000913],[0.001877, 0.001877]]"
"23","2024-08-22","[[0.003054, 0.003054],[0.002604, 0.002604],[0.001085, 0.001085],[0.000954, 0.000954],[0.00192, 0.00192]]"
"24","2024-08-23","[[0.003114, 0.003114],[0.00266, 0.00266],[0.001117, 0.001117],[0.000997, 0.000997],[0.001964, 0.001964]]"
"25","2024-08-24","[[0.003174, 0.003174],[0.002716, 0.002716],[0.00115, 0.00115],[0.001041, 0.001041],[0.002009, 0.002009]]"
"26","2024-08-25","[[0.003235, 0.003235],[0.002773, 0.002773],[0.001183, 0.001183],[0.001088, 0.001088],[0.002054, 0.002054]]"
"27","2024-08-26","[[0.003297, 0.003297],[0.00283, 0.00283],[0.001216, 0.001216],[0.001136, 0.001136],[0.0021, 0.0021]]"
"28","2024-08-27","[[0.003358, 0.003358],[0.002888, 0.002888],[0.001251, 0.001251],[0.001185, 0.001185],[0.002146, 0.002146]]"
"29","2024-08-28","[[0.003421, 0.003421],[0.002947, 0.002947],[0.001285, 0.001285],[0.001237, 0.001237],[0.002194, 0.002194]]"
"30","2024-08-29","[[0.003483, 0.003483],[0.003005, 0.003005],[0.001321, 0.001321],[0.00129, 0.00129],[0.002242, 0.002242]]"
"31","2024-08-30","[[0.003546, 0.003546],[0.003065, 0.003065],[0.001357, 0.001357],[0.001345, 0.001345],[0.00229, 0.00229]]"
"32","2024-08-31","[[0.00361, 0.00361],[0.003124, 0.003124],[0.001393, 0.001393],[0.001403, 0.001403],[0.002339, 0.002339]]"
"33","2024-09-01","[[0.003673, 0.003673],[0.003184, 0.003184],[0.00143, 0.00143],[0.001461, 0.001461],[0.002389, 0.002389]]"
"34","2024-09-02","[[0.003737, 0.003737],[0.003244, 0.003244],[0.001468, 0.001468],[0.001522, 0.001522],[0.00244, 0.00244]]"
"35","2024-09-03","[[0.003801, 0.003801],[0.003304, 0.003304],[0.001506, 0.001506],[0.001585, 0.001585],[0.002491, 0.002491]]"
"36","2024-09-04","[[0.003865, 0.003865],[0.003364, 0.003364],[0.001545, 0.001545],[0.00165, 0.00165],[0.002542, 0.002542]]"
"37","2024-09-05","[[0.00393, 0.00393],[0.003424, 0.003424],[0.001583, 0.001583],[0.001716, 0.001716],[0.002594, 0.002594]]"
"38","2024-09-06","[[0.003994, 0.003994],[0.003484, 0.003484],[0.001623, 0.001623],[0.001785, 0.001785],[0.002647, 0.002647]]"
"39","2024-09-07","[[0.004059, 0.004059],[0.003545, 0.003545],[0.001662, 0.001662],[0.001855, 0.001855],[0.0027, 0.0027]]"
"40","2024-09-08","[[0.004123, 0.004123],[0.003605, 0.003605],[0.001702, 0.001702],[0.001927, 0.001927],[0.002754, 0.002754]]"
"41","2024-09-09","[[0.004188, 0.004188],[0.003665, 0.003665],[0.001742, 0.001742],[0.002001, 0.002001],[0.002808, 0.002808]]"
"42","2024-09-10","[[0.004252, 0.004252],[0.003725, 0.003725],[0.001783, 0.001783],[0.002076, 0.002076],[0.002862, 0.002862]]"
"43","2024-09-11","[[0.004317, 0.004317],[0.003785, 0.003785],[0.001824, 0.001824],[0.002153, 0.002153],[0.002917, 0.002917]]"
"44","2024-09-12","[[0.004381, 0.004381],[0.003844, 0.003844],[0.001864, 0.001864],[0.002232, 0.002232],[0.002972, 0.002972]]"
"45","2024-09-13","[[0.004444, 0.004444],[0.003903, 0.003903],[0.001905, 0.001905],[0.002312, 0.002312],[0.003028, 0.003028]]"
"46","2024-09-14","[[0.004508, 0.004508],[0.003961, 0.003961],[0.001946, 0.001946],[0.002394, 0.002394],[0.003084, 0.003084]]"
"47","2024-09-15","[[0.004571, 0.004571],[0.004019, 0.004019],[0.001987, 0.001987],[0.002477, 0.002477],[0.00314, 0.00314]]"
"48","2024-09-16","[[0.004633, 0.004633],[0.004076, 0.004076],[0.002028, 0.002028],[0.002562, 0.002562],[0.003197, 0.003197]]"
"49","2024-09-17","[[0.004695, 0.004695],[0.004133, 0.004133],[0.002068, 0.002068],[0.002647, 0.002647],[0.003253, 0.003253]]"
