param,mean,q05,q95
beta_baseline,0.043760442421685405,0.04245825659686389,0.044703906889420525
humidity_impact,0.16687249800006737,0.1115715311347775,0.23533827785200095
log10_E0_scale,-0.6469578512182467,-0.6947916421482484,-0.5449502950101501
ihr_scale_0,0.2676323920787134,0.22333119702394558,0.31476822438271224
ihr_scale_1-4,0.28397644510286574,0.25414955659201866,0.3137683317682565
ihr_scale_5-12,0.1820245012023685,0.16295340222462437,0.2021207911243513
ihr_scale_13-17,0.13706051769911534,0.11804442612291036,0.15644880773761707
ihr_scale_18-49,0.10136085267181472,0.10005958857465028,0.10414441412568695
ihr_scale_50-64,0.12834123477631304,0.12010497129027575,0.1368376326187091
ihr_scale_65+,0.1626815514937421,0.15296101470583695,0.17440830733662888
phi,9.126423891054998,7.904480438893768,10.436490950264206
