,date,is_school_day,is_work_day
201,2025-02-18,1,0.87
202,2025-02-19,1,0.87
203,2025-02-20,1,0.87
204,2025-02-21,1,0.87
205,2025-02-22,0,0.29
206,2025-02-23,0,0.29
207,2025-02-24,1,0.87
208,2025-02-25,1,0.87
209,2025-02-26,1,0.87
210,2025-02-27,1,0.87
211,2025-02-28,1,0.87
212,2025-03-01,0,0.29
213,2025-03-02,0,0.29
214,2025-03-03,1,0.87
215,2025-03-04,1,0.87
216,2025-03-05,1,0.87
217,2025-03-06,1,0.87
218,2025-03-07,1,0.87
219,2025-03-08,0,0.29
220,2025-03-09,0,0.29
221,2025-03-10,1,0.87
222,2025-03-11,1,0.87
223,2025-03-12,1,0.87
224,2025-03-13,1,0.87
225,2025-03-14,0.41,0.87
226,2025-03-15,0,0.29
227,2025-03-16,0,0.29
228,2025-03-17,0,0.87
229,2025-03-18,0,0.87
230,2025-03-19,0,0.87
231,2025-03-20,0,0.87
232,2025-03-21,0,0.87
233,2025-03-22,0,0.29
234,2025-03-23,0,0.29
235,2025-03-24,1,0.87
236,2025-03-25,1,0.87
237,2025-03-26,1,0.87
238,2025-03-27,1,0.87
239,2025-03-28,1,0.87
240,2025-03-29,0,0.29
241,2025-03-30,0,0.29
242,2025-03-31,0.19,0.87
243,2025-04-01,1,0.87
244,2025-04-02,1,0.87
245,2025-04-03,1,0.87
246,2025-04-04,1,0.87
247,2025-04-05,0,0.29
248,2025-04-06,0,0.29
249,2025-04-07,1,0.87
250,2025-04-08,1,0.87
251,2025-04-09,1,0.87
252,2025-04-10,1,0.87
253,2025-04-11,1,0.87
254,2025-04-12,0,0.29
255,2025-04-13,0,0.29
256,2025-04-14,1,0.87
257,2025-04-15,1,0.87
258,2025-04-16,1,0.87
259,2025-04-17,1,0.87
260,2025-04-18,0,0.87
261,2025-04-19,0,0.29
262,2025-04-20,0,0.29
263,2025-04-21,0.83,0.87
264,2025-04-22,1,0.87
265,2025-04-23,1,0.87
266,2025-04-24,1,0.87
267,2025-04-25,1,0.87
268,2025-04-26,0,0.29
269,2025-04-27,0,0.29
270,2025-04-28,1,0.87
271,2025-04-29,1,0.87
272,2025-04-30,1,0.87
273,2025-05-01,1,0.87
274,2025-05-02,1,0.87
275,2025-05-03,0,0.29
276,2025-05-04,0,0.29
277,2025-05-05,1,0.87
278,2025-05-06,1,0.87
279,2025-05-07,1,0.87
280,2025-05-08,1,0.87
281,2025-05-09,1,0.87
282,2025-05-10,0,0.29
283,2025-05-11,0,0.29
284,2025-05-12,1,0.87
285,2025-05-13,1,0.87
286,2025-05-14,1,0.87
287,2025-05-15,1,0.87
288,2025-05-16,1,0.87
289,2025-05-17,0,0.29
290,2025-05-18,0,0.29
291,2025-05-19,1,0.87
292,2025-05-20,1,0.87
293,2025-05-21,1,0.87
294,2025-05-22,1,0.87
295,2025-05-23,0.68,0.87
296,2025-05-24,0,0.29
297,2025-05-25,0,0.29
298,2025-05-26,0,0.27
299,2025-05-27,0.68,0.87
300,2025-05-28,0.68,0.87
301,2025-05-29,0.68,0.87
302,2025-05-30,0,0.87
303,2025-05-31,0,0.29
