"","date","daily_vaccines"
"44","2024-09-12","[[0.00296, 0.00296],[0.002634, 0.002634],[0.001312, 0.001312],[0.002112, 0.002112],[0.002367, 0.002367]]"
"45","2024-09-13","[[0.003003, 0.003003],[0.002674, 0.002674],[0.001341, 0.001341],[0.002188, 0.002188],[0.002411, 0.002411]]"
"46","2024-09-14","[[0.003046, 0.003046],[0.002714, 0.002714],[0.00137, 0.00137],[0.002265, 0.002265],[0.002456, 0.002456]]"
"47","2024-09-15","[[0.003089, 0.003089],[0.002754, 0.002754],[0.001399, 0.001399],[0.002344, 0.002344],[0.002501, 0.002501]]"
"48","2024-09-16","[[0.003131, 0.003131],[0.002793, 0.002793],[0.001427, 0.001427],[0.002424, 0.002424],[0.002546, 0.002546]]"
"49","2024-09-17","[[0.003173, 0.003173],[0.002832, 0.002832],[0.001456, 0.001456],[0.002504, 0.002504],[0.002591, 0.002591]]"
"50","2024-09-18","[[0.003215, 0.003215],[0.00287, 0.00287],[0.001484, 0.001484],[0.002586, 0.002586],[0.002636, 0.002636]]"
"51","2024-09-19","[[0.003256, 0.003256],[0.002908, 0.002908],[0.001513, 0.001513],[0.002668, 0.002668],[0.002681, 0.002681]]"
"52","2024-09-20","[[0.003296, 0.003296],[0.002945, 0.002945],[0.001541, 0.001541],[0.002751, 0.002751],[0.002727, 0.002727]]"
"53","2024-09-21","[[0.003337, 0.003337],[0.002982, 0.002982],[0.001569, 0.001569],[0.002835, 0.002835],[0.002772, 0.002772]]"
"54","2024-09-22","[[0.003376, 0.003376],[0.003017, 0.003017],[0.001596, 0.001596],[0.002918, 0.002918],[0.002817, 0.002817]]"
"55","2024-09-23","[[0.003415, 0.003415],[0.003052, 0.003052],[0.001623, 0.001623],[0.003002, 0.003002],[0.002863, 0.002863]]"
"56","2024-09-24","[[0.003454, 0.003454],[0.003087, 0.003087],[0.00165, 0.00165],[0.003085, 0.003085],[0.002908, 0.002908]]"
"57","2024-09-25","[[0.003491, 0.003491],[0.00312, 0.00312],[0.001676, 0.001676],[0.003168, 0.003168],[0.002953, 0.002953]]"
"58","2024-09-26","[[0.003528, 0.003528],[0.003152, 0.003152],[0.001702, 0.001702],[0.00325, 0.00325],[0.002998, 0.002998]]"
"59","2024-09-27","[[0.003564, 0.003564],[0.003184, 0.003184],[0.001727, 0.001727],[0.003332, 0.003332],[0.003043, 0.003043]]"
"60","2024-09-28","[[0.0036, 0.0036],[0.003214, 0.003214],[0.001751, 0.001751],[0.003412, 0.003412],[0.003087, 0.003087]]"
"61","2024-09-29","[[0.003634, 0.003634],[0.003244, 0.003244],[0.001775, 0.001775],[0.003491, 0.003491],[0.003131, 0.003131]]"
"62","2024-09-30","[[0.003668, 0.003668],[0.003272, 0.003272],[0.001798, 0.001798],[0.003568, 0.003568],[0.003175, 0.003175]]"
"63","2024-10-01","[[0.0037, 0.0037],[0.003299, 0.003299],[0.00182, 0.00182],[0.003643, 0.003643],[0.003219, 0.003219]]"
"64","2024-10-02","[[0.003732, 0.003732],[0.003325, 0.003325],[0.001842, 0.001842],[0.003716, 0.003716],[0.003262, 0.003262]]"
"65","2024-10-03","[[0.003763, 0.003763],[0.00335, 0.00335],[0.001862, 0.001862],[0.003787, 0.003787],[0.003304, 0.003304]]"
"66","2024-10-04","[[0.003792, 0.003792],[0.003374, 0.003374],[0.001882, 0.001882],[0.003855, 0.003855],[0.003346, 0.003346]]"
"67","2024-10-05","[[0.003821, 0.003821],[0.003396, 0.003396],[0.001901, 0.001901],[0.00392, 0.00392],[0.003387, 0.003387]]"
"68","2024-10-06","[[0.003848, 0.003848],[0.003417, 0.003417],[0.001918, 0.001918],[0.003981, 0.003981],[0.003428, 0.003428]]"
"69","2024-10-07","[[0.003874, 0.003874],[0.003436, 0.003436],[0.001935, 0.001935],[0.004039, 0.004039],[0.003468, 0.003468]]"
"70","2024-10-08","[[0.003899, 0.003899],[0.003454, 0.003454],[0.00195, 0.00195],[0.004093, 0.004093],[0.003507, 0.003507]]"
"71","2024-10-09","[[0.003922, 0.003922],[0.003471, 0.003471],[0.001965, 0.001965],[0.004143, 0.004143],[0.003546, 0.003546]]"
"72","2024-10-10","[[0.003945, 0.003945],[0.003486, 0.003486],[0.001978, 0.001978],[0.004189, 0.004189],[0.003584, 0.003584]]"
"73","2024-10-11","[[0.003966, 0.003966],[0.003499, 0.003499],[0.00199, 0.00199],[0.004231, 0.004231],[0.00362, 0.00362]]"
"74","2024-10-12","[[0.003985, 0.003985],[0.003511, 0.003511],[0.002001, 0.002001],[0.004268, 0.004268],[0.003656, 0.003656]]"
"75","2024-10-13","[[0.004004, 0.004004],[0.003522, 0.003522],[0.00201, 0.00201],[0.0043, 0.0043],[0.003691, 0.003691]]"
"76","2024-10-14","[[0.00402, 0.00402],[0.003531, 0.003531],[0.002018, 0.002018],[0.004327, 0.004327],[0.003725, 0.003725]]"
"77","2024-10-15","[[0.004036, 0.004036],[0.003538, 0.003538],[0.002025, 0.002025],[0.004349, 0.004349],[0.003758, 0.003758]]"
"78","2024-10-16","[[0.00405, 0.00405],[0.003544, 0.003544],[0.002031, 0.002031],[0.004365, 0.004365],[0.00379, 0.00379]]"
"79","2024-10-17","[[0.004062, 0.004062],[0.003548, 0.003548],[0.002035, 0.002035],[0.004377, 0.004377],[0.00382, 0.00382]]"
"80","2024-10-18","[[0.004073, 0.004073],[0.003551, 0.003551],[0.002038, 0.002038],[0.004383, 0.004383],[0.00385, 0.00385]]"
"81","2024-10-19","[[0.004083, 0.004083],[0.003552, 0.003552],[0.002039, 0.002039],[0.004384, 0.004384],[0.003878, 0.003878]]"
"82","2024-10-20","[[0.004091, 0.004091],[0.003551, 0.003551],[0.00204, 0.00204],[0.004379, 0.004379],[0.003904, 0.003904]]"
"83","2024-10-21","[[0.004097, 0.004097],[0.003549, 0.003549],[0.002038, 0.002038],[0.004369, 0.004369],[0.00393, 0.00393]]"
"84","2024-10-22","[[0.004102, 0.004102],[0.003545, 0.003545],[0.002036, 0.002036],[0.004354, 0.004354],[0.003954, 0.003954]]"
"85","2024-10-23","[[0.004105, 0.004105],[0.003539, 0.003539],[0.002032, 0.002032],[0.004333, 0.004333],[0.003977, 0.003977]]"
