,Subpop,0-4,5-17,18-49,50-64,65plus,Totals
0,1,39795,108608,260571,103725,70587,583286
1,2,20465,48905,215487,66311,48996,400164
2,3,31330,83987,198166,71208,48370,433061
3,4,36980,122960,239916,106837,74575,581268
4,5,52405,126027,405036,142849,99373,825690
5,6,39970,109792,212062,79240,44233,485297
