"","date","daily_vaccines"
"1","2024-07-31","[[0.051409, 0.051409],[0.04064, 0.04064],[0.011821, 0.011821],[0.007245, 0.007245],[0.035725, 0.035725]]"
"2","2024-08-01","[[0.00131, 0.00131],[0.001142, 0.001142],[0.000418, 0.000418],[0.00036, 0.00036],[0.000972, 0.000972]]"
"3","2024-08-02","[[0.00134, 0.00134],[0.001171, 0.001171],[0.000432, 0.000432],[0.000378, 0.000378],[0.000997, 0.000997]]"
"4","2024-08-03","[[0.001371, 0.001371],[0.001201, 0.001201],[0.000447, 0.000447],[0.000396, 0.000396],[0.001022, 0.001022]]"
"5","2024-08-04","[[0.001402, 0.001402],[0.001231, 0.001231],[0.000461, 0.000461],[0.000416, 0.000416],[0.001048, 0.001048]]"
"6","2024-08-05","[[0.001434, 0.001434],[0.001262, 0.001262],[0.000477, 0.000477],[0.000436, 0.000436],[0.001074, 0.001074]]"
"7","2024-08-06","[[0.001466, 0.001466],[0.001293, 0.001293],[0.000492, 0.000492],[0.000457, 0.000457],[0.001101, 0.001101]]"
"8","2024-08-07","[[0.001498, 0.001498],[0.001325, 0.001325],[0.000508, 0.000508],[0.000479, 0.000479],[0.001129, 0.001129]]"
"9","2024-08-08","[[0.001531, 0.001531],[0.001357, 0.001357],[0.000525, 0.000525],[0.000502, 0.000502],[0.001157, 0.001157]]"
"10","2024-08-09","[[0.001565, 0.001565],[0.00139, 0.00139],[0.000542, 0.000542],[0.000525, 0.000525],[0.001185, 0.001185]]"
"11","2024-08-10","[[0.001599, 0.001599],[0.001424, 0.001424],[0.000559, 0.000559],[0.000551, 0.000551],[0.001214, 0.001214]]"
"12","2024-08-11","[[0.001634, 0.001634],[0.001458, 0.001458],[0.000577, 0.000577],[0.000577, 0.000577],[0.001244, 0.001244]]"
"13","2024-08-12","[[0.001669, 0.001669],[0.001492, 0.001492],[0.000595, 0.000595],[0.000604, 0.000604],[0.001274, 0.001274]]"
"14","2024-08-13","[[0.001705, 0.001705],[0.001528, 0.001528],[0.000614, 0.000614],[0.000633, 0.000633],[0.001305, 0.001305]]"
"15","2024-08-14","[[0.001741, 0.001741],[0.001563, 0.001563],[0.000633, 0.000633],[0.000662, 0.000662],[0.001337, 0.001337]]"
"16","2024-08-15","[[0.001777, 0.001777],[0.0016, 0.0016],[0.000653, 0.000653],[0.000693, 0.000693],[0.001369, 0.001369]]"
"17","2024-08-16","[[0.001814, 0.001814],[0.001636, 0.001636],[0.000673, 0.000673],[0.000726, 0.000726],[0.001401, 0.001401]]"
"18","2024-08-17","[[0.001852, 0.001852],[0.001674, 0.001674],[0.000694, 0.000694],[0.000759, 0.000759],[0.001435, 0.001435]]"
"19","2024-08-18","[[0.00189, 0.00189],[0.001711, 0.001711],[0.000715, 0.000715],[0.000794, 0.000794],[0.001469, 0.001469]]"
"20","2024-08-19","[[0.001928, 0.001928],[0.00175, 0.00175],[0.000737, 0.000737],[0.000831, 0.000831],[0.001503, 0.001503]]"
"21","2024-08-20","[[0.001967, 0.001967],[0.001788, 0.001788],[0.000759, 0.000759],[0.000869, 0.000869],[0.001538, 0.001538]]"
"22","2024-08-21","[[0.002006, 0.002006],[0.001828, 0.001828],[0.000781, 0.000781],[0.000908, 0.000908],[0.001574, 0.001574]]"
"23","2024-08-22","[[0.002046, 0.002046],[0.001867, 0.001867],[0.000804, 0.000804],[0.00095, 0.00095],[0.00161, 0.00161]]"
"24","2024-08-23","[[0.002086, 0.002086],[0.001907, 0.001907],[0.000828, 0.000828],[0.000992, 0.000992],[0.001646, 0.001646]]"
"25","2024-08-24","[[0.002126, 0.002126],[0.001948, 0.001948],[0.000852, 0.000852],[0.001037, 0.001037],[0.001684, 0.001684]]"
"26","2024-08-25","[[0.002167, 0.002167],[0.001989, 0.001989],[0.000876, 0.000876],[0.001083, 0.001083],[0.001722, 0.001722]]"
"27","2024-08-26","[[0.002208, 0.002208],[0.00203, 0.00203],[0.000901, 0.000901],[0.001131, 0.001131],[0.00176, 0.00176]]"
"28","2024-08-27","[[0.00225, 0.00225],[0.002071, 0.002071],[0.000927, 0.000927],[0.00118, 0.00118],[0.001799, 0.001799]]"
"29","2024-08-28","[[0.002291, 0.002291],[0.002113, 0.002113],[0.000953, 0.000953],[0.001231, 0.001231],[0.001839, 0.001839]]"
"30","2024-08-29","[[0.002333, 0.002333],[0.002155, 0.002155],[0.000979, 0.000979],[0.001285, 0.001285],[0.001879, 0.001879]]"
"31","2024-08-30","[[0.002375, 0.002375],[0.002198, 0.002198],[0.001006, 0.001006],[0.00134, 0.00134],[0.00192, 0.00192]]"
"32","2024-08-31","[[0.002418, 0.002418],[0.00224, 0.00224],[0.001033, 0.001033],[0.001396, 0.001396],[0.001961, 0.001961]]"
"33","2024-09-01","[[0.002461, 0.002461],[0.002283, 0.002283],[0.00106, 0.00106],[0.001455, 0.001455],[0.002003, 0.002003]]"
"34","2024-09-02","[[0.002503, 0.002503],[0.002326, 0.002326],[0.001088, 0.001088],[0.001516, 0.001516],[0.002045, 0.002045]]"
"35","2024-09-03","[[0.002546, 0.002546],[0.002369, 0.002369],[0.001116, 0.001116],[0.001578, 0.001578],[0.002088, 0.002088]]"
"36","2024-09-04","[[0.002589, 0.002589],[0.002412, 0.002412],[0.001145, 0.001145],[0.001643, 0.001643],[0.002131, 0.002131]]"
"37","2024-09-05","[[0.002633, 0.002633],[0.002456, 0.002456],[0.001173, 0.001173],[0.001709, 0.001709],[0.002175, 0.002175]]"
"38","2024-09-06","[[0.002676, 0.002676],[0.002499, 0.002499],[0.001202, 0.001202],[0.001777, 0.001777],[0.002219, 0.002219]]"
"39","2024-09-07","[[0.002719, 0.002719],[0.002542, 0.002542],[0.001232, 0.001232],[0.001847, 0.001847],[0.002263, 0.002263]]"
"40","2024-09-08","[[0.002762, 0.002762],[0.002585, 0.002585],[0.001261, 0.001261],[0.001919, 0.001919],[0.002308, 0.002308]]"
"41","2024-09-09","[[0.002805, 0.002805],[0.002629, 0.002629],[0.001291, 0.001291],[0.001992, 0.001992],[0.002353, 0.002353]]"
"42","2024-09-10","[[0.002849, 0.002849],[0.002671, 0.002671],[0.001321, 0.001321],[0.002067, 0.002067],[0.002399, 0.002399]]"
"43","2024-09-11","[[0.002892, 0.002892],[0.002714, 0.002714],[0.001351, 0.001351],[0.002144, 0.002144],[0.002445, 0.002445]]"
"44","2024-09-12","[[0.002935, 0.002935],[0.002757, 0.002757],[0.001381, 0.001381],[0.002223, 0.002223],[0.002491, 0.002491]]"
"45","2024-09-13","[[0.002977, 0.002977],[0.002799, 0.002799],[0.001412, 0.001412],[0.002303, 0.002303],[0.002538, 0.002538]]"
"46","2024-09-14","[[0.00302, 0.00302],[0.002841, 0.002841],[0.001442, 0.001442],[0.002384, 0.002384],[0.002585, 0.002585]]"
"47","2024-09-15","[[0.003062, 0.003062],[0.002882, 0.002882],[0.001472, 0.001472],[0.002467, 0.002467],[0.002632, 0.002632]]"
"48","2024-09-16","[[0.003104, 0.003104],[0.002924, 0.002924],[0.001502, 0.001502],[0.002551, 0.002551],[0.002679, 0.002679]]"
"49","2024-09-17","[[0.003146, 0.003146],[0.002964, 0.002964],[0.001533, 0.001533],[0.002636, 0.002636],[0.002727, 0.002727]]"
"50","2024-09-18","[[0.003187, 0.003187],[0.003004, 0.003004],[0.001562, 0.001562],[0.002722, 0.002722],[0.002774, 0.002774]]"
"51","2024-09-19","[[0.003228, 0.003228],[0.003044, 0.003044],[0.001592, 0.001592],[0.002809, 0.002809],[0.002822, 0.002822]]"
"52","2024-09-20","[[0.003268, 0.003268],[0.003083, 0.003083],[0.001622, 0.001622],[0.002896, 0.002896],[0.00287, 0.00287]]"
"53","2024-09-21","[[0.003308, 0.003308],[0.003121, 0.003121],[0.001651, 0.001651],[0.002984, 0.002984],[0.002918, 0.002918]]"
"54","2024-09-22","[[0.003347, 0.003347],[0.003158, 0.003158],[0.00168, 0.00168],[0.003072, 0.003072],[0.002965, 0.002965]]"
"55","2024-09-23","[[0.003386, 0.003386],[0.003195, 0.003195],[0.001708, 0.001708],[0.00316, 0.00316],[0.003013, 0.003013]]"
"56","2024-09-24","[[0.003424, 0.003424],[0.003231, 0.003231],[0.001736, 0.001736],[0.003247, 0.003247],[0.003061, 0.003061]]"
"57","2024-09-25","[[0.003461, 0.003461],[0.003266, 0.003266],[0.001764, 0.001764],[0.003335, 0.003335],[0.003108, 0.003108]]"
"58","2024-09-26","[[0.003498, 0.003498],[0.0033, 0.0033],[0.001791, 0.001791],[0.003421, 0.003421],[0.003156, 0.003156]]"
"59","2024-09-27","[[0.003533, 0.003533],[0.003332, 0.003332],[0.001817, 0.001817],[0.003507, 0.003507],[0.003203, 0.003203]]"
"60","2024-09-28","[[0.003569, 0.003569],[0.003364, 0.003364],[0.001843, 0.001843],[0.003591, 0.003591],[0.003249, 0.003249]]"
"61","2024-09-29","[[0.003603, 0.003603],[0.003395, 0.003395],[0.001868, 0.001868],[0.003674, 0.003674],[0.003296, 0.003296]]"
"62","2024-09-30","[[0.003636, 0.003636],[0.003425, 0.003425],[0.001893, 0.001893],[0.003756, 0.003756],[0.003342, 0.003342]]"
"63","2024-10-01","[[0.003668, 0.003668],[0.003453, 0.003453],[0.001916, 0.001916],[0.003835, 0.003835],[0.003388, 0.003388]]"
"64","2024-10-02","[[0.0037, 0.0037],[0.003481, 0.003481],[0.001939, 0.001939],[0.003912, 0.003912],[0.003433, 0.003433]]"
"65","2024-10-03","[[0.00373, 0.00373],[0.003506, 0.003506],[0.00196, 0.00196],[0.003986, 0.003986],[0.003478, 0.003478]]"
"66","2024-10-04","[[0.003759, 0.003759],[0.003531, 0.003531],[0.001981, 0.001981],[0.004057, 0.004057],[0.003522, 0.003522]]"
"67","2024-10-05","[[0.003788, 0.003788],[0.003554, 0.003554],[0.002001, 0.002001],[0.004125, 0.004125],[0.003565, 0.003565]]"
"68","2024-10-06","[[0.003815, 0.003815],[0.003576, 0.003576],[0.002019, 0.002019],[0.00419, 0.00419],[0.003608, 0.003608]]"
"69","2024-10-07","[[0.00384, 0.00384],[0.003596, 0.003596],[0.002037, 0.002037],[0.004251, 0.004251],[0.00365, 0.00365]]"
"70","2024-10-08","[[0.003865, 0.003865],[0.003615, 0.003615],[0.002053, 0.002053],[0.004308, 0.004308],[0.003692, 0.003692]]"
"71","2024-10-09","[[0.003889, 0.003889],[0.003633, 0.003633],[0.002068, 0.002068],[0.004361, 0.004361],[0.003732, 0.003732]]"
"72","2024-10-10","[[0.003911, 0.003911],[0.003648, 0.003648],[0.002082, 0.002082],[0.004409, 0.004409],[0.003772, 0.003772]]"
"73","2024-10-11","[[0.003931, 0.003931],[0.003663, 0.003663],[0.002095, 0.002095],[0.004453, 0.004453],[0.003811, 0.003811]]"
"74","2024-10-12","[[0.003951, 0.003951],[0.003675, 0.003675],[0.002106, 0.002106],[0.004492, 0.004492],[0.003848, 0.003848]]"
"75","2024-10-13","[[0.003969, 0.003969],[0.003686, 0.003686],[0.002116, 0.002116],[0.004526, 0.004526],[0.003885, 0.003885]]"
"76","2024-10-14","[[0.003986, 0.003986],[0.003696, 0.003696],[0.002125, 0.002125],[0.004554, 0.004554],[0.003921, 0.003921]]"
"77","2024-10-15","[[0.004001, 0.004001],[0.003703, 0.003703],[0.002132, 0.002132],[0.004577, 0.004577],[0.003955, 0.003955]]"
"78","2024-10-16","[[0.004015, 0.004015],[0.003709, 0.003709],[0.002138, 0.002138],[0.004595, 0.004595],[0.003989, 0.003989]]"
"79","2024-10-17","[[0.004027, 0.004027],[0.003714, 0.003714],[0.002142, 0.002142],[0.004607, 0.004607],[0.004021, 0.004021]]"
"80","2024-10-18","[[0.004038, 0.004038],[0.003716, 0.003716],[0.002145, 0.002145],[0.004613, 0.004613],[0.004052, 0.004052]]"
"81","2024-10-19","[[0.004047, 0.004047],[0.003717, 0.003717],[0.002147, 0.002147],[0.004614, 0.004614],[0.004081, 0.004081]]"
"82","2024-10-20","[[0.004055, 0.004055],[0.003717, 0.003717],[0.002147, 0.002147],[0.004609, 0.004609],[0.00411, 0.00411]]"
