"","date","daily_vaccines"
"1","2024-07-31","[[0.066426, 0.066426],[0.049743, 0.049743],[0.015043, 0.015043],[0.007842, 0.007842],[0.038492, 0.038492]]"
"2","2024-08-01","[[0.001693, 0.001693],[0.001398, 0.001398],[0.000532, 0.000532],[0.00039, 0.00039],[0.001048, 0.001048]]"
"3","2024-08-02","[[0.001732, 0.001732],[0.001433, 0.001433],[0.00055, 0.00055],[0.000409, 0.000409],[0.001074, 0.001074]]"
"4","2024-08-03","[[0.001771, 0.001771],[0.001469, 0.001469],[0.000568, 0.000568],[0.000429, 0.000429],[0.001102, 0.001102]]"
"5","2024-08-04","[[0.001811, 0.001811],[0.001506, 0.001506],[0.000587, 0.000587],[0.00045, 0.00045],[0.001129, 0.001129]]"
"6","2024-08-05","[[0.001852, 0.001852],[0.001544, 0.001544],[0.000606, 0.000606],[0.000472, 0.000472],[0.001158, 0.001158]]"
"7","2024-08-06","[[0.001894, 0.001894],[0.001582, 0.001582],[0.000626, 0.000626],[0.000494, 0.000494],[0.001187, 0.001187]]"
"8","2024-08-07","[[0.001936, 0.001936],[0.001621, 0.001621],[0.000647, 0.000647],[0.000518, 0.000518],[0.001216, 0.001216]]"
"9","2024-08-08","[[0.001979, 0.001979],[0.001661, 0.001661],[0.000668, 0.000668],[0.000543, 0.000543],[0.001247, 0.001247]]"
"10","2024-08-09","[[0.002022, 0.002022],[0.001701, 0.001701],[0.000689, 0.000689],[0.000569, 0.000569],[0.001277, 0.001277]]"
"11","2024-08-10","[[0.002066, 0.002066],[0.001742, 0.001742],[0.000711, 0.000711],[0.000596, 0.000596],[0.001309, 0.001309]]"
"12","2024-08-11","[[0.002111, 0.002111],[0.001784, 0.001784],[0.000734, 0.000734],[0.000624, 0.000624],[0.001341, 0.001341]]"
"13","2024-08-12","[[0.002156, 0.002156],[0.001826, 0.001826],[0.000757, 0.000757],[0.000654, 0.000654],[0.001374, 0.001374]]"
"14","2024-08-13","[[0.002202, 0.002202],[0.00187, 0.00187],[0.000781, 0.000781],[0.000685, 0.000685],[0.001407, 0.001407]]"
"15","2024-08-14","[[0.002249, 0.002249],[0.001913, 0.001913],[0.000806, 0.000806],[0.000717, 0.000717],[0.001441, 0.001441]]"
"16","2024-08-15","[[0.002296, 0.002296],[0.001958, 0.001958],[0.000831, 0.000831],[0.00075, 0.00075],[0.001475, 0.001475]]"
"17","2024-08-16","[[0.002344, 0.002344],[0.002003, 0.002003],[0.000857, 0.000857],[0.000785, 0.000785],[0.00151, 0.00151]]"
"18","2024-08-17","[[0.002393, 0.002393],[0.002048, 0.002048],[0.000883, 0.000883],[0.000822, 0.000822],[0.001546, 0.001546]]"
"19","2024-08-18","[[0.002442, 0.002442],[0.002094, 0.002094],[0.00091, 0.00091],[0.00086, 0.00086],[0.001583, 0.001583]]"
"20","2024-08-19","[[0.002491, 0.002491],[0.002141, 0.002141],[0.000937, 0.000937],[0.000899, 0.000899],[0.00162, 0.00162]]"
"21","2024-08-20","[[0.002541, 0.002541],[0.002189, 0.002189],[0.000966, 0.000966],[0.00094, 0.00094],[0.001658, 0.001658]]"
"22","2024-08-21","[[0.002592, 0.002592],[0.002237, 0.002237],[0.000994, 0.000994],[0.000983, 0.000983],[0.001696, 0.001696]]"
"23","2024-08-22","[[0.002643, 0.002643],[0.002285, 0.002285],[0.001024, 0.001024],[0.001028, 0.001028],[0.001735, 0.001735]]"
"24","2024-08-23","[[0.002695, 0.002695],[0.002334, 0.002334],[0.001054, 0.001054],[0.001074, 0.001074],[0.001775, 0.001775]]"
"25","2024-08-24","[[0.002747, 0.002747],[0.002384, 0.002384],[0.001084, 0.001084],[0.001122, 0.001122],[0.001815, 0.001815]]"
"26","2024-08-25","[[0.0028, 0.0028],[0.002434, 0.002434],[0.001115, 0.001115],[0.001172, 0.001172],[0.001856, 0.001856]]"
"27","2024-08-26","[[0.002853, 0.002853],[0.002484, 0.002484],[0.001147, 0.001147],[0.001224, 0.001224],[0.001897, 0.001897]]"
"28","2024-08-27","[[0.002906, 0.002906],[0.002535, 0.002535],[0.001179, 0.001179],[0.001277, 0.001277],[0.001939, 0.001939]]"
"29","2024-08-28","[[0.00296, 0.00296],[0.002586, 0.002586],[0.001212, 0.001212],[0.001333, 0.001333],[0.001982, 0.001982]]"
"30","2024-08-29","[[0.003014, 0.003014],[0.002638, 0.002638],[0.001246, 0.001246],[0.00139, 0.00139],[0.002025, 0.002025]]"
"31","2024-08-30","[[0.003069, 0.003069],[0.002689, 0.002689],[0.00128, 0.00128],[0.00145, 0.00145],[0.002069, 0.002069]]"
"32","2024-08-31","[[0.003124, 0.003124],[0.002742, 0.002742],[0.001314, 0.001314],[0.001511, 0.001511],[0.002114, 0.002114]]"
"33","2024-09-01","[[0.003179, 0.003179],[0.002794, 0.002794],[0.001349, 0.001349],[0.001575, 0.001575],[0.002159, 0.002159]]"
"34","2024-09-02","[[0.003234, 0.003234],[0.002847, 0.002847],[0.001384, 0.001384],[0.001641, 0.001641],[0.002204, 0.002204]]"
"35","2024-09-03","[[0.00329, 0.00329],[0.002899, 0.002899],[0.00142, 0.00142],[0.001708, 0.001708],[0.00225, 0.00225]]"
"36","2024-09-04","[[0.003345, 0.003345],[0.002952, 0.002952],[0.001457, 0.001457],[0.001778, 0.001778],[0.002297, 0.002297]]"
"37","2024-09-05","[[0.003401, 0.003401],[0.003005, 0.003005],[0.001493, 0.001493],[0.001849, 0.001849],[0.002344, 0.002344]]"
"38","2024-09-06","[[0.003457, 0.003457],[0.003058, 0.003058],[0.00153, 0.00153],[0.001923, 0.001923],[0.002391, 0.002391]]"
"39","2024-09-07","[[0.003513, 0.003513],[0.003111, 0.003111],[0.001568, 0.001568],[0.001999, 0.001999],[0.002439, 0.002439]]"
"40","2024-09-08","[[0.003569, 0.003569],[0.003164, 0.003164],[0.001605, 0.001605],[0.002077, 0.002077],[0.002488, 0.002488]]"
