"","date","daily_vaccines"
"1","2024-07-31","[[0.063032, 0.063032],[0.047201, 0.047201],[0.014275, 0.014275],[0.007441, 0.007441],[0.036525, 0.036525]]"
"2","2024-08-01","[[0.001606, 0.001606],[0.001326, 0.001326],[0.000505, 0.000505],[0.00037, 0.00037],[0.000994, 0.000994]]"
"3","2024-08-02","[[0.001643, 0.001643],[0.00136, 0.00136],[0.000522, 0.000522],[0.000388, 0.000388],[0.00102, 0.00102]]"
"4","2024-08-03","[[0.001681, 0.001681],[0.001394, 0.001394],[0.000539, 0.000539],[0.000407, 0.000407],[0.001045, 0.001045]]"
"5","2024-08-04","[[0.001719, 0.001719],[0.001429, 0.001429],[0.000557, 0.000557],[0.000427, 0.000427],[0.001072, 0.001072]]"
"6","2024-08-05","[[0.001757, 0.001757],[0.001465, 0.001465],[0.000575, 0.000575],[0.000447, 0.000447],[0.001099, 0.001099]]"
"7","2024-08-06","[[0.001797, 0.001797],[0.001501, 0.001501],[0.000594, 0.000594],[0.000469, 0.000469],[0.001126, 0.001126]]"
"8","2024-08-07","[[0.001837, 0.001837],[0.001538, 0.001538],[0.000614, 0.000614],[0.000492, 0.000492],[0.001154, 0.001154]]"
"9","2024-08-08","[[0.001877, 0.001877],[0.001576, 0.001576],[0.000634, 0.000634],[0.000515, 0.000515],[0.001183, 0.001183]]"
"10","2024-08-09","[[0.001919, 0.001919],[0.001614, 0.001614],[0.000654, 0.000654],[0.00054, 0.00054],[0.001212, 0.001212]]"
"11","2024-08-10","[[0.001961, 0.001961],[0.001653, 0.001653],[0.000675, 0.000675],[0.000565, 0.000565],[0.001242, 0.001242]]"
"12","2024-08-11","[[0.002003, 0.002003],[0.001693, 0.001693],[0.000697, 0.000697],[0.000592, 0.000592],[0.001272, 0.001272]]"
"13","2024-08-12","[[0.002046, 0.002046],[0.001733, 0.001733],[0.000719, 0.000719],[0.00062, 0.00062],[0.001303, 0.001303]]"
"14","2024-08-13","[[0.00209, 0.00209],[0.001774, 0.001774],[0.000741, 0.000741],[0.00065, 0.00065],[0.001335, 0.001335]]"
"15","2024-08-14","[[0.002134, 0.002134],[0.001815, 0.001815],[0.000765, 0.000765],[0.00068, 0.00068],[0.001367, 0.001367]]"
"16","2024-08-15","[[0.002179, 0.002179],[0.001858, 0.001858],[0.000788, 0.000788],[0.000712, 0.000712],[0.0014, 0.0014]]"
"17","2024-08-16","[[0.002224, 0.002224],[0.0019, 0.0019],[0.000813, 0.000813],[0.000745, 0.000745],[0.001433, 0.001433]]"
"18","2024-08-17","[[0.00227, 0.00227],[0.001944, 0.001944],[0.000838, 0.000838],[0.00078, 0.00078],[0.001467, 0.001467]]"
"19","2024-08-18","[[0.002317, 0.002317],[0.001987, 0.001987],[0.000863, 0.000863],[0.000816, 0.000816],[0.001502, 0.001502]]"
"20","2024-08-19","[[0.002364, 0.002364],[0.002032, 0.002032],[0.000889, 0.000889],[0.000853, 0.000853],[0.001537, 0.001537]]"
"21","2024-08-20","[[0.002412, 0.002412],[0.002077, 0.002077],[0.000916, 0.000916],[0.000892, 0.000892],[0.001573, 0.001573]]"
"22","2024-08-21","[[0.00246, 0.00246],[0.002122, 0.002122],[0.000943, 0.000943],[0.000933, 0.000933],[0.001609, 0.001609]]"
"23","2024-08-22","[[0.002508, 0.002508],[0.002168, 0.002168],[0.000971, 0.000971],[0.000975, 0.000975],[0.001646, 0.001646]]"
"24","2024-08-23","[[0.002557, 0.002557],[0.002215, 0.002215],[0.001, 0.001],[0.001019, 0.001019],[0.001684, 0.001684]]"
"25","2024-08-24","[[0.002607, 0.002607],[0.002262, 0.002262],[0.001029, 0.001029],[0.001065, 0.001065],[0.001722, 0.001722]]"
"26","2024-08-25","[[0.002657, 0.002657],[0.002309, 0.002309],[0.001058, 0.001058],[0.001112, 0.001112],[0.001761, 0.001761]]"
"27","2024-08-26","[[0.002707, 0.002707],[0.002357, 0.002357],[0.001088, 0.001088],[0.001161, 0.001161],[0.0018, 0.0018]]"
"28","2024-08-27","[[0.002758, 0.002758],[0.002405, 0.002405],[0.001119, 0.001119],[0.001212, 0.001212],[0.00184, 0.00184]]"
