"","date","daily_vaccines"
"1","2024-07-01","[[0.02852, 0.02852],[0.020831, 0.020831],[0.004919, 0.004919],[0.002009, 0.002009],[0.018961, 0.018961]]"
"2","2024-07-02","[[0.000765, 0.000765],[0.000617, 0.000617],[0.00018, 0.00018],[0.000102, 0.000102],[0.000535, 0.000535]]"
"3","2024-07-03","[[0.000785, 0.000785],[0.000634, 0.000634],[0.000187, 0.000187],[0.000107, 0.000107],[0.000549, 0.000549]]"
"4","2024-07-04","[[0.000805, 0.000805],[0.000652, 0.000652],[0.000194, 0.000194],[0.000112, 0.000112],[0.000564, 0.000564]]"
"5","2024-07-05","[[0.000826, 0.000826],[0.000671, 0.000671],[0.0002, 0.0002],[0.000118, 0.000118],[0.00058, 0.00058]]"
"6","2024-07-06","[[0.000847, 0.000847],[0.00069, 0.00069],[0.000208, 0.000208],[0.000124, 0.000124],[0.000595, 0.000595]]"
"7","2024-07-07","[[0.000868, 0.000868],[0.000709, 0.000709],[0.000215, 0.000215],[0.00013, 0.00013],[0.000612, 0.000612]]"
"8","2024-07-08","[[0.00089, 0.00089],[0.000729, 0.000729],[0.000223, 0.000223],[0.000136, 0.000136],[0.000628, 0.000628]]"
"9","2024-07-09","[[0.000913, 0.000913],[0.000749, 0.000749],[0.000231, 0.000231],[0.000143, 0.000143],[0.000645, 0.000645]]"
"10","2024-07-10","[[0.000936, 0.000936],[0.00077, 0.00077],[0.000239, 0.000239],[0.00015, 0.00015],[0.000663, 0.000663]]"
"11","2024-07-11","[[0.000959, 0.000959],[0.000792, 0.000792],[0.000247, 0.000247],[0.000158, 0.000158],[0.000681, 0.000681]]"
"12","2024-07-12","[[0.000983, 0.000983],[0.000814, 0.000814],[0.000256, 0.000256],[0.000166, 0.000166],[0.000699, 0.000699]]"
"13","2024-07-13","[[0.001008, 0.001008],[0.000836, 0.000836],[0.000265, 0.000265],[0.000174, 0.000174],[0.000718, 0.000718]]"
"14","2024-07-14","[[0.001033, 0.001033],[0.000859, 0.000859],[0.000275, 0.000275],[0.000183, 0.000183],[0.000737, 0.000737]]"
"15","2024-07-15","[[0.001058, 0.001058],[0.000883, 0.000883],[0.000284, 0.000284],[0.000192, 0.000192],[0.000757, 0.000757]]"
"16","2024-07-16","[[0.001085, 0.001085],[0.000907, 0.000907],[0.000294, 0.000294],[0.000201, 0.000201],[0.000777, 0.000777]]"
"17","2024-07-17","[[0.001111, 0.001111],[0.000932, 0.000932],[0.000305, 0.000305],[0.000211, 0.000211],[0.000798, 0.000798]]"
"18","2024-07-18","[[0.001139, 0.001139],[0.000958, 0.000958],[0.000315, 0.000315],[0.000222, 0.000222],[0.000819, 0.000819]]"
"19","2024-07-19","[[0.001166, 0.001166],[0.000984, 0.000984],[0.000326, 0.000326],[0.000233, 0.000233],[0.000841, 0.000841]]"
"20","2024-07-20","[[0.001195, 0.001195],[0.00101, 0.00101],[0.000338, 0.000338],[0.000245, 0.000245],[0.000863, 0.000863]]"
"21","2024-07-21","[[0.001224, 0.001224],[0.001037, 0.001037],[0.000349, 0.000349],[0.000257, 0.000257],[0.000886, 0.000886]]"
"22","2024-07-22","[[0.001253, 0.001253],[0.001065, 0.001065],[0.000361, 0.000361],[0.000269, 0.000269],[0.000909, 0.000909]]"
"23","2024-07-23","[[0.001284, 0.001284],[0.001094, 0.001094],[0.000374, 0.000374],[0.000283, 0.000283],[0.000933, 0.000933]]"
"24","2024-07-24","[[0.001314, 0.001314],[0.001123, 0.001123],[0.000387, 0.000387],[0.000297, 0.000297],[0.000957, 0.000957]]"
"25","2024-07-25","[[0.001346, 0.001346],[0.001152, 0.001152],[0.0004, 0.0004],[0.000311, 0.000311],[0.000982, 0.000982]]"
"26","2024-07-26","[[0.001378, 0.001378],[0.001183, 0.001183],[0.000414, 0.000414],[0.000327, 0.000327],[0.001008, 0.001008]]"
"27","2024-07-27","[[0.00141, 0.00141],[0.001214, 0.001214],[0.000428, 0.000428],[0.000343, 0.000343],[0.001034, 0.001034]]"
"28","2024-07-28","[[0.001443, 0.001443],[0.001246, 0.001246],[0.000442, 0.000442],[0.00036, 0.00036],[0.001061, 0.001061]]"
"29","2024-07-29","[[0.001477, 0.001477],[0.001278, 0.001278],[0.000457, 0.000457],[0.000377, 0.000377],[0.001088, 0.001088]]"
"30","2024-07-30","[[0.001512, 0.001512],[0.001311, 0.001311],[0.000473, 0.000473],[0.000396, 0.000396],[0.001116, 0.001116]]"
"31","2024-07-31","[[0.001547, 0.001547],[0.001345, 0.001345],[0.000489, 0.000489],[0.000415, 0.000415],[0.001145, 0.001145]]"
"32","2024-08-01","[[0.001582, 0.001582],[0.001379, 0.001379],[0.000505, 0.000505],[0.000435, 0.000435],[0.001174, 0.001174]]"
"33","2024-08-02","[[0.001619, 0.001619],[0.001414, 0.001414],[0.000522, 0.000522],[0.000456, 0.000456],[0.001204, 0.001204]]"
"34","2024-08-03","[[0.001655, 0.001655],[0.00145, 0.00145],[0.000539, 0.000539],[0.000479, 0.000479],[0.001234, 0.001234]]"
"35","2024-08-04","[[0.001693, 0.001693],[0.001486, 0.001486],[0.000557, 0.000557],[0.000502, 0.000502],[0.001266, 0.001266]]"
"36","2024-08-05","[[0.001731, 0.001731],[0.001523, 0.001523],[0.000575, 0.000575],[0.000526, 0.000526],[0.001297, 0.001297]]"
"37","2024-08-06","[[0.00177, 0.00177],[0.001561, 0.001561],[0.000594, 0.000594],[0.000551, 0.000551],[0.00133, 0.00133]]"
"38","2024-08-07","[[0.001809, 0.001809],[0.0016, 0.0016],[0.000614, 0.000614],[0.000578, 0.000578],[0.001363, 0.001363]]"
"39","2024-08-08","[[0.001849, 0.001849],[0.001639, 0.001639],[0.000634, 0.000634],[0.000606, 0.000606],[0.001397, 0.001397]]"
"40","2024-08-09","[[0.00189, 0.00189],[0.001679, 0.001679],[0.000654, 0.000654],[0.000635, 0.000635],[0.001431, 0.001431]]"
"41","2024-08-10","[[0.001931, 0.001931],[0.001719, 0.001719],[0.000675, 0.000675],[0.000665, 0.000665],[0.001466, 0.001466]]"
"42","2024-08-11","[[0.001973, 0.001973],[0.00176, 0.00176],[0.000697, 0.000697],[0.000696, 0.000696],[0.001502, 0.001502]]"
"43","2024-08-12","[[0.002015, 0.002015],[0.001802, 0.001802],[0.000719, 0.000719],[0.000729, 0.000729],[0.001539, 0.001539]]"
"44","2024-08-13","[[0.002058, 0.002058],[0.001845, 0.001845],[0.000741, 0.000741],[0.000764, 0.000764],[0.001576, 0.001576]]"
"45","2024-08-14","[[0.002102, 0.002102],[0.001888, 0.001888],[0.000765, 0.000765],[0.0008, 0.0008],[0.001614, 0.001614]]"
"46","2024-08-15","[[0.002146, 0.002146],[0.001932, 0.001932],[0.000788, 0.000788],[0.000837, 0.000837],[0.001653, 0.001653]]"
"47","2024-08-16","[[0.002191, 0.002191],[0.001976, 0.001976],[0.000813, 0.000813],[0.000876, 0.000876],[0.001692, 0.001692]]"
"48","2024-08-17","[[0.002236, 0.002236],[0.002021, 0.002021],[0.000838, 0.000838],[0.000917, 0.000917],[0.001733, 0.001733]]"
"49","2024-08-18","[[0.002282, 0.002282],[0.002067, 0.002067],[0.000863, 0.000863],[0.000959, 0.000959],[0.001773, 0.001773]]"
"50","2024-08-19","[[0.002329, 0.002329],[0.002113, 0.002113],[0.000889, 0.000889],[0.001003, 0.001003],[0.001815, 0.001815]]"
"51","2024-08-20","[[0.002375, 0.002375],[0.00216, 0.00216],[0.000916, 0.000916],[0.001049, 0.001049],[0.001857, 0.001857]]"
"52","2024-08-21","[[0.002423, 0.002423],[0.002207, 0.002207],[0.000943, 0.000943],[0.001097, 0.001097],[0.0019, 0.0019]]"
"53","2024-08-22","[[0.002471, 0.002471],[0.002255, 0.002255],[0.000971, 0.000971],[0.001147, 0.001147],[0.001944, 0.001944]]"
"54","2024-08-23","[[0.002519, 0.002519],[0.002303, 0.002303],[0.001, 0.001],[0.001198, 0.001198],[0.001988, 0.001988]]"
"55","2024-08-24","[[0.002568, 0.002568],[0.002352, 0.002352],[0.001029, 0.001029],[0.001252, 0.001252],[0.002033, 0.002033]]"
"56","2024-08-25","[[0.002617, 0.002617],[0.002401, 0.002401],[0.001058, 0.001058],[0.001308, 0.001308],[0.002079, 0.002079]]"
"57","2024-08-26","[[0.002667, 0.002667],[0.002451, 0.002451],[0.001088, 0.001088],[0.001365, 0.001365],[0.002126, 0.002126]]"
"58","2024-08-27","[[0.002717, 0.002717],[0.002501, 0.002501],[0.001119, 0.001119],[0.001425, 0.001425],[0.002173, 0.002173]]"
"59","2024-08-28","[[0.002767, 0.002767],[0.002552, 0.002552],[0.00115, 0.00115],[0.001487, 0.001487],[0.002221, 0.002221]]"
"60","2024-08-29","[[0.002818, 0.002818],[0.002603, 0.002603],[0.001182, 0.001182],[0.001551, 0.001551],[0.002269, 0.002269]]"
"61","2024-08-30","[[0.002869, 0.002869],[0.002654, 0.002654],[0.001214, 0.001214],[0.001618, 0.001618],[0.002318, 0.002318]]"
"62","2024-08-31","[[0.00292, 0.00292],[0.002705, 0.002705],[0.001247, 0.001247],[0.001686, 0.001686],[0.002368, 0.002368]]"
"63","2024-09-01","[[0.002971, 0.002971],[0.002757, 0.002757],[0.00128, 0.00128],[0.001757, 0.001757],[0.002418, 0.002418]]"
"64","2024-09-02","[[0.003023, 0.003023],[0.002809, 0.002809],[0.001314, 0.001314],[0.00183, 0.00183],[0.002469, 0.002469]]"
"65","2024-09-03","[[0.003075, 0.003075],[0.002861, 0.002861],[0.001348, 0.001348],[0.001906, 0.001906],[0.002521, 0.002521]]"
"66","2024-09-04","[[0.003127, 0.003127],[0.002913, 0.002913],[0.001382, 0.001382],[0.001983, 0.001983],[0.002573, 0.002573]]"
"67","2024-09-05","[[0.003179, 0.003179],[0.002965, 0.002965],[0.001417, 0.001417],[0.002063, 0.002063],[0.002626, 0.002626]]"
"68","2024-09-06","[[0.003231, 0.003231],[0.003018, 0.003018],[0.001452, 0.001452],[0.002146, 0.002146],[0.002679, 0.002679]]"
"69","2024-09-07","[[0.003283, 0.003283],[0.00307, 0.00307],[0.001487, 0.001487],[0.00223, 0.00223],[0.002733, 0.002733]]"
"70","2024-09-08","[[0.003336, 0.003336],[0.003122, 0.003122],[0.001523, 0.001523],[0.002317, 0.002317],[0.002787, 0.002787]]"
"71","2024-09-09","[[0.003388, 0.003388],[0.003174, 0.003174],[0.001559, 0.001559],[0.002406, 0.002406],[0.002842, 0.002842]]"
"72","2024-09-10","[[0.00344, 0.00344],[0.003226, 0.003226],[0.001595, 0.001595],[0.002496, 0.002496],[0.002897, 0.002897]]"
"73","2024-09-11","[[0.003492, 0.003492],[0.003278, 0.003278],[0.001632, 0.001632],[0.002589, 0.002589],[0.002953, 0.002953]]"
"74","2024-09-12","[[0.003544, 0.003544],[0.003329, 0.003329],[0.001668, 0.001668],[0.002684, 0.002684],[0.003009, 0.003009]]"
"75","2024-09-13","[[0.003595, 0.003595],[0.00338, 0.00338],[0.001705, 0.001705],[0.002781, 0.002781],[0.003065, 0.003065]]"
"76","2024-09-14","[[0.003647, 0.003647],[0.003431, 0.003431],[0.001741, 0.001741],[0.002879, 0.002879],[0.003122, 0.003122]]"
"77","2024-09-15","[[0.003698, 0.003698],[0.003481, 0.003481],[0.001778, 0.001778],[0.002979, 0.002979],[0.003178, 0.003178]]"
"78","2024-09-16","[[0.003748, 0.003748],[0.00353, 0.00353],[0.001814, 0.001814],[0.00308, 0.00308],[0.003236, 0.003236]]"
"79","2024-09-17","[[0.003798, 0.003798],[0.003579, 0.003579],[0.001851, 0.001851],[0.003183, 0.003183],[0.003293, 0.003293]]"
"80","2024-09-18","[[0.003848, 0.003848],[0.003628, 0.003628],[0.001887, 0.001887],[0.003287, 0.003287],[0.00335, 0.00335]]"
"81","2024-09-19","[[0.003897, 0.003897],[0.003676, 0.003676],[0.001923, 0.001923],[0.003392, 0.003392],[0.003408, 0.003408]]"
"82","2024-09-20","[[0.003946, 0.003946],[0.003722, 0.003722],[0.001958, 0.001958],[0.003497, 0.003497],[0.003466, 0.003466]]"
"83","2024-09-21","[[0.003994, 0.003994],[0.003769, 0.003769],[0.001994, 0.001994],[0.003603, 0.003603],[0.003523, 0.003523]]"
"84","2024-09-22","[[0.004042, 0.004042],[0.003814, 0.003814],[0.002029, 0.002029],[0.003709, 0.003709],[0.003581, 0.003581]]"
"85","2024-09-23","[[0.004088, 0.004088],[0.003858, 0.003858],[0.002063, 0.002063],[0.003815, 0.003815],[0.003639, 0.003639]]"
"86","2024-09-24","[[0.004134, 0.004134],[0.003901, 0.003901],[0.002097, 0.002097],[0.003921, 0.003921],[0.003696, 0.003696]]"
"87","2024-09-25","[[0.004179, 0.004179],[0.003943, 0.003943],[0.00213, 0.00213],[0.004027, 0.004027],[0.003753, 0.003753]]"
"88","2024-09-26","[[0.004224, 0.004224],[0.003984, 0.003984],[0.002163, 0.002163],[0.004131, 0.004131],[0.003811, 0.003811]]"
"89","2024-09-27","[[0.004267, 0.004267],[0.004024, 0.004024],[0.002195, 0.002195],[0.004235, 0.004235],[0.003867, 0.003867]]"
"90","2024-09-28","[[0.004309, 0.004309],[0.004063, 0.004063],[0.002226, 0.002226],[0.004337, 0.004337],[0.003924, 0.003924]]"
"91","2024-09-29","[[0.004351, 0.004351],[0.0041, 0.0041],[0.002256, 0.002256],[0.004437, 0.004437],[0.00398, 0.00398]]"
"92","2024-09-30","[[0.004391, 0.004391],[0.004136, 0.004136],[0.002285, 0.002285],[0.004535, 0.004535],[0.004036, 0.004036]]"
"93","2024-10-01","[[0.00443, 0.00443],[0.00417, 0.00417],[0.002314, 0.002314],[0.004631, 0.004631],[0.004091, 0.004091]]"
"94","2024-10-02","[[0.004468, 0.004468],[0.004203, 0.004203],[0.002341, 0.002341],[0.004724, 0.004724],[0.004145, 0.004145]]"
"95","2024-10-03","[[0.004504, 0.004504],[0.004234, 0.004234],[0.002367, 0.002367],[0.004813, 0.004813],[0.004199, 0.004199]]"
"96","2024-10-04","[[0.00454, 0.00454],[0.004264, 0.004264],[0.002392, 0.002392],[0.004899, 0.004899],[0.004253, 0.004253]]"
"97","2024-10-05","[[0.004574, 0.004574],[0.004292, 0.004292],[0.002416, 0.002416],[0.004982, 0.004982],[0.004305, 0.004305]]"
"98","2024-10-06","[[0.004606, 0.004606],[0.004318, 0.004318],[0.002438, 0.002438],[0.00506, 0.00506],[0.004357, 0.004357]]"
"99","2024-10-07","[[0.004638, 0.004638],[0.004343, 0.004343],[0.002459, 0.002459],[0.005134, 0.005134],[0.004408, 0.004408]]"
"100","2024-10-08","[[0.004667, 0.004667],[0.004366, 0.004366],[0.002479, 0.002479],[0.005203, 0.005203],[0.004458, 0.004458]]"
"101","2024-10-09","[[0.004696, 0.004696],[0.004387, 0.004387],[0.002497, 0.002497],[0.005266, 0.005266],[0.004507, 0.004507]]"
"102","2024-10-10","[[0.004722, 0.004722],[0.004406, 0.004406],[0.002514, 0.002514],[0.005325, 0.005325],[0.004555, 0.004555]]"
"103","2024-10-11","[[0.004747, 0.004747],[0.004423, 0.004423],[0.002529, 0.002529],[0.005377, 0.005377],[0.004602, 0.004602]]"
"104","2024-10-12","[[0.004771, 0.004771],[0.004438, 0.004438],[0.002543, 0.002543],[0.005424, 0.005424],[0.004647, 0.004647]]"
"105","2024-10-13","[[0.004793, 0.004793],[0.004451, 0.004451],[0.002555, 0.002555],[0.005465, 0.005465],[0.004692, 0.004692]]"
"106","2024-10-14","[[0.004813, 0.004813],[0.004463, 0.004463],[0.002565, 0.002565],[0.005499, 0.005499],[0.004735, 0.004735]]"
"107","2024-10-15","[[0.004831, 0.004831],[0.004472, 0.004472],[0.002574, 0.002574],[0.005527, 0.005527],[0.004776, 0.004776]]"
"108","2024-10-16","[[0.004848, 0.004848],[0.004479, 0.004479],[0.002581, 0.002581],[0.005549, 0.005549],[0.004817, 0.004817]]"
"109","2024-10-17","[[0.004863, 0.004863],[0.004485, 0.004485],[0.002587, 0.002587],[0.005563, 0.005563],[0.004855, 0.004855]]"
"110","2024-10-18","[[0.004876, 0.004876],[0.004488, 0.004488],[0.00259, 0.00259],[0.005571, 0.005571],[0.004893, 0.004893]]"
"111","2024-10-19","[[0.004888, 0.004888],[0.004489, 0.004489],[0.002592, 0.002592],[0.005572, 0.005572],[0.004928, 0.004928]]"
