age_group,low_ve,baseline_ve,high_ve
0,16.0% [16.0% - 16.0%],34.6% [34.6% - 34.6%],49.2% [49.2% - 49.2%]
1-4,3.2% [3.2% - 3.2%],17.4% [17.4% - 17.4%],18.9% [18.9% - 18.9%]
5-12,9.0% [9.0% - 9.0%],24.4% [24.4% - 24.4%],32.6% [32.6% - 32.6%]
13-17,14.8% [14.8% - 14.8%],32.1% [32.1% - 32.1%],44.2% [44.2% - 44.2%]
18-49,11.6% [11.6% - 11.6%],31.7% [31.7% - 31.7%],44.3% [44.3% - 44.3%]
50-64,10.4% [10.4% - 10.4%],28.8% [28.8% - 28.8%],40.4% [40.4% - 40.4%]
65+,9.4% [9.4% - 9.4%],26.1% [26.1% - 26.1%],36.7% [36.7% - 36.7%]
All,9.7% [9.7% - 9.7%],26.9% [26.9% - 26.9%],37.7% [37.7% - 37.7%]
