age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,-140.3% [-140.3% - -140.3%],-204.1% [-204.1% - -204.1%],-146.4% [-146.4% - -146.4%],-168.2% [-168.2% - -168.2%],-123.9% [-123.9% - -123.9%],-191.5% [-191.5% - -191.5%],-226.1% [-226.1% - -226.1%],34.6% [34.6% - 34.6%]
1-4,-306.2% [-306.2% - -306.2%],-183.4% [-183.4% - -183.4%],-203.0% [-203.0% - -203.0%],-239.6% [-239.6% - -239.6%],-189.0% [-189.0% - -189.0%],-268.4% [-268.4% - -268.4%],-309.3% [-309.3% - -309.3%],17.4% [17.4% - 17.4%]
5-12,-262.0% [-262.0% - -262.0%],-243.8% [-243.8% - -243.8%],-93.8% [-93.8% - -93.8%],-203.5% [-203.5% - -203.5%],-170.7% [-170.7% - -170.7%],-232.0% [-232.0% - -232.0%],-264.1% [-264.1% - -264.1%],24.4% [24.4% - 24.4%]
13-17,-228.4% [-228.4% - -228.4%],-215.1% [-215.1% - -215.1%],-158.8% [-158.8% - -158.8%],-85.7% [-85.7% - -85.7%],-145.0% [-145.0% - -145.0%],-199.3% [-199.3% - -199.3%],-230.1% [-230.1% - -230.1%],32.1% [32.1% - 32.1%]
18-49,-179.7% [-179.7% - -179.7%],-166.0% [-166.0% - -166.0%],-118.7% [-118.7% - -118.7%],-132.9% [-132.9% - -132.9%],-68.9% [-68.9% - -68.9%],-150.8% [-150.8% - -150.8%],-181.5% [-181.5% - -181.5%],31.7% [31.7% - 31.7%]
50-64,-195.1% [-195.1% - -195.1%],-181.4% [-181.4% - -181.4%],-131.3% [-131.3% - -131.3%],-144.4% [-144.4% - -144.4%],-107.9% [-107.9% - -107.9%],-121.6% [-121.6% - -121.6%],-196.9% [-196.9% - -196.9%],28.8% [28.8% - 28.8%]
65+,-224.0% [-224.0% - -224.0%],-207.5% [-207.5% - -207.5%],-149.4% [-149.4% - -149.4%],-166.0% [-166.0% - -166.0%],-126.7% [-126.7% - -126.7%],-185.5% [-185.5% - -185.5%],-167.5% [-167.5% - -167.5%],26.1% [26.1% - 26.1%]
All,-218.3% [-218.3% - -218.3%],-200.1% [-200.1% - -200.1%],-144.0% [-144.0% - -144.0%],-161.5% [-161.5% - -161.5%],-121.2% [-121.2% - -121.2%],-177.8% [-177.8% - -177.8%],-180.3% [-180.3% - -180.3%],26.9% [26.9% - 26.9%]
