age_group,low_ve,baseline_ve,high_ve
0,91.6 [91.6 - 91.6],131.1 [131.1 - 131.1],156.3 [156.3 - 156.3]
1-4,132.1 [132.1 - 132.1],179.9 [179.9 - 179.9],211.5 [211.5 - 211.5]
5-12,48.0 [48.0 - 48.0],66.3 [66.3 - 66.3],78.2 [78.2 - 78.2]
13-17,36.7 [36.7 - 36.7],52.1 [52.1 - 52.1],62.2 [62.2 - 62.2]
18-49,25.8 [25.8 - 25.8],40.3 [40.3 - 40.3],48.9 [48.9 - 48.9]
50-64,61.0 [61.0 - 61.0],96.1 [96.1 - 96.1],116.0 [116.0 - 116.0]
65+,529.0 [529.0 - 529.0],760.3 [760.3 - 760.3],894.4 [894.4 - 894.4]
All,128.3 [128.3 - 128.3],186.9 [186.9 - 186.9],221.2 [221.2 - 221.2]
