age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,-81.4 [-81.4 - -81.4],-118.4 [-118.4 - -118.4],-84.9 [-84.9 - -84.9],-97.6 [-97.6 - -97.6],-71.9 [-71.9 - -71.9],-111.1 [-111.1 - -111.1],-131.1 [-131.1 - -131.1],20.1 [20.1 - 20.1]
1-4,-178.1 [-178.1 - -178.1],-106.7 [-106.7 - -106.7],-118.1 [-118.1 - -118.1],-139.4 [-139.4 - -139.4],-109.9 [-109.9 - -109.9],-156.1 [-156.1 - -156.1],-179.9 [-179.9 - -179.9],10.1 [10.1 - 10.1]
5-12,-65.8 [-65.8 - -65.8],-61.2 [-61.2 - -61.2],-23.5 [-23.5 - -23.5],-51.1 [-51.1 - -51.1],-42.8 [-42.8 - -42.8],-58.2 [-58.2 - -58.2],-66.3 [-66.3 - -66.3],6.1 [6.1 - 6.1]
13-17,-51.7 [-51.7 - -51.7],-48.7 [-48.7 - -48.7],-35.9 [-35.9 - -35.9],-19.4 [-19.4 - -19.4],-32.8 [-32.8 - -32.8],-45.1 [-45.1 - -45.1],-52.1 [-52.1 - -52.1],7.3 [7.3 - 7.3]
18-49,-39.9 [-39.9 - -39.9],-36.9 [-36.9 - -36.9],-26.4 [-26.4 - -26.4],-29.5 [-29.5 - -29.5],-15.3 [-15.3 - -15.3],-33.5 [-33.5 - -33.5],-40.3 [-40.3 - -40.3],7.1 [7.1 - 7.1]
50-64,-95.3 [-95.3 - -95.3],-88.6 [-88.6 - -88.6],-64.1 [-64.1 - -64.1],-70.5 [-70.5 - -70.5],-52.7 [-52.7 - -52.7],-59.4 [-59.4 - -59.4],-96.1 [-96.1 - -96.1],14.1 [14.1 - 14.1]
65+,-753.0 [-753.0 - -753.0],-697.6 [-697.6 - -697.6],-502.2 [-502.2 - -502.2],-558.2 [-558.2 - -558.2],-426.1 [-426.1 - -426.1],-623.6 [-623.6 - -623.6],-563.3 [-563.3 - -563.3],87.9 [87.9 - 87.9]
All,-184.6 [-184.6 - -184.6],-169.2 [-169.2 - -169.2],-121.8 [-121.8 - -121.8],-136.6 [-136.6 - -136.6],-102.4 [-102.4 - -102.4],-150.4 [-150.4 - -150.4],-152.5 [-152.5 - -152.5],22.8 [22.8 - 22.8]
