day,total_ts7,total_ts14,total_ts28,total_ts56,total_ts112,total_ts224
0,0.3929980299874793,0.41786850153871136,0.4299648519651644,0.4359303996437516,0.43889276213274875,0.4403688702761227
1,0.9423766823868822,0.9470809296881575,0.9494081460123782,0.9505640000356532,0.9511398078318909,0.9514271599190169
2,1.1498338049493775,1.1478373871538663,1.1468293048844966,1.1463214952168417,1.1460664918811994,1.1459386963695712
3,1.2112522243522101,1.2067702952412453,1.2044806894639564,1.2033229577312925,1.2027407656159936,1.2024488263137478
4,1.2123868728487204,1.2065500860740257,1.2035448031693454,1.2020199632155812,1.201251935089141,1.2008665116778334
5,1.1873147103894477,1.1794845190842944,1.1754323700227869,1.1733718916556222,1.1723330356873216,1.1718114515792593
6,1.1387097706844331,1.128684098889331,1.12354034000973,1.1209355647217865,1.119624937859455,1.1189675629854805
7,1.0853874807054007,1.0748531480265733,1.0694719097407348,1.06675260161083,1.0653857598005685,1.0647005403272685
8,1.0560141681218327,1.0451534255223085,1.039573056308729,1.0367457567934255,1.035322878028618,1.0346091376885411
9,1.0451744834031758,1.0330149829293647,1.0267798941911037,1.0236238520248593,1.0220362525727467,1.021240064243006
10,1.0445113129273875,1.030854906511162,1.0238690506363328,1.0203370129997225,1.0185612605973748,1.01767095683316
11,1.0525284685203682,1.0373361020836425,1.029573090530004,1.0256502814963306,1.0236786086814162,1.0226902128150466
12,1.06450571091757,1.0465165327956543,1.0373210185560082,1.032674160098718,1.030338604295521,1.029167813813804
13,1.0583131645098915,1.0371241017755075,1.026365318305857,1.0209460702262207,1.0182266446627568,1.0168645025365752
14,1.0420597947069339,1.0195332576277714,1.0081382476937515,1.0024090440888926,0.9995366837959783,0.998098585504689
15,1.0428121678192528,1.0192002584988387,1.0072408312717802,1.0012247900497353,0.9982079482862651,0.9966973550845529
16,1.0582614428249997,1.0326309684700812,1.0196705653244478,1.0131562600587776,1.0098908626009642,1.0082561382896558
17,1.081071326480902,1.053056057236283,1.0389153609506638,1.0318141212332521,1.0282560844798512,1.0264752507024515
18,1.1087078445928236,1.0782860931184244,1.0629549933224274,1.0552619526462896,1.0514088907819719,1.0494807665019878
