date,value
2025-07-27,0.114285714
2025-07-28,0.114285714
2025-07-29,0.114285714
2025-07-30,0.114285714
2025-07-31,0.114285714
2025-08-01,0.114285714
2025-08-02,0.114285714
2025-08-03,0.0
2025-08-04,0.0
2025-08-05,0.0
2025-08-06,0.0
2025-08-07,0.0
2025-08-08,0.0
2025-08-09,0.0
2025-08-10,0.114285714
2025-08-11,0.114285714
2025-08-12,0.114285714
2025-08-13,0.114285714
2025-08-14,0.114285714
2025-08-15,0.114285714
2025-08-16,0.114285714
2025-08-17,0.0
2025-08-18,0.0
2025-08-19,0.0
2025-08-20,0.0
2025-08-21,0.0
2025-08-22,0.0
2025-08-23,0.0
2025-08-24,0.228571429
2025-08-25,0.228571429
2025-08-26,0.228571429
2025-08-27,0.228571429
2025-08-28,0.228571429
2025-08-29,0.228571429
2025-08-30,0.228571429
2025-08-31,0.228571429
2025-09-01,0.228571429
2025-09-02,0.228571429
2025-09-03,0.228571429
2025-09-04,0.228571429
2025-09-05,0.228571429
2025-09-06,0.228571429
2025-09-07,0.0
2025-09-08,0.0
2025-09-09,0.0
2025-09-10,0.0
2025-09-11,0.0
2025-09-12,0.0
2025-09-13,0.0
2025-09-14,0.0
2025-09-15,0.0
2025-09-16,0.0
2025-09-17,0.0
2025-09-18,0.0
2025-09-19,0.0
2025-09-20,0.0
2025-09-21,0.0
2025-09-22,0.0
2025-09-23,0.0
2025-09-24,0.0
2025-09-25,0.0
2025-09-26,0.0
2025-09-27,0.0
2025-09-28,0.457142857
2025-09-29,0.457142857
2025-09-30,0.457142857
2025-10-01,0.457142857
2025-10-02,0.457142857
2025-10-03,0.457142857
2025-10-04,0.457142857
2025-10-05,0.0
2025-10-06,0.0
2025-10-07,0.0
2025-10-08,0.0
2025-10-09,0.0
2025-10-10,0.0
2025-10-11,0.0
2025-10-12,0.228571429
2025-10-13,0.228571429
2025-10-14,0.228571429
2025-10-15,0.228571429
2025-10-16,0.228571429
2025-10-17,0.228571429
2025-10-18,0.228571429
2025-10-19,0.0
2025-10-20,0.0
2025-10-21,0.0
2025-10-22,0.0
2025-10-23,0.0
2025-10-24,0.0
2025-10-25,0.0
2025-10-26,0.114285714
2025-10-27,0.114285714
2025-10-28,0.114285714
2025-10-29,0.114285714
2025-10-30,0.114285714
2025-10-31,0.114285714
2025-11-01,0.114285714
2025-11-02,0.114285714
2025-11-03,0.114285714
2025-11-04,0.114285714
2025-11-05,0.114285714
2025-11-06,0.114285714
2025-11-07,0.114285714
2025-11-08,0.114285714
2025-11-09,0.228571429
2025-11-10,0.228571429
2025-11-11,0.228571429
2025-11-12,0.228571429
2025-11-13,0.228571429
2025-11-14,0.228571429
2025-11-15,0.228571429
2025-11-16,0.114285714
2025-11-17,0.114285714
2025-11-18,0.114285714
2025-11-19,0.114285714
2025-11-20,0.114285714
2025-11-21,0.114285714
2025-11-22,0.114285714
2025-11-23,0.0
2025-11-24,0.0
2025-11-25,0.0
2025-11-26,0.0
2025-11-27,0.0
2025-11-28,0.0
2025-11-29,0.0
2025-11-30,0.457142857
2025-12-01,0.457142857
2025-12-02,0.457142857
2025-12-03,0.457142857
2025-12-04,0.457142857
2025-12-05,0.457142857
2025-12-06,0.457142857
2025-12-07,0.571428571
2025-12-08,0.571428571
2025-12-09,0.571428571
2025-12-10,0.571428571
2025-12-11,0.571428571
2025-12-12,0.571428571
2025-12-13,0.571428571
2025-12-14,1.142857143
2025-12-15,1.142857143
2025-12-16,1.142857143
2025-12-17,1.142857143
2025-12-18,1.142857143
2025-12-19,1.142857143
2025-12-20,1.142857143
