day,total_ts224,total_ts7_beta_matched
0,0.4403688702761227,0.39297684875628935
1,0.9514271599190169,0.9419239561120702
2,1.1459386963695712,1.148016768829205
3,1.2024488263137478,1.207255229222063
4,1.2008665116778334,1.2056805290615615
5,1.1718114515792593,1.177683416385173
6,1.1189675629854805,1.1264718828507818
7,1.0647005403272685,1.0707047471914481
8,1.0346091376885411,1.0383463779140882
9,1.021240064243006,1.024105058928051
10,1.01767095683316,1.019789791608042
11,1.0226902128150466,1.0238586650669355
12,1.029167813813804,1.031731718004384
13,1.0168645025365752,1.022312689993316
14,0.998098585504689,1.0033913656769764
15,0.9966973550845529,1.0006818989063546
16,1.0082561382896558,1.0119248136099692
17,1.0264752507024515,1.0300754640026113
18,1.0494807665019878,1.0526589576952263
19,1.074137490543212,1.078506453570676
20,1.0834185578822029,1.0905868440734234
21,1.084753333444754,1.09235044495595
22,1.0983952115738234,1.105872069825729
23,1.116745090589493,1.125097773147004
24,1.1370481303526887,1.1460150399435234
25,1.1598033251654187,1.16902400639185
26,1.1794573895478668,1.191355079633547
27,1.1744623104163123,1.1904370012094807
28,1.160342328757575,1.1762965637122655
29,1.1683529662061471,1.1829984239484705
30,1.1942826315998,1.2082869149342435
31,1.238136274011081,1.2511038258436011
32,1.2953608889412007,1.308127203708217
33,1.3464254672570268,1.3631709712348838
34,1.3593949802588314,1.3819090908244998
35,1.3525925003325776,1.3760083612411491
36,1.3619282247530662,1.3849697245567278
37,1.3811783190338807,1.4050859027452942
38,1.4140779587953614,1.4365032527792174
39,1.475695982596288,1.4962701657378439
40,1.539945748789093,1.5653567554094816
41,1.557022238702648,1.5898367980459973
42,1.5498746379105501,1.5837513696361194
43,1.562121957408087,1.5954746122903738
44,1.5879664194168321,1.6221936184692314
45,1.6284305731353523,1.6621701898965469
46,1.690070679129623,1.723545010522444
47,1.7502219089911988,1.7889929130744515
48,1.7648530399187816,1.8115891448257773
49,1.7498742564274494,1.7985580987590852
50,1.7531897013119924,1.8009993563386326
51,1.7759085674282422,1.8246375636638283
52,1.8101431142895523,1.859762359080209
53,1.8591875380236695,1.9093487985940278
54,1.9086089010253517,1.9640771722502242
55,1.919585662580999,1.9819565468860956
56,1.9162508826842979,1.9790608040237903
57,1.9419625406477885,2.004627083946115
58,1.9814958498579571,2.046926792510092
59,2.0215394400605446,2.0905910247573427
60,2.0560284267301245,2.1279874898778477
61,2.0832024974976684,2.1603006900425115
62,2.080061645910736,2.1626442560353345
63,2.072277721297333,2.1548010875426873
64,2.1017791852774055,2.182751202295395
65,2.1666874288877755,2.249061995550629
66,2.25264744991928,2.3364200146013907
67,2.3667319755113523,2.4517686049584326
68,2.4804420962752536,2.575070780635591
69,2.5286393671139797,2.6347738158176615
70,2.549417428512707,2.6566796889746684
71,2.6244118927212057,2.7267272591695217
72,2.7796401695656425,2.8804585454490157
73,2.984413303938518,3.0878114909644916
74,3.2281835096119043,3.332869247987815
75,3.4944025987126492,3.6097205976419846
76,3.6874010884853385,3.819703187792298
77,3.8577876005572533,3.988992543523917
78,4.152527464910767,4.278056579112672
79,4.549034882284942,4.674895773553631
80,5.034455704024916,5.15911135586664
81,5.603965519600978,5.728501229517235
82,6.181784222825158,6.324380832084751
83,6.625747804182991,6.789618261964911
84,7.075372344270029,7.231353584554057
85,7.73583058611449,7.880785386018612
86,8.485696072363378,8.647352511361825
87,9.134867267221184,9.319844478825384
88,9.786354359819551,9.966267302975615
89,10.614327897015748,10.798587729701545
90,11.409251440152245,11.628860326634713
91,12.19004677220386,12.404505374240546
92,13.33727690207716,13.527434240360417
93,14.752983956552534,14.922766265283839
94,16.481607103791887,16.60495968120822
95,18.641781627758053,18.685642619526273
96,21.101369890850314,21.136989592318443
97,23.01330244277493,23.103950815400612
98,24.7824700963902,24.806651805045902
99,27.39129337297738,27.292373515992928
100,30.554807237547422,30.392432634696597
101,33.869426060674265,33.61606531545367
102,37.73682263891736,37.31472649721897
103,41.8905253608993,41.432113389833916
104,44.95054840366239,44.5730453373987
105,47.64270674443198,47.15364406487167
106,51.547026348803435,50.870036498990096
107,56.10684609112502,55.32220920624189
108,60.79372866738664,59.90911365387596
109,65.45719725729003,64.47988525091232
110,69.63221627059147,68.68561237508167
111,72.40954422822554,71.6018161987418
112,74.36372920798254,73.56668745934164
113,76.7696579316659,75.98188524042195
114,78.9039353539761,78.24144587794203
115,80.62347276100354,80.06500349196583
116,82.3186681578405,81.80966222401844
117,83.88345071433788,83.56852548155098
118,83.93746160791856,83.93746160844435
119,82.86274244008169,83.07349425703043
120,81.72443589309947,82.0213662572972
121,81.13228445691787,81.52113503868341
122,80.5975854435431,81.13366118689586
123,79.9609324738242,80.63370505720204
124,78.98643803577382,79.88757097470003
125,76.84833903883634,78.01735417617226
126,74.19954313872344,75.44664965901819
127,72.28910810188567,73.57336853655666
128,70.60739280710388,71.99523024983411
129,68.94151508911378,70.4083767523185
130,67.35014866493718,68.88380472700769
131,65.46356841038613,67.1669981431952
132,62.4670554203862,64.34820356676354
133,59.16125072666361,61.02170274966895
134,56.75334134877169,58.56929732556371
135,54.7533820242612,56.62196974965062
136,52.73626788488082,54.65653284114027
137,50.870503933947916,52.781202161741575
138,49.173559202313854,51.172039137007374
139,46.630980019756215,48.75165553371403
140,43.55062911753829,45.695238114907596
141,40.54315913575614,42.598863647685874
142,38.30198209836373,40.27875967270376
143,36.398561023624325,38.3732391241912
144,34.547911314585846,36.50775087854066
145,32.74987619487305,34.71467772160643
146,30.651424436809343,32.62485702208528
147,28.43376452943769,30.339640043962525
148,26.53998543037848,28.360670211142875
149,24.929392409883057,26.692690349018818
150,23.485816381983366,25.203955766605894
151,22.162033249474796,23.832003599653557
152,20.900493957543574,22.549604092864037
153,19.445272208141553,21.067513643800513
154,17.979442542573498,19.518361531501505
155,16.805823570522115,18.2644298401632
156,15.849912665687704,17.25551641323249
157,15.045911269424337,16.408661183657387
158,14.35649486852188,15.684737190734692
159,13.689961662574362,15.005626761767132
160,12.888756944134444,14.180443547759758
161,12.106805710293955,13.338076172756276
162,11.529973239860174,12.713538490647883
163,11.062777820724866,12.222105094099263
164,10.649161354876192,11.785142576066981
165,10.308582554195372,11.421683693547276
166,9.989800319532907,11.101904147583305
167,9.530784904728321,10.634363637192124
168,9.021049905634285,10.08800070110164
169,8.572912940260766,9.604483322198277
170,8.162620687554659,9.16736141867312
171,7.776674910770179,8.75385254352636
172,7.424598248999803,8.376547518211662
173,7.071465989088287,8.004764645549422
174,6.670540360090393,7.577704513001915
175,6.286849982309767,7.150891457357697
176,6.028146082321846,6.855895064365463
177,5.872911586158054,6.683854878568448
178,5.765996800122339,6.56855494898941
179,5.699751775018067,6.495641426841299
180,5.648173818443823,6.451491444824928
181,5.508373446035449,6.3131768357848586
182,5.355775878864236,6.138654519559942
183,5.310203221274399,6.083324895621857
184,5.305405755991371,6.084389727444357
185,5.308753875030851,6.0941264518297835
186,5.319814131810311,6.111120041568389
187,5.309836848501447,6.1158899227685914
188,5.190808085758347,6.002014662004836
189,5.025474263138833,5.816549090615277
190,4.930122162632852,5.705889671019589
191,4.8725047615983215,5.645977208958175
192,4.827920245777618,5.599055799692771
193,4.821497860648926,5.589883949569662
194,4.84141701649276,5.623612497596356
195,4.77908028607586,5.570624247175295
196,4.67286952922014,5.456370034746245
197,4.596179423412565,5.367050455931511
198,4.597063202509615,5.362907654173781
199,4.668667293552604,5.445344491953041
200,4.75369145872305,5.550302322356927
201,4.795376362348984,5.615895658096771
202,4.7259810442232,5.556486728077509
203,4.607077996505584,5.420947766982758
204,4.566140444888609,5.367466853716927
205,4.592095934500025,5.398309236841959
206,4.636504459271681,5.457633591911977
207,4.6665533011492855,5.497256806407896
208,4.704842284206225,5.5489613717696
209,4.693829649004413,5.55090358783328
210,4.642938443339482,5.499231919680103
211,4.604157152579875,5.460907539369545
212,4.553447655601568,5.410907758731614
213,4.50605634437701,5.357571614800705
214,4.489901582297283,5.342073458897882
215,4.447481530092444,5.307960922033887
216,4.3190551243876385,5.174725406921176
217,4.164706168359601,4.9916535971323786
218,4.102924839559296,4.912512293498335
219,4.102120311943467,4.911922296626472
220,4.136600769183609,4.955929258814611
221,4.16914733711324,5.002308232710039
222,4.158236885593966,5.005005064128715
223,4.06294921681082,4.907378517679733
224,3.932213303772202,4.757842845724042
225,3.8140863784082684,4.621963837771435
226,3.6982809673317925,4.49039461432996
227,3.582103863306397,4.357442881328103
228,3.46736404559558,4.224439920680684
229,3.349316664791024,4.091858490271896
230,3.1920282366022463,3.913171550882579
231,3.0211308203620266,3.712117737455002
232,2.8769520319336364,3.535775467439441
233,2.7926564626293606,3.4336681224324814
234,2.7270743786586187,3.3589903935974683
235,2.669650510802478,3.2921431691892695
236,2.6120909535244325,3.2300187766193615
237,2.5108472496402077,3.1173210172294787
238,2.389816493421831,2.9720259016155373
239,2.2950173020340925,2.8559163715092954
240,2.2184001238141446,2.764757510457283
241,2.1470378789239084,2.680454862367303
242,2.0817342532943073,2.6017674143682172
243,2.020060636699381,2.5313189911703393
244,1.931368922796095,2.4286833205630516
245,1.8392853821444803,2.315572772437072
246,1.7698400908120353,2.2303755556666407
247,1.7082218618815654,2.1568854521044165
248,1.6531248164083125,2.089444456725622
249,1.6155503646281382,2.0421893312483963
250,1.585387284425319,2.009336523582059
