age_group,low_ve,baseline_ve,high_ve
0,15.6 [15.6 - 15.6],20.1 [20.1 - 20.1],16.2 [16.2 - 16.2]
1-4,3.4 [3.4 - 3.4],10.1 [10.1 - 10.1],5.0 [5.0 - 5.0]
5-12,3.9 [3.9 - 3.9],6.1 [6.1 - 6.1],4.3 [4.3 - 4.3]
13-17,5.6 [5.6 - 5.6],7.3 [7.3 - 7.3],5.5 [5.5 - 5.5]
18-49,4.2 [4.2 - 4.2],7.1 [7.1 - 7.1],6.1 [6.1 - 6.1]
50-64,8.7 [8.7 - 8.7],14.1 [14.1 - 14.1],11.7 [11.7 - 11.7]
65+,53.3 [53.3 - 53.3],87.9 [87.9 - 87.9],74.1 [74.1 - 74.1]
All,13.9 [13.9 - 13.9],22.8 [22.8 - 22.8],19.0 [19.0 - 19.0]
