age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,11.5% [11.5% - 11.5%],-2.7% [-2.7% - -2.7%],0.3% [0.3% - 0.3%],6.2% [6.2% - 6.2%],20.8% [20.8% - 20.8%],2.9% [2.9% - 2.9%],0.0% [0.0% - 0.0%],34.6% [34.6% - 34.6%]
1-4,0.4% [0.4% - 0.4%],-13.9% [-13.9% - -13.9%],0.3% [0.3% - 0.3%],6.1% [6.1% - 6.1%],19.7% [19.7% - 19.7%],2.8% [2.8% - 2.8%],0.0% [0.0% - 0.0%],17.4% [17.4% - 17.4%]
5-12,0.3% [0.3% - 0.3%],-2.5% [-2.5% - -2.5%],0.6% [0.6% - 0.6%],6.3% [6.3% - 6.3%],18.3% [18.3% - 18.3%],2.6% [2.6% - 2.6%],0.0% [0.0% - 0.0%],24.4% [24.4% - 24.4%]
13-17,0.3% [0.3% - 0.3%],-2.1% [-2.1% - -2.1%],0.3% [0.3% - 0.3%],15.5% [15.5% - 15.5%],18.5% [18.5% - 18.5%],2.8% [2.8% - 2.8%],0.0% [0.0% - 0.0%],32.1% [32.1% - 32.1%]
18-49,0.4% [0.4% - 0.4%],-2.4% [-2.4% - -2.4%],0.3% [0.3% - 0.3%],6.3% [6.3% - 6.3%],26.0% [26.0% - 26.0%],3.0% [3.0% - 3.0%],0.0% [0.0% - 0.0%],31.7% [31.7% - 31.7%]
50-64,0.3% [0.3% - 0.3%],-2.2% [-2.2% - -2.2%],0.3% [0.3% - 0.3%],6.3% [6.3% - 6.3%],20.2% [20.2% - 20.2%],6.1% [6.1% - 6.1%],0.0% [0.0% - 0.0%],28.8% [28.8% - 28.8%]
65+,0.3% [0.3% - 0.3%],-2.3% [-2.3% - -2.3%],0.3% [0.3% - 0.3%],6.3% [6.3% - 6.3%],20.0% [20.0% - 20.0%],3.2% [3.2% - 3.2%],-0.3% [-0.3% - -0.3%],26.1% [26.1% - 26.1%]
All,0.4% [0.4% - 0.4%],-2.6% [-2.6% - -2.6%],0.3% [0.3% - 0.3%],6.4% [6.4% - 6.4%],20.6% [20.6% - 20.6%],3.5% [3.5% - 3.5%],-0.2% [-0.2% - -0.2%],26.9% [26.9% - 26.9%]
