age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,27.1 [27.1 - 27.1],—,—,4.2 [4.2 - 4.2],1.0 [1.0 - 1.0],0.9 [0.9 - 0.9],—,1.3 [1.3 - 1.3]
1-4,3.7 [3.7 - 3.7],—,—,16.4 [16.4 - 16.4],3.7 [3.7 - 3.7],3.3 [3.3 - 3.3],—,2.6 [2.6 - 2.6]
5-12,2.9 [2.9 - 2.9],—,—,15.9 [15.9 - 15.9],3.2 [3.2 - 3.2],2.9 [2.9 - 2.9],—,3.4 [3.4 - 3.4]
13-17,1.7 [1.7 - 1.7],—,—,23.9 [23.9 - 23.9],2.0 [2.0 - 2.0],1.9 [1.9 - 1.9],—,2.7 [2.7 - 2.7]
18-49,13.8 [13.8 - 13.8],—,—,68.7 [68.7 - 68.7],19.6 [19.6 - 19.6],14.7 [14.7 - 14.7],—,19.2 [19.2 - 19.2]
50-64,13.4 [13.4 - 13.4],—,—,72.3 [72.3 - 72.3],16.0 [16.0 - 16.0],31.0 [31.0 - 31.0],—,18.3 [18.3 - 18.3]
65+,82.2 [82.2 - 82.2],—,—,429.0 [429.0 - 429.0],93.5 [93.5 - 93.5],96.6 [96.6 - 96.6],—,98.2 [98.2 - 98.2]
All,144.8 [144.8 - 144.8],—,—,630.5 [630.5 - 630.5],138.8 [138.8 - 138.8],151.1 [151.1 - 151.1],—,145.7 [145.7 - 145.7]
