,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,91.1% [91.1% - 91.1%],—,—,—,—,—,—,91.0% [91.0% - 91.0%]
1-4,—,91.0% [91.0% - 91.0%],—,—,—,—,—,90.9% [90.9% - 90.9%]
5-12,—,—,91.0% [91.0% - 91.0%],—,—,—,—,91.0% [91.0% - 91.0%]
13-17,—,—,—,91.1% [91.1% - 91.1%],—,—,—,91.0% [91.0% - 91.0%]
18-49,—,—,—,—,91.0% [91.0% - 91.0%],—,—,91.0% [91.0% - 91.0%]
50-64,—,—,—,—,—,91.0% [91.0% - 91.0%],—,90.9% [90.9% - 90.9%]
65+,—,—,—,—,—,—,68.9% [68.9% - 68.9%],68.8% [68.8% - 68.8%]
