age_group,population,scheduled_doses,delivered_doses,wasted_doses,pct_wasted,scheduled_coverage,delivered_coverage
0,"70,067","31,777","31,404",373,1.2%,45.4%,44.8%
1-4,"280,268","254,216","251,129","3,087",1.2%,90.7%,89.6%
5-12,"606,291","433,128","421,152","11,976",2.8%,71.4%,69.5%
13-17,"411,782","227,816","222,691","5,125",2.2%,55.3%,54.1%
18-49,"2,978,204","1,206,878","1,154,237","52,641",4.4%,40.5%,38.8%
50-64,"1,424,434","859,693","827,612","32,081",3.7%,60.4%,58.1%
65+,"1,221,349","894,101","868,773","25,328",2.8%,73.2%,71.1%
All,"6,992,395","3,907,610","3,776,998","130,612",3.3%,55.9%,54.0%
