age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,6.7 [6.7 - 6.7],-1.6 [-1.6 - -1.6],0.2 [0.2 - 0.2],3.6 [3.6 - 3.6],12.1 [12.1 - 12.1],1.7 [1.7 - 1.7],0.0 [0.0 - 0.0],20.1 [20.1 - 20.1]
1-4,0.2 [0.2 - 0.2],-8.1 [-8.1 - -8.1],0.2 [0.2 - 0.2],3.5 [3.5 - 3.5],11.5 [11.5 - 11.5],1.6 [1.6 - 1.6],0.0 [0.0 - 0.0],10.1 [10.1 - 10.1]
5-12,0.1 [0.1 - 0.1],-0.6 [-0.6 - -0.6],0.2 [0.2 - 0.2],1.6 [1.6 - 1.6],4.6 [4.6 - 4.6],0.7 [0.7 - 0.7],0.0 [0.0 - 0.0],6.1 [6.1 - 6.1]
13-17,0.1 [0.1 - 0.1],-0.5 [-0.5 - -0.5],0.1 [0.1 - 0.1],3.5 [3.5 - 3.5],4.2 [4.2 - 4.2],0.6 [0.6 - 0.6],0.0 [0.0 - 0.0],7.3 [7.3 - 7.3]
18-49,0.1 [0.1 - 0.1],-0.5 [-0.5 - -0.5],0.1 [0.1 - 0.1],1.4 [1.4 - 1.4],5.8 [5.8 - 5.8],0.7 [0.7 - 0.7],0.0 [0.0 - 0.0],7.1 [7.1 - 7.1]
50-64,0.2 [0.2 - 0.2],-1.1 [-1.1 - -1.1],0.1 [0.1 - 0.1],3.1 [3.1 - 3.1],9.9 [9.9 - 9.9],3.0 [3.0 - 3.0],0.0 [0.0 - 0.0],14.1 [14.1 - 14.1]
65+,1.2 [1.2 - 1.2],-7.8 [-7.8 - -7.8],0.9 [0.9 - 0.9],21.2 [21.2 - 21.2],67.2 [67.2 - 67.2],10.9 [10.9 - 10.9],-1.2 [-1.2 - -1.2],87.9 [87.9 - 87.9]
All,0.4 [0.4 - 0.4],-2.2 [-2.2 - -2.2],0.2 [0.2 - 0.2],5.4 [5.4 - 5.4],17.4 [17.4 - 17.4],3.0 [3.0 - 3.0],-0.2 [-0.2 - -0.2],22.8 [22.8 - 22.8]
