age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,31.9 [31.9 - 31.9],16.1 [16.1 - 16.1],45.9 [45.9 - 45.9],26.5 [26.5 - 26.5],34.2 [34.2 - 34.2],16.7 [16.7 - 16.7],0.0 [0.0 - 0.0],131.1 [131.1 - 131.1]
1-4,1.2 [1.2 - 1.2],92.2 [92.2 - 92.2],61.4 [61.4 - 61.4],31.9 [31.9 - 31.9],40.0 [40.0 - 40.0],19.8 [19.8 - 19.8],0.0 [0.0 - 0.0],179.9 [179.9 - 179.9]
5-12,0.3 [0.3 - 0.3],6.5 [6.5 - 6.5],42.5 [42.5 - 42.5],12.0 [12.0 - 12.0],13.2 [13.2 - 13.2],6.7 [6.7 - 6.7],0.0 [0.0 - 0.0],66.3 [66.3 - 66.3]
13-17,0.2 [0.2 - 0.2],4.3 [4.3 - 4.3],16.0 [16.0 - 16.0],26.2 [26.2 - 26.2],10.8 [10.8 - 10.8],5.8 [5.8 - 5.8],0.0 [0.0 - 0.0],52.1 [52.1 - 52.1]
18-49,0.3 [0.3 - 0.3],4.4 [4.4 - 4.4],13.9 [13.9 - 13.9],8.5 [8.5 - 8.5],14.8 [14.8 - 14.8],5.7 [5.7 - 5.7],0.0 [0.0 - 0.0],40.3 [40.3 - 40.3]
50-64,0.6 [0.6 - 0.6],9.6 [9.6 - 9.6],31.8 [31.8 - 31.8],20.2 [20.2 - 20.2],24.9 [24.9 - 24.9],30.9 [30.9 - 30.9],0.0 [0.0 - 0.0],96.1 [96.1 - 96.1]
65+,4.7 [4.7 - 4.7],79.7 [79.7 - 79.7],256.4 [256.4 - 256.4],160.0 [160.0 - 160.0],192.7 [192.7 - 192.7],114.4 [114.4 - 114.4],200.2 [200.2 - 200.2],760.3 [760.3 - 760.3]
All,1.5 [1.5 - 1.5],22.4 [22.4 - 22.4],64.7 [64.7 - 64.7],39.8 [39.8 - 39.8],48.8 [48.8 - 48.8],30.6 [30.6 - 30.6],35.0 [35.0 - 35.0],186.9 [186.9 - 186.9]
