"","date","daily_vaccines"
"1","2023-07-31","[[0.034872, 0.034872],[0.048705, 0.048705],[0.022196, 0.022196],[0.004548, 0.004548],[0.014761, 0.014761]]"
"2","2023-08-01","[[0.001162, 0.001162],[0.001344, 0.001344],[0.000534, 0.000534],[0.00025, 0.00025],[0.000665, 0.000665]]"
"3","2023-08-02","[[0.001199, 0.001199],[0.001377, 0.001377],[0.000547, 0.000547],[0.000264, 0.000264],[0.000694, 0.000694]]"
"4","2023-08-03","[[0.001236, 0.001236],[0.001412, 0.001412],[0.000559, 0.000559],[0.000278, 0.000278],[0.000725, 0.000725]]"
"5","2023-08-04","[[0.001275, 0.001275],[0.001446, 0.001446],[0.000571, 0.000571],[0.000293, 0.000293],[0.000757, 0.000757]]"
"6","2023-08-05","[[0.001314, 0.001314],[0.001482, 0.001482],[0.000584, 0.000584],[0.000309, 0.000309],[0.00079, 0.00079]]"
"7","2023-08-06","[[0.001355, 0.001355],[0.001518, 0.001518],[0.000597, 0.000597],[0.000326, 0.000326],[0.000824, 0.000824]]"
"8","2023-08-07","[[0.001396, 0.001396],[0.001555, 0.001555],[0.00061, 0.00061],[0.000343, 0.000343],[0.00086, 0.00086]]"
"9","2023-08-08","[[0.001439, 0.001439],[0.001592, 0.001592],[0.000624, 0.000624],[0.000362, 0.000362],[0.000898, 0.000898]]"
"10","2023-08-09","[[0.001483, 0.001483],[0.00163, 0.00163],[0.000637, 0.000637],[0.000381, 0.000381],[0.000937, 0.000937]]"
"11","2023-08-10","[[0.001528, 0.001528],[0.001669, 0.001669],[0.000651, 0.000651],[0.000402, 0.000402],[0.000977, 0.000977]]"
"12","2023-08-11","[[0.001574, 0.001574],[0.001709, 0.001709],[0.000665, 0.000665],[0.000423, 0.000423],[0.001019, 0.001019]]"
"13","2023-08-12","[[0.001621, 0.001621],[0.001749, 0.001749],[0.00068, 0.00068],[0.000446, 0.000446],[0.001063, 0.001063]]"
"14","2023-08-13","[[0.001669, 0.001669],[0.001789, 0.001789],[0.000694, 0.000694],[0.00047, 0.00047],[0.001109, 0.001109]]"
"15","2023-08-14","[[0.001718, 0.001718],[0.00183, 0.00183],[0.000709, 0.000709],[0.000495, 0.000495],[0.001156, 0.001156]]"
"16","2023-08-15","[[0.001769, 0.001769],[0.001872, 0.001872],[0.000724, 0.000724],[0.000521, 0.000521],[0.001205, 0.001205]]"
"17","2023-08-16","[[0.00182, 0.00182],[0.001915, 0.001915],[0.00074, 0.00074],[0.000548, 0.000548],[0.001257, 0.001257]]"
"18","2023-08-17","[[0.001873, 0.001873],[0.001958, 0.001958],[0.000755, 0.000755],[0.000577, 0.000577],[0.00131, 0.00131]]"
"19","2023-08-18","[[0.001927, 0.001927],[0.002001, 0.002001],[0.000771, 0.000771],[0.000607, 0.000607],[0.001365, 0.001365]]"
"20","2023-08-19","[[0.001982, 0.001982],[0.002046, 0.002046],[0.000788, 0.000788],[0.000639, 0.000639],[0.001422, 0.001422]]"
"21","2023-08-20","[[0.002039, 0.002039],[0.00209, 0.00209],[0.000804, 0.000804],[0.000673, 0.000673],[0.001481, 0.001481]]"
"22","2023-08-21","[[0.002096, 0.002096],[0.002136, 0.002136],[0.000821, 0.000821],[0.000708, 0.000708],[0.001543, 0.001543]]"
"23","2023-08-22","[[0.002155, 0.002155],[0.002181, 0.002181],[0.000838, 0.000838],[0.000744, 0.000744],[0.001607, 0.001607]]"
"24","2023-08-23","[[0.002215, 0.002215],[0.002228, 0.002228],[0.000855, 0.000855],[0.000783, 0.000783],[0.001673, 0.001673]]"
"25","2023-08-24","[[0.002276, 0.002276],[0.002274, 0.002274],[0.000872, 0.000872],[0.000823, 0.000823],[0.001742, 0.001742]]"
"26","2023-08-25","[[0.002338, 0.002338],[0.002322, 0.002322],[0.00089, 0.00089],[0.000865, 0.000865],[0.001813, 0.001813]]"
"27","2023-08-26","[[0.002401, 0.002401],[0.002369, 0.002369],[0.000908, 0.000908],[0.000909, 0.000909],[0.001886, 0.001886]]"
"28","2023-08-27","[[0.002465, 0.002465],[0.002417, 0.002417],[0.000926, 0.000926],[0.000955, 0.000955],[0.001962, 0.001962]]"
"29","2023-08-28","[[0.002531, 0.002531],[0.002466, 0.002466],[0.000944, 0.000944],[0.001003, 0.001003],[0.002041, 0.002041]]"
"30","2023-08-29","[[0.002597, 0.002597],[0.002514, 0.002514],[0.000963, 0.000963],[0.001054, 0.001054],[0.002122, 0.002122]]"
"31","2023-08-30","[[0.002664, 0.002664],[0.002563, 0.002563],[0.000982, 0.000982],[0.001106, 0.001106],[0.002206, 0.002206]]"
"32","2023-08-31","[[0.002733, 0.002733],[0.002613, 0.002613],[0.001001, 0.001001],[0.001161, 0.001161],[0.002293, 0.002293]]"
"33","2023-09-01","[[0.002802, 0.002802],[0.002662, 0.002662],[0.001021, 0.001021],[0.001218, 0.001218],[0.002382, 0.002382]]"
"34","2023-09-02","[[0.002873, 0.002873],[0.002712, 0.002712],[0.00104, 0.00104],[0.001278, 0.001278],[0.002474, 0.002474]]"
"35","2023-09-03","[[0.002944, 0.002944],[0.002762, 0.002762],[0.00106, 0.00106],[0.00134, 0.00134],[0.002569, 0.002569]]"
"36","2023-09-04","[[0.003016, 0.003016],[0.002813, 0.002813],[0.00108, 0.00108],[0.001404, 0.001404],[0.002667, 0.002667]]"
"37","2023-09-05","[[0.003089, 0.003089],[0.002863, 0.002863],[0.0011, 0.0011],[0.001471, 0.001471],[0.002767, 0.002767]]"
