day,ref_total,generic_total,diff_total,ref_0,generic_0,ref_1-4,generic_1-4,ref_5-12,generic_5-12,ref_13-17,generic_13-17,ref_18-49,generic_18-49,ref_50-64,generic_50-64,ref_65+,generic_65+
24,0.5118514486332368,0.8603837250348096,0.3485322764015728,0.003071994889919862,0.005240072646698483,0.017930678523445764,0.03046000676386082,0.017403578668303624,0.029457838673885347,0.008409355188680174,0.014264834611564383,0.054916432128468515,0.09390430889415177,0.056444990049727195,0.09662818572514341,0.35367441918469167,0.5904284777195054
25,0.541793363883389,0.9288257640705282,0.38703240018713925,0.0031748345081058196,0.005559399260740929,0.019245552326326857,0.033312233060168554,0.0194897942893301,0.03338272454470556,0.00942725374048164,0.016176807011659546,0.05937052238541673,0.10316946902661843,0.060461931762243765,0.10531430879639671,0.37062347487148406,0.6319108223702385
26,0.5786021208586574,1.0090706498176971,0.43046852895903975,0.003324861085709481,0.005940652541697291,0.02082141936715653,0.03663552159718033,0.021856552814854276,0.03793133827949813,0.010581793613843142,0.018393480802562336,0.0645312627309946,0.11389660756621617,0.06520166946601817,0.1154064219530026,0.3922845617800812,0.6808666270775402
27,0.625312730373098,1.1064506804186696,0.4811379500455716,0.00354328749106477,0.006425468675518519,0.02277342270456665,0.04062681246268997,0.024619801227854954,0.043273857162007844,0.011929278989857715,0.020997104562534716,0.07071117366836259,0.1265874917432799,0.07098512021163805,0.12744194170707368,0.42075064607975327,0.7410980041055648
28,0.6504795155300893,1.1794249157446657,0.5289454002145764,0.0038418594000428734,0.0070455410072124795,0.023088048227123494,0.042593269837969946,0.023402711728284693,0.04347698860332427,0.011313986649379503,0.021060938002102004,0.07112814694713192,0.1319952459985447,0.07244607455371116,0.1341545505735398,0.44525868802441565,0.7990983817219725
29,0.6776677096279657,1.2543402924460505,0.5766725828180848,0.004216802666341805,0.007809859525242762,0.0232240328359731,0.044114090231633964,0.02130717357077738,0.04180528938114313,0.010261781900695306,0.020192407973324562,0.07080647703367365,0.13558331975140786,0.07358564389231996,0.13993672852757547,0.47426579772818456,0.8648985970557227
30,0.7476948050940277,1.3959020064528869,0.6482072013588591,0.0045976405639366474,0.00866544224848276,0.02587368008773942,0.04927867165852657,0.024512681184390567,0.04730200144525731,0.011820380847942468,0.022854569116401952,0.07913984155927437,0.15154530440509972,0.08174302045767476,0.1560233568524588,0.5200075603930695,0.9602326607266597
31,0.8232575862400797,1.563112136290088,0.7398545500500082,0.004925014492328977,0.00952708363909402,0.028851047684804707,0.05572554715932956,0.028667943888402523,0.05539277559221783,0.013849192612354688,0.026795615356782848,0.08918772153255781,0.1724769232240577,0.09121776363337598,0.17628367920485577,0.5665589023962551,1.0669105121137503
32,0.9242737008599254,1.7762372880835269,0.8519635872236014,0.0053800916561124665,0.010592545046788594,0.03280229280651696,0.06400377594958376,0.034063017208622925,0.066029335576035,0.016482707769203145,0.031981795289945145,0.10238367259439095,0.19956508268744405,0.10373556459138149,0.20234932952681517,0.6294263542336975,1.2017154240069152
33,1.0430775962824739,2.02765975323606,0.9845821569535862,0.005949244672234453,0.011866873420664814,0.03745368433383928,0.07380696125047216,0.040280814797350406,0.078628586626863,0.019518737087651623,0.03812798439302982,0.11757241320249552,0.23141388201874005,0.11822522966638953,0.23300125927410137,0.7040774725225131,1.360814206252189
34,1.16904096326595,2.301997062451094,1.1329560991851442,0.0065813730158425345,0.013287318044076093,0.04242015128893963,0.08457079053128772,0.04686279053761708,0.0924654539724576,0.022734938544609236,0.04488203057701652,0.13345648744568647,0.26600965015809436,0.13341429809192162,0.2663033480354518,0.7835709243413334,1.53447847113271
35,1.2369218208966295,2.4981141324702283,1.2611923115735988,0.007276815424825606,0.014860608541747367,0.04365350307915925,0.09004627710686834,0.04505667778525735,0.09403700612852606,0.02181153481898629,0.04557705379712203,0.13631177648677242,0.28194629456746684,0.13837502563566487,0.2852052113352846,0.8444364876659638,1.686441680993213
36,1.2937828360897425,2.6727266123299236,1.378943776240181,0.008024183826394714,0.016583187475530108,0.044048539322793366,0.09369285134986388,0.04111864809135096,0.09074201911349423,0.019832230162618394,0.04386100369693193,0.1362155516386498,0.2912873849311746,0.14111689949540435,0.2993161461795754,0.903426783552531,1.8372440195833537
37,1.4083725572186947,2.9474096073946425,1.5390370501759478,0.008648384227119221,0.01826316338398868,0.04830819677189141,0.1034957949808317,0.04629415523702472,0.10102037367153506,0.022360795203828363,0.04885606750938548,0.14991207128529654,0.3221650346783886,0.154516499042374,0.3305439067694968,0.9783324554511604,2.0230652664010162
38,1.50869115891516,3.2280459047336225,1.7193547458184626,0.009034778019876327,0.019684739372007737,0.052314832634793126,0.11424854242703138,0.05233110938571827,0.11487643133949878,0.025327039595650577,0.05563426465678239,0.1640334463033894,0.35796500948181353,0.16757271763860201,0.365001102468554,1.0380772353371301,2.2006358149879346
39,1.6163370423103236,3.5297033858812394,1.9133663435709158,0.009437568177511572,0.02111247215916297,0.05665690874635049,0.12604176506932757,0.05899366677518715,0.1309075131073051,0.028603569053621325,0.06349071478346692,0.17938476167647632,0.3978832589563586,0.1816927859169776,0.4028897404118237,1.1015677819641991,2.3873779213937945
40,1.774788342962357,3.927576238480056,2.152787895517699,0.010147525444155123,0.023059377465416867,0.0628876809206633,0.141513069474334,0.06780818205975007,0.15156159515348405,0.03293274252892483,0.07361272117392592,0.20049703439843694,0.44963817373126774,0.20154242680841294,0.45224875806581993,1.1989727508020138,2.6359425434158075
