date,value
2025-07-27,0.03
2025-07-28,0.06
2025-07-29,0.09
2025-07-30,0.12
2025-07-31,0.15
2025-08-01,0.18
2025-08-02,0.21
2025-08-03,0.21
2025-08-04,0.21
2025-08-05,0.21
2025-08-06,0.21
2025-08-07,0.21
2025-08-08,0.21
2025-08-09,0.21
2025-08-10,0.24
2025-08-11,0.27
2025-08-12,0.30000000000000004
2025-08-13,0.33000000000000007
2025-08-14,0.3600000000000001
2025-08-15,0.3900000000000001
2025-08-16,0.42000000000000015
2025-08-17,0.42000000000000015
2025-08-18,0.42000000000000015
2025-08-19,0.42000000000000015
2025-08-20,0.42000000000000015
2025-08-21,0.42000000000000015
2025-08-22,0.42000000000000015
2025-08-23,0.42000000000000015
2025-08-24,0.48000000000000015
2025-08-25,0.5400000000000001
2025-08-26,0.6000000000000001
2025-08-27,0.6600000000000001
2025-08-28,0.7200000000000002
2025-08-29,0.7800000000000002
2025-08-30,0.8400000000000003
2025-08-31,0.9000000000000004
2025-09-01,0.9600000000000004
2025-09-02,1.0200000000000005
2025-09-03,1.0800000000000005
2025-09-04,1.1400000000000006
2025-09-05,1.2000000000000006
2025-09-06,1.2600000000000007
2025-09-07,1.2600000000000007
2025-09-08,1.2600000000000007
2025-09-09,1.2600000000000007
2025-09-10,1.2600000000000007
2025-09-11,1.2600000000000007
2025-09-12,1.2600000000000007
2025-09-13,1.2600000000000007
2025-09-14,1.2600000000000007
2025-09-15,1.2600000000000007
2025-09-16,1.2600000000000007
2025-09-17,1.2600000000000007
2025-09-18,1.2600000000000007
2025-09-19,1.2600000000000007
2025-09-20,1.2600000000000007
2025-09-21,1.2600000000000007
2025-09-22,1.2600000000000007
2025-09-23,1.2600000000000007
2025-09-24,1.2600000000000007
2025-09-25,1.2600000000000007
2025-09-26,1.2600000000000007
2025-09-27,1.2600000000000007
2025-09-28,1.3700000000000008
2025-09-29,1.4800000000000009
2025-09-30,1.590000000000001
2025-10-01,1.700000000000001
2025-10-02,1.8100000000000012
2025-10-03,1.9200000000000013
2025-10-04,2.030000000000001
2025-10-05,2.030000000000001
2025-10-06,2.030000000000001
2025-10-07,2.030000000000001
2025-10-08,2.030000000000001
2025-10-09,2.030000000000001
2025-10-10,2.030000000000001
2025-10-11,2.030000000000001
2025-10-12,2.090000000000001
2025-10-13,2.1500000000000012
2025-10-14,2.2100000000000013
2025-10-15,2.2700000000000014
2025-10-16,2.3300000000000014
2025-10-17,2.3900000000000015
2025-10-18,2.4500000000000015
2025-10-19,2.4500000000000015
2025-10-20,2.4500000000000015
2025-10-21,2.4500000000000015
2025-10-22,2.4500000000000015
2025-10-23,2.4500000000000015
2025-10-24,2.4500000000000015
2025-10-25,2.4500000000000015
2025-10-26,2.4800000000000013
2025-10-27,2.510000000000001
2025-10-28,2.540000000000001
2025-10-29,2.5700000000000007
2025-10-30,2.6000000000000005
2025-10-31,2.6300000000000003
2025-11-01,2.66
2025-11-02,2.69
2025-11-03,2.7199999999999998
2025-11-04,2.7499999999999996
2025-11-05,2.7799999999999994
2025-11-06,2.809999999999999
2025-11-07,2.839999999999999
2025-11-08,2.8699999999999988
2025-11-09,2.929999999999999
2025-11-10,2.989999999999999
2025-11-11,3.049999999999999
2025-11-12,3.109999999999999
2025-11-13,3.169999999999999
2025-11-14,3.229999999999999
2025-11-15,3.289999999999999
2025-11-16,3.319999999999999
2025-11-17,3.3499999999999988
2025-11-18,3.3799999999999986
2025-11-19,3.4099999999999984
2025-11-20,3.439999999999998
2025-11-21,3.469999999999998
2025-11-22,3.499999999999998
2025-11-23,3.499999999999998
2025-11-24,3.499999999999998
2025-11-25,3.499999999999998
2025-11-26,3.499999999999998
2025-11-27,3.499999999999998
2025-11-28,3.499999999999998
2025-11-29,3.499999999999998
2025-11-30,3.6099999999999977
2025-12-01,3.7199999999999975
2025-12-02,3.8299999999999974
2025-12-03,3.9399999999999973
2025-12-04,4.049999999999997
2025-12-05,4.1599999999999975
2025-12-06,4.269999999999998
2025-12-07,4.4099999999999975
2025-12-08,4.549999999999997
2025-12-09,4.689999999999997
2025-12-10,4.8299999999999965
2025-12-11,4.969999999999996
2025-12-12,5.109999999999996
2025-12-13,5.249999999999996
2025-12-14,5.539999999999996
2025-12-15,5.829999999999996
2025-12-16,6.119999999999996
2025-12-17,6.409999999999996
2025-12-18,6.699999999999996
2025-12-19,6.989999999999996
2025-12-20,7.279999999999996
2025-12-21,7.8799999999999955
2025-12-22,8.479999999999995
2025-12-23,9.079999999999995
2025-12-24,9.679999999999994
2025-12-25,10.279999999999994
2025-12-26,10.879999999999994
2025-12-27,11.479999999999993
2025-12-28,12.789999999999994
2025-12-29,14.099999999999994
2025-12-30,15.409999999999995
2025-12-31,16.719999999999995
2026-01-01,18.029999999999994
2026-01-02,19.339999999999993
