age_group,pct_averted_reduced_infection,per100k_averted_reduced_infection,per100k_doses_averted_reduced_infection,pct_averted_reduced_severity,per100k_averted_reduced_severity,per100k_doses_averted_reduced_severity,pct_averted_total,per100k_averted_total,per100k_doses_averted_total
0,65.6% [65.6% - 65.6%],98.6 [98.6 - 98.6],220.4 [220.4 - 220.4],0.7% [0.7% - 0.7%],1.1 [1.1 - 1.1],—,66.3% [66.3% - 66.3%],99.7 [99.7 - 99.7],222.9 [222.9 - 222.9]
1-4,71.7% [71.7% - 71.7%],136.2 [136.2 - 136.2],152.4 [152.4 - 152.4],1.5% [1.5% - 1.5%],2.8 [2.8 - 2.8],—,73.2% [73.2% - 73.2%],139.0 [139.0 - 139.0],155.5 [155.5 - 155.5]
5-12,68.4% [68.4% - 68.4%],45.8 [45.8 - 45.8],66.3 [66.3 - 66.3],1.2% [1.2% - 1.2%],0.8 [0.8 - 0.8],—,69.5% [69.5% - 69.5%],46.6 [46.6 - 46.6],67.4 [67.4 - 67.4]
13-17,65.3% [65.3% - 65.3%],31.2 [31.2 - 31.2],57.9 [57.9 - 57.9],1.0% [1.0% - 1.0%],0.5 [0.5 - 0.5],—,66.3% [66.3% - 66.3%],31.7 [31.7 - 31.7],58.8 [58.8 - 58.8]
18-49,60.0% [60.0% - 60.0%],34.9 [34.9 - 34.9],90.3 [90.3 - 90.3],0.9% [0.9% - 0.9%],0.5 [0.5 - 0.5],—,60.9% [60.9% - 60.9%],35.4 [35.4 - 35.4],91.7 [91.7 - 91.7]
50-64,61.7% [61.7% - 61.7%],83.7 [83.7 - 83.7],144.5 [144.5 - 144.5],1.4% [1.4% - 1.4%],1.8 [1.8 - 1.8],—,63.1% [63.1% - 63.1%],85.5 [85.5 - 85.5],147.7 [147.7 - 147.7]
65+,59.0% [59.0% - 59.0%],624.6 [624.6 - 624.6],879.8 [879.8 - 879.8],7.4% [7.4% - 7.4%],78.8 [78.8 - 78.8],—,66.4% [66.4% - 66.4%],703.4 [703.4 - 703.4],990.9 [990.9 - 990.9]
All,60.1% [60.1% - 60.1%],153.2 [153.2 - 153.2],284.7 [284.7 - 284.7],5.7% [5.7% - 5.7%],14.6 [14.6 - 14.6],—,65.8% [65.8% - 65.8%],167.8 [167.8 - 167.8],311.8 [311.8 - 311.8]
