age_group,low_ve,baseline_ve,high_ve
0,13.6 [13.6 - 13.6],17.6 [17.6 - 17.6],14.0 [14.0 - 14.0]
1-4,3.5 [3.5 - 3.5],8.9 [8.9 - 8.9],4.1 [4.1 - 4.1]
5-12,3.3 [3.3 - 3.3],5.1 [5.1 - 5.1],3.4 [3.4 - 3.4]
13-17,4.0 [4.0 - 4.0],5.2 [5.2 - 5.2],3.9 [3.9 - 3.9]
18-49,4.3 [4.3 - 4.3],7.2 [7.2 - 7.2],6.2 [6.2 - 6.2]
50-64,8.9 [8.9 - 8.9],14.4 [14.4 - 14.4],11.9 [11.9 - 11.9]
65+,56.0 [56.0 - 56.0],92.9 [92.9 - 92.9],77.6 [77.6 - 77.6]
All,14.2 [14.2 - 14.2],23.5 [23.5 - 23.5],19.4 [19.4 - 19.4]
