age_group,low_ve,baseline_ve,high_ve
0,67.2 [67.2 - 67.2],99.7 [99.7 - 99.7],121.8 [121.8 - 121.8]
1-4,99.0 [99.0 - 99.0],139.0 [139.0 - 139.0],167.2 [167.2 - 167.2]
5-12,32.5 [32.5 - 32.5],46.6 [46.6 - 46.6],56.5 [56.5 - 56.5]
13-17,21.4 [21.4 - 21.4],31.7 [31.7 - 31.7],39.0 [39.0 - 39.0]
18-49,21.5 [21.5 - 21.5],35.4 [35.4 - 35.4],44.1 [44.1 - 44.1]
50-64,51.7 [51.7 - 51.7],85.5 [85.5 - 85.5],106.0 [106.0 - 106.0]
65+,473.2 [473.2 - 473.2],703.4 [703.4 - 703.4],846.0 [846.0 - 846.0]
All,111.1 [111.1 - 111.1],167.8 [167.8 - 167.8],203.3 [203.3 - 203.3]
