age_group,low_ve,baseline_ve,high_ve
0,16.3% [16.3% - 16.3%],34.7% [34.7% - 34.7%],49.2% [49.2% - 49.2%]
1-4,3.8% [3.8% - 3.8%],17.4% [17.4% - 17.4%],18.2% [18.2% - 18.2%]
5-12,9.7% [9.7% - 9.7%],25.0% [25.0% - 25.0%],32.7% [32.7% - 32.7%]
13-17,15.3% [15.3% - 15.3%],32.6% [32.6% - 32.6%],44.7% [44.7% - 44.7%]
18-49,11.7% [11.7% - 11.7%],31.8% [31.8% - 31.8%],44.3% [44.3% - 44.3%]
50-64,10.6% [10.6% - 10.6%],28.8% [28.8% - 28.8%],40.3% [40.3% - 40.3%]
65+,9.6% [9.6% - 9.6%],26.1% [26.1% - 26.1%],36.5% [36.5% - 36.5%]
All,9.9% [9.9% - 9.9%],27.0% [27.0% - 27.0%],37.6% [37.6% - 37.6%]
