age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,5.9 [5.9 - 5.9],-1.4 [-1.4 - -1.4],0.3 [0.3 - 0.3],3.1 [3.1 - 3.1],10.4 [10.4 - 10.4],1.4 [1.4 - 1.4],0.0 [0.0 - 0.0],17.6 [17.6 - 17.6]
1-4,0.2 [0.2 - 0.2],-7.2 [-7.2 - -7.2],0.3 [0.3 - 0.3],3.1 [3.1 - 3.1],10.0 [10.0 - 10.0],1.4 [1.4 - 1.4],0.0 [0.0 - 0.0],8.9 [8.9 - 8.9]
5-12,0.1 [0.1 - 0.1],-0.5 [-0.5 - -0.5],0.3 [0.3 - 0.3],1.3 [1.3 - 1.3],3.7 [3.7 - 3.7],0.5 [0.5 - 0.5],0.0 [0.0 - 0.0],5.1 [5.1 - 5.1]
13-17,0.1 [0.1 - 0.1],-0.3 [-0.3 - -0.3],0.1 [0.1 - 0.1],2.5 [2.5 - 2.5],3.0 [3.0 - 3.0],0.4 [0.4 - 0.4],0.0 [0.0 - 0.0],5.2 [5.2 - 5.2]
18-49,0.1 [0.1 - 0.1],-0.5 [-0.5 - -0.5],0.1 [0.1 - 0.1],1.4 [1.4 - 1.4],5.9 [5.9 - 5.9],0.7 [0.7 - 0.7],0.0 [0.0 - 0.0],7.2 [7.2 - 7.2]
50-64,0.2 [0.2 - 0.2],-1.1 [-1.1 - -1.1],0.3 [0.3 - 0.3],3.1 [3.1 - 3.1],10.0 [10.0 - 10.0],3.0 [3.0 - 3.0],0.0 [0.0 - 0.0],14.4 [14.4 - 14.4]
65+,1.2 [1.2 - 1.2],-8.3 [-8.3 - -8.3],1.9 [1.9 - 1.9],22.3 [22.3 - 22.3],70.1 [70.1 - 70.1],11.1 [11.1 - 11.1],-1.2 [-1.2 - -1.2],92.9 [92.9 - 92.9]
All,0.4 [0.4 - 0.4],-2.3 [-2.3 - -2.3],0.5 [0.5 - 0.5],5.6 [5.6 - 5.6],17.8 [17.8 - 17.8],3.0 [3.0 - 3.0],-0.2 [-0.2 - -0.2],23.5 [23.5 - 23.5]
