age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,16.7% [16.7% - 16.7%],7.7% [7.7% - 7.7%],21.4% [21.4% - 21.4%],11.9% [11.9% - 11.9%],15.6% [15.6% - 15.6%],7.5% [7.5% - 7.5%],-0.0% [-0.0% - -0.0%],66.3% [66.3% - 66.3%]
1-4,0.4% [0.4% - 0.4%],38.0% [38.0% - 38.0%],22.8% [22.8% - 22.8%],11.1% [11.1% - 11.1%],14.2% [14.2% - 14.2%],6.9% [6.9% - 6.9%],0.0% [0.0% - 0.0%],73.2% [73.2% - 73.2%]
5-12,0.3% [0.3% - 0.3%],6.1% [6.1% - 6.1%],43.9% [43.9% - 43.9%],10.6% [10.6% - 10.6%],11.7% [11.7% - 11.7%],5.9% [5.9% - 5.9%],0.0% [0.0% - 0.0%],69.5% [69.5% - 69.5%]
13-17,0.3% [0.3% - 0.3%],4.8% [4.8% - 4.8%],18.0% [18.0% - 18.0%],33.0% [33.0% - 33.0%],11.7% [11.7% - 11.7%],6.3% [6.3% - 6.3%],0.0% [0.0% - 0.0%],66.3% [66.3% - 66.3%]
18-49,0.4% [0.4% - 0.4%],6.2% [6.2% - 6.2%],19.3% [19.3% - 19.3%],11.6% [11.6% - 11.6%],21.3% [21.3% - 21.3%],7.7% [7.7% - 7.7%],0.0% [0.0% - 0.0%],60.9% [60.9% - 60.9%]
50-64,0.3% [0.3% - 0.3%],5.9% [5.9% - 5.9%],19.2% [19.2% - 19.2%],11.9% [11.9% - 11.9%],14.8% [14.8% - 14.8%],20.0% [20.0% - 20.0%],-0.0% [-0.0% - -0.0%],63.1% [63.1% - 63.1%]
65+,0.4% [0.4% - 0.4%],6.5% [6.5% - 6.5%],20.6% [20.6% - 20.6%],12.5% [12.5% - 12.5%],15.2% [15.2% - 15.2%],9.1% [9.1% - 9.1%],18.3% [18.3% - 18.3%],66.4% [66.4% - 66.4%]
All,0.5% [0.5% - 0.5%],7.3% [7.3% - 7.3%],20.9% [20.9% - 20.9%],12.5% [12.5% - 12.5%],15.6% [15.6% - 15.6%],9.9% [9.9% - 9.9%],13.2% [13.2% - 13.2%],65.8% [65.8% - 65.8%]
