,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,42.3% [42.3% - 42.3%],—,—,—,—,—,—,39.5% [39.5% - 39.5%]
1-4,—,20.9% [20.9% - 20.9%],—,—,—,—,—,16.9% [16.9% - 16.9%]
5-12,—,—,35.7% [35.7% - 35.7%],—,—,—,—,31.6% [31.6% - 31.6%]
13-17,—,—,—,45.0% [45.0% - 45.0%],—,—,—,40.7% [40.7% - 40.7%]
18-49,—,—,—,—,57.9% [57.9% - 57.9%],—,—,54.1% [54.1% - 54.1%]
50-64,—,—,—,—,—,52.6% [52.6% - 52.6%],—,48.6% [48.6% - 48.6%]
65+,—,—,—,—,—,—,61.9% [61.9% - 61.9%],58.0% [58.0% - 58.0%]
