age_group,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,57.4 [57.4 - 57.4],—,—,—,—,—,—,222.9 [222.9 - 222.9]
1-4,—,82.2 [82.2 - 82.2],—,—,—,—,—,155.5 [155.5 - 155.5]
5-12,—,—,43.3 [43.3 - 43.3],—,—,—,—,67.4 [67.4 - 67.4]
13-17,—,—,—,29.8 [29.8 - 29.8],—,—,—,58.8 [58.8 - 58.8]
18-49,—,—,—,—,33.1 [33.1 - 33.1],—,—,91.7 [91.7 - 91.7]
50-64,—,—,—,—,—,48.1 [48.1 - 48.1],—,147.7 [147.7 - 147.7]
65+,—,—,—,—,—,—,276.7 [276.7 - 276.7],990.9 [990.9 - 990.9]
All,276.3 [276.3 - 276.3],530.6 [530.6 - 530.6],903.7 [903.7 - 903.7],1023.6 [1023.6 - 1023.6],248.7 [248.7 - 248.7],220.4 [220.4 - 220.4],276.7 [276.7 - 276.7],311.8 [311.8 - 311.8]
