age_group,low_ve,baseline_ve,high_ve
0,44.7% [44.7% - 44.7%],66.3% [66.3% - 66.3%],81.0% [81.0% - 81.0%]
1-4,52.1% [52.1% - 52.1%],73.2% [73.2% - 73.2%],88.0% [88.0% - 88.0%]
5-12,48.5% [48.5% - 48.5%],69.5% [69.5% - 69.5%],84.4% [84.4% - 84.4%]
13-17,44.8% [44.8% - 44.8%],66.3% [66.3% - 66.3%],81.6% [81.6% - 81.6%]
18-49,37.0% [37.0% - 37.0%],60.9% [60.9% - 60.9%],76.0% [76.0% - 76.0%]
50-64,38.1% [38.1% - 38.1%],63.1% [63.1% - 63.1%],78.2% [78.2% - 78.2%]
65+,44.7% [44.7% - 44.7%],66.4% [66.4% - 66.4%],79.9% [79.9% - 79.9%]
All,43.5% [43.5% - 43.5%],65.8% [65.8% - 65.8%],79.7% [79.7% - 79.7%]
