,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,59.4% [59.4% - 59.4%],—,—,—,—,—,—,57.9% [57.9% - 57.9%]
1-4,—,59.7% [59.7% - 59.7%],—,—,—,—,—,58.1% [58.1% - 58.1%]
5-12,—,—,60.1% [60.1% - 60.1%],—,—,—,—,58.6% [58.6% - 58.6%]
13-17,—,—,—,60.7% [60.7% - 60.7%],—,—,—,58.7% [58.7% - 58.7%]
18-49,—,—,—,—,81.0% [81.0% - 81.0%],—,—,79.9% [79.9% - 79.9%]
50-64,—,—,—,—,—,80.9% [80.9% - 80.9%],—,79.8% [79.8% - 79.8%]
65+,—,—,—,—,—,—,100.0% [100.0% - 100.0%],100.0% [100.0% - 100.0%]
