,0,1-4,5-12,13-17,18-49,50-64,65+,All
0,91.1% [91.1% - 91.1%],—,—,—,—,—,—,91.0% [91.0% - 91.0%]
1-4,—,90.9% [90.9% - 90.9%],—,—,—,—,—,90.7% [90.7% - 90.7%]
5-12,—,—,90.9% [90.9% - 90.9%],—,—,—,—,90.8% [90.8% - 90.8%]
13-17,—,—,—,91.0% [91.0% - 91.0%],—,—,—,90.9% [90.9% - 90.9%]
18-49,—,—,—,—,91.0% [91.0% - 91.0%],—,—,90.9% [90.9% - 90.9%]
50-64,—,—,—,—,—,91.0% [91.0% - 91.0%],—,90.8% [90.8% - 90.8%]
65+,—,—,—,—,—,—,68.9% [68.9% - 68.9%],68.7% [68.7% - 68.7%]
